second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
171,770.520108,1261,218433,291.51,1803.59,847.384142,1133,191474,443.84,1553.70
172,761.790419,1288,219721,291.64,1803.59,852.106907,1161,192635,444.07,1553.70
173,788.729804,1280,221001,291.71,1803.59,855.688006,1122,193757,444.16,1553.70
174,763.119175,1310,222311,291.80,1803.59,853.146617,1130,194887,444.39,1553.70
175,774.588106,1295,223606,291.93,1803.59,829.965033,1178,196065,444.53,1553.70
176,761.418899,1276,224882,291.99,1803.59,843.528131,1157,197222,444.69,1553.70
177,784.214613,1305,226187,292.08,1803.59,851.396093,1143,198365,444.91,1553.70
178,774.611524,1305,227492,292.21,1803.59,860.901530,1112,199477,444.99,1553.70
179,757.994945,1281,228773,292.33,1803.59,827.200277,1171,200648,445.12,1553.70
180,787.880191,1271,230044,292.42,1803.59,851.636397,1120,201768,445.20,1553.70
181,793.653526,1263,231307,292.50,1803.59,860.648671,1152,202920,445.47,1553.70
182,781.688092,1275,232582,292.58,1803.60,849.906690,1114,204034,445.46,1553.70
183,756.504407,1334,233916,292.71,1803.60,822.750955,1165,205199,445.70,1553.70
184,775.249419,1247,235163,292.81,1803.60,849.743402,1170,206369,445.73,1553.70
185,779.940744,1276,236439,292.89,1803.60,836.491798,1109,207478,445.91,1553.70
186,787.430130,1281,237720,292.96,1803.60,864.798385,1139,208617,446.06,1553.70
187,767.517956,1308,239028,293.02,1803.60,859.137446,1140,209757,446.08,1553.70
188,779.632398,1295,240323,293.11,1803.60,845.264275,1129,210886,446.07,1553.70
189,764.022278,1298,241621,293.24,1803.60,830.849529,1161,212047,446.25,1553.70
190,783.673999,1250,242871,293.32,1803.60,850.243273,1134,213181,446.34,1553.70
191,777.439334,1301,244172,293.41,1803.60,847.444324,1160,214341,446.47,1553.70
192,770.874460,1280,245452,293.53,1803.60,854.555001,1107,215448,446.50,1553.70
193,788.064928,1265,246717,293.62,1803.60,839.294695,1135,216583,446.75,1553.70
194,765.187065,1333,248050,293.70,1803.60,853.300679,1169,217752,446.84,1553.70
195,768.829137,1245,249295,293.82,1803.60,851.144922,1116,218868,446.92,1553.70
