second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch
45,46.020277,20341,919169,156.44,553.86,47.569367,22086,927214,138.18,562.22
46,48.235447,21966,941135,158.79,562.85,52.558087,17824,945038,140.29,568.08
47,53.298359,11596,952731,161.03,572.70,91.703105,10920,955958,141.33,575.38
48,81.954986,16818,969549,161.95,578.03,60.209692,18187,974145,142.87,582.23
49,46.891536,20074,989623,164.11,583.81,42.409534,23667,997812,145.17,597.04
50,55.631833,19010,1008633,166.53,593.64,52.989424,18049,1015861,147.21,603.08
51,41.569158,17993,1026626,169.07,602.29,93.46252,11192,1027053,148.64,610.80
52,82.671779,14966,1041592,169.59,606.93,44.988699,22103,1049156,149.98,616.38
53,56.492729,17561,1059153,171.72,616.19,36.709673,26283,1075439,152.87,630.01
54,52.476478,17346,1076499,173.63,629.26,45.857616,21773,1097212,155.18,643.96
55,51.075623,21082,1097581,175.82,636.12,93.790415,10891,1108103,155.98,645.07
56,109.837162,8666,1106247,176.06,637.18,41.789113,23715,1131818,158.25,656.65
57,58.572178,17973,1124220,178.05,644.46,42.370283,21820,1153638,160.57,664.11
58,61.233336,15627,1139847,180.14,654.81,48.986538,20167,1173805,162.76,677.33
59,50.148923,20797,1160644,182.00,666.63,80.062433,13077,1186882,163.33,681.25
60,45.623004,13586,1174230,183.78,671.59,41.112467,25396,1212278,165.60,692.34
61,69.104489,19644,1193874,184.76,678.01,41.689598,22915,1235193,167.71,701.73
62,51.642732,17884,1211758,186.74,690.91,50.189929,12397,1247590,169.46,711.98
63,57.236769,19131,1230889,188.48,697.22,63.338865,22107,1269697,170.39,716.56
64,51.229204,17181,1248070,190.23,706.68,46.19519,19029,1288726,172.42,723.11
65,106.264472,9147,1257217,190.61,711.87,48.637462,23356,1312082,174.80,741.31
66,56.630623,19912,1277129,192.38,716.68,75.178518,12147,1324229,175.41,747.02
67,49.307457,20223,1297352,194.31,726.96,48.875558,20612,1344841,177.18,755.91
68,46.14818,21607,1318959,196.33,735.11,43.45719,24272,1369113,179.29,765.40
69,161.289597,6055,1325014,196.56,739.14,45.161261,22237,1391350,181.10,776.76
70,49.531904,19070,1344084,198.15,747.03,101.140245,9984,1401334,181.65,781.24
71,54.115446,18191,1362275,199.77,755.60,44.805345,22293,1423627,183.27,792.33
72,52.557751,19985,1382260,201.49,771.45,46.926949,20646,1444273,184.87,801.70
73,51.394406,13512,1395772,202.88,779.47,49.276257,19543,1463816,186.41,809.67
74,64.177384,19890,1415662,203.91,783.39,99.675758,9194,1473010,186.97,813.00
75,51.369122,18740,1434402,205.63,793.08,50.443199,19142,1492152,188.45,824.06
76,51.664629,18005,1452407,207.44,800.13,49.810508,19747,1511899,190.02,835.91
77,45.208834,17272,1469679,209.39,809.80,50.288479,20348,1532247,191.59,846.70
78,71.761469,19116,1488795,210.33,817.73,47.316759,10835,1543082,191.76,850.82
79,53.202275,18894,1507689,211.82,826.43,108.159804,15188,1558270,192.46,857.76
80,54.683012,18220,1525909,213.32,836.19,55.569933,18032,1576302,193.97,868.80
81,55.409915,17574,1543483,214.80,846.00,49.129147,18143,1594445,195.49,878.54
82,97.711827,9982,1553465,215.10,851.66,46.613101,20922,1615367,196.83,888.56
83,49.11248,18400,1571865,216.37,859.19,83.160902,13490,1628857,196.82,892.55
84,58.559847,19215,1591080,217.76,866.99,52.839084,18877,1647734,198.27,900.76
85,63.779849,15747,1606827,219.09,875.85,43.293765,23153,1670887,200.08,910.48
86,76.985138,10537,1617364,220.18,881.78,44.848845,19975,1690862,201.93,923.32
87,65.036188,15279,1632643,220.61,888.30,96.183851,10684,1701546,201.48,923.70
88,55.708605,20079,1652722,222.12,900.30,46.05086,22024,1723570,203.13,935.28
89,53.63669,19397,1672119,223.60,906.80,46.48427,21854,1745424,204.76,948.03
90,45.337517,18735,1690854,225.01,916.74,51.2384,19304,1764728,206.22,957.26
91,92.048602,11474,1702328,225.17,921.80,150.973458,6668,1771396,206.05,958.86
92,56.785101,19076,1721404,226.38,929.12,42.574967,18790,1790186,207.47,972.03
93,58.693679,17581,1738985,227.76,939.25,52.015308,22502,1812688,208.80,981.26
94,61.298767,16307,1755292,229.08,948.87,54.26378,19037,1831725,209.96,988.36
95,85.762312,11459,1766751,229.24,959.78,75.816711,6803,1838528,210.15,993.73
96,46.710386,21151,1787902,230.65,969.87,68.773783,20472,1859000,211.25,1005.38
97,45.162838,22343,1810245,232.45,976.86,53.434562,18783,1877783,212.18,1013.71
98,49.135222,20243,1830488,233.98,985.10,51.247273,21094,1898877,213.29,1019.20
99,67.537319,8589,1839077,234.79,993.73,74.616693,13424,1912301,214.46,1030.42
100,76.854916,15501,1854578,235.18,1001.92,68.402735,14067,1926368,214.25,1032.89
101,55.66053,21181,1875759,236.55,1010.24,74.524563,13723,1940091,215.41,1040.19
102,63.012818,16264,1892023,237.74,1017.15,49.565305,16170,1956261,216.81,1049.71
103,50.422693,18033,1910056,238.68,1026.47,45.245304,22493,1978754,217.60,1058.08
104,118.91679,9137,1919193,238.68,1031.95,111.302512,7304,1986058,218.14,1067.97
105,58.355784,16037,1935230,239.87,1040.03,59.090541,18440,2004498,218.66,1070.90
106,57.531712,18699,1953929,240.70,1044.59,63.069429,20008,2024506,219.65,1074.36
107,71.766506,13948,1967877,241.85,1056.26,88.978703,11321,2035827,220.76,1086.78
108,47.428445,18333,1986210,243.18,1065.46,35.760803,21897,2057724,222.02,1094.98
109,119.138109,9400,1995610,242.90,1067.25,175.215908,6835,2064559,221.77,1097.92
110,67.751569,14224,2009834,244.17,1075.89,44.441497,20828,2085387,223.40,1109.04
111,39.30822,22044,2031878,245.64,1085.61,34.46924,25624,2111011,224.66,1120.01
112,46.54133,22480,2054358,246.81,1095.72,48.968166,22582,2133593,225.87,1125.46
113,98.570533,11332,2065690,247.55,1101.55,170.024478,4708,2138301,225.91,1131.64
114,45.505959,18786,2084476,248.45,1108.80,47.211639,26864,2165165,227.15,1140.81
115,57.221635,16780,2101256,249.36,1122.78,62.421756,15934,2181099,228.58,1153.61
116,61.860158,18924,2120180,250.58,1128.40,53.794384,18155,2199254,229.76,1160.38
117,57.227506,14489,2134669,250.98,1133.56,69.49196,14688,2213942,229.92,1162.44
118,78.057255,13620,2148289,251.49,1143.22,49.154411,18971,2232913,231.22,1176.45
119,55.459463,17559,2165848,252.51,1147.51,58.371003,18254,2251167,232.48,1185.13
120,76.085697,14853,2180701,253.25,1156.89,34.696594,25577,2276744,233.79,1196.78
121,47.682732,17400,2198101,254.35,1163.37,127.190586,8709,2285453,233.85,1201.00
122,65.070191,10478,2208579,253.95,1164.54,36.520977,20123,2305576,235.24,1211.11
123,93.208607,14670,2223249,255.04,1177.26,44.517897,27543,2333119,236.34,1220.98
124,45.955054,23331,2246580,256.14,1186.95,60.477771,17020,2350139,237.38,1226.54
125,60.326521,17194,2263774,257.37,1194.98,64.957098,14296,2364435,237.95,1233.26
126,51.312486,17424,2281198,258.49,1204.26,51.423904,20520,2384955,238.84,1241.51
127,67.33899,16344,2297542,258.73,1207.92,73.463417,13779,2398734,240.10,1252.92
128,56.876933,17139,2314681,260.05,1215.27,33.800138,25449,2424183,241.36,1262.63
129,58.242849,16563,2331244,260.78,1228.32,171.706397,5501,2429684,241.36,1265.71
130,49.961979,19408,2350652,261.60,1237.36,38.774792,24641,2454325,242.53,1272.31
131,116.873301,9269,2359921,262.15,1243.82,59.850109,20569,2474894,243.36,1279.02
132,40.633853,17728,2377649,262.98,1248.77,64.994504,14799,2489693,244.45,1289.42
133,49.603018,24127,2401776,264.19,1261.68,69.607361,14121,2503814,244.47,1294.08
134,61.495714,16872,2418648,264.91,1271.12,64.65925,16234,2520048,245.44,1306.35
135,42.297534,11476,2430124,264.90,1273.94,35.278826,25727,2545775,246.51,1315.01
136,110.432157,14047,2444171,265.49,1276.86,68.666621,15094,2560869,247.47,1322.68
137,47.500165,14058,2458229,266.33,1284.51,35.986332,15949,2576818,247.92,1328.87
138,48.832592,25619,2483848,267.48,1296.25,114.897116,12800,2589618,248.29,1334.23
139,89.474685,12071,2495919,268.14,1301.14,40.166265,20008,2609626,249.50,1347.69
140,54.479193,17182,2513101,268.46,1307.39,52.936242,21664,2631290,250.44,1353.39
141,65.129334,15798,2528899,269.46,1312.61,77.374631,13540,2644830,251.40,1365.69
142,62.131698,16539,2545438,270.60,1325.43,58.982794,16775,2661605,251.38,1368.76
143,36.132983,23436,2568874,271.63,1334.51,56.546873,13882,2675487,252.49,1377.95
144,83.335488,8918,2577792,271.83,1338.71,39.789053,28533,2704020,253.33,1386.65
145,57.688455,20499,2598291,272.93,1351.52,105.253294,10248,2714268,254.22,1394.61
146,46.044097,24471,2622762,274.00,1358.52,64.696239,15394,2729662,254.03,1397.27
147,63.861469,14837,2637599,274.78,1378.26,55.383096,12661,2742323,255.23,1410.39
148,69.482824,14856,2652455,275.01,1383.36,42.745577,29659,2771982,255.98,1421.49
149,72.109045,14576,2667031,275.71,1391.70,91.948529,11179,2783161,257.06,1428.62
150,44.513686,18664,2685695,276.54,1399.91,31.331972,15318,2798479,256.64,1430.07
151,47.195919,23110,2708805,277.76,1407.29,110.462431,12688,2811167,258.08,1438.63
152,74.677977,15130,2723935,277.82,1408.78,35.026682,31084,2842251,258.96,1451.01
153,55.040285,16475,2740410,278.76,1415.36,67.505708,13156,2855407,259.92,1458.78
154,90.773113,11976,2752386,279.41,1417.62,41.349952,16940,2872347,259.52,1464.12
155,35.182048,24197,2776583,280.71,1431.00,157.597641,8786,2881133,260.40,1474.70
156,57.418019,19952,2796535,280.82,1433.17,32.549676,28488,2909621,261.48,1484.43
157,67.085136,10342,2806877,281.48,1443.23,76.909052,14397,2924018,262.23,1493.60
158,60.495647,20230,2827107,282.36,1453.25,31.499269,22178,2946196,262.41,1500.70
159,82.84023,12812,2839919,283.28,1464.57,182.574041,7077,,,
160,33.729313,27474,2867393,284.19,1473.66,33.330003,28922,,,
161,143.405869,5583,2872976,284.25,1478.38,,,,,
162,44.735234,25248,2898224,285.31,1492.29,,,,,
163,74.468722,10796,2909020,285.84,1497.82,,,,,
164,25.467454,24310,2933330,286.05,1502.58,,,,,
165,338.602769,1278,2934608,286.11,1505.88,,,,,
166,63.655693,14823,2949431,285.78,1506.56,,,,,
167,26.344088,17071,2966502,285.90,1519.89,,,,,
168,94.290363,9360,2975862,285.89,1528.77,,,,,
169,23.719286,23712,,,,,,,,
170,314.134865,93,,,,,,,,
