second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot,throughput_zookeeper_v3.4.8_snapshot,cumulative_throughput_zookeeper_v3.4.8_snapshot,avg_cpu_zookeeper_v3.4.8_snapshot,avg_memory_mb_zookeeper_v3.4.8_snapshot,avg_latency_ms_zookeeper_v3.4.8_nosnapshot,throughput_zookeeper_v3.4.8_nosnapshot,cumulative_throughput_zookeeper_v3.4.8_nosnapshot,avg_cpu_zookeeper_v3.4.8_nosnapshot,avg_memory_mb_zookeeper_v3.4.8_nosnapshot,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
174,1397.772187,5,413467,125.74,2681.48,,,,,,,,,,,,,,,,,,,,
175,713.581054,3,413470,125.05,2681.48,,,,,,,,,,,,,,,,,,,,
176,337.088119,21,413491,124.38,2681.48,,,,,,,,,,,,,,,,,,,,
177,989.411615,11,413502,123.73,2681.48,,,,,,,,,,,,,,,,,,,,
178,0.000000,0,413502,123.07,2681.48,,,,,,,,,,,,,,,,,,,,
179,1832.398407,2,413504,122.42,2681.48,,,,,,,,,,,,,,,,,,,,
180,66.737602,42,413546,121.78,2681.48,,,,,,,,,,,,,,,,,,,,
181,103.883093,5645,419191,121.38,2681.48,,,,,,,,,,,,,,,,,,,,
182,87.705809,11287,430478,121.97,2681.48,,,,,,,,,,,,,,,,,,,,
183,87.257904,10468,440946,123.65,2681.48,,,,,,,,,,,,,,,,,,,,
184,85.104555,6335,447281,125.79,2682.27,,,,,,,,,,,,,,,,,,,,
185,226.088907,5153,452434,127.97,2682.27,,,,,,,,,,,,,,,,,,,,
186,125.262192,4646,457080,130.35,2752.70,,,,,,,,,,,,,,,,,,,,
187,164.246485,5545,462625,132.40,3036.08,,,,,,,,,,,,,,,,,,,,
188,153.876689,4934,467559,134.81,3174.50,,,,,,,,,,,,,,,,,,,,
189,189.633176,2551,470110,137.02,3233.87,,,,,,,,,,,,,,,,,,,,
190,84.972440,7032,477142,138.75,3237.12,,,,,,,,,,,,,,,,,,,,
191,402.623972,1274,478416,140.83,3285.17,,,,,,,,,,,,,,,,,,,,
192,129.629343,9185,487601,142.83,3285.17,,,,,,,,,,,,,,,,,,,,
193,184.621105,4421,492022,145.08,3341.58,,,,,,,,,,,,,,,,,,,,
194,102.974774,5209,497231,147.32,3404.64,,,,,,,,,,,,,,,,,,,,
195,90.302659,9301,506532,150.06,3405.01,,,,,,,,,,,,,,,,,,,,
196,464.355893,581,507113,152.10,3405.18,,,,,,,,,,,,,,,,,,,,
197,183.245454,3246,510359,154.62,3405.22,,,,,,,,,,,,,,,,,,,,
198,189.102480,5602,515961,156.51,3427.29,,,,,,,,,,,,,,,,,,,,
199,49.640038,8915,524876,158.63,3536.29,,,,,,,,,,,,,,,,,,,,
200,825.789129,10,524886,160.62,3682.99,,,,,,,,,,,,,,,,,,,,
201,953.311127,897,525783,162.17,3721.39,,,,,,,,,,,,,,,,,,,,
202,695.267538,334,,,,,,,,,,,,,,,,,,,,,,,
