second,avg_latency_ms_etcdv3,throughput_etcdv3,cumulative_throughput_etcdv3,avg_cpu_etcdv3,avg_memory_mb_etcdv3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
88,50.107013,20061,1601333,218.22,891.49,45.429815,22004,1822673,216.19,989.61,21.427278,26403,2127738,139.82,2760.20
89,154.862368,5776,1607109,218.31,896.67,63.344134,15171,1837844,216.14,993.78,31.095876,25353,2153091,139.58,2760.65
90,55.896691,18796,1625905,219.89,906.96,48.134822,21243,1859087,217.79,998.90,28.042775,24178,2177269,139.06,2761.88
91,49.379398,18925,1644830,221.54,912.14,47.855694,19613,1878700,219.34,1007.80,17.914016,23120,2200389,138.04,2761.45
92,50.319421,19205,1664035,223.20,918.43,65.567227,13920,1892620,220.51,1016.60,3166.926684,92,2200481,137.29,2761.45
93,79.733156,15000,1679035,223.40,926.85,95.838012,11828,1904448,220.22,1019.34,4272.522103,80,2200561,136.18,2761.51
94,50.100778,18741,1697776,224.77,933.33,60.662951,14499,1918947,221.45,1031.65,4011.318372,4,2200565,135.48,2761.52
95,54.166503,17783,1715559,226.18,942.90,50.740408,21836,1940783,222.36,1035.04,2987.156035,104,2200669,134.34,2761.52
96,53.635628,19720,1735279,227.78,957.15,50.448972,15751,1956534,223.43,1042.69,173.413282,1513,2202182,133.62,2761.52
97,55.428688,16259,1751538,227.96,959.77,68.270953,15892,1972426,224.48,1051.04,1951.821561,1503,2203685,132.59,2761.52
98,87.925339,11733,1763271,228.84,966.44,87.574802,12848,1985274,224.63,1060.32,630.604173,1918,2205603,131.93,2761.56
99,55.508932,18997,1782268,230.29,970.33,47.096718,21013,2006287,225.85,1071.12,290.896106,7025,2212628,131.03,2761.56
100,52.158629,19706,1801974,231.82,983.82,52.776193,15547,2021834,226.88,1079.66,16.610398,32659,2245287,130.18,2761.56
101,51.037339,19502,1821476,232.90,992.54,66.741876,17805,2039639,227.74,1087.24,41.678110,18907,2264194,129.35,2761.57
102,165.378724,6007,1827483,232.67,996.27,105.475487,9373,2049012,227.73,1093.50,23.844389,27872,2292066,128.49,2761.57
103,48.335564,20076,1847559,234.22,1004.35,50.401577,19802,2068814,228.85,1098.21,17.786187,37413,2329479,127.71,2761.57
104,48.004350,20106,1867665,235.77,1011.49,53.827103,13992,2082806,229.95,1105.17,18.010821,37074,2366553,126.89,2761.57
105,50.870509,20509,1888174,237.06,1021.62,49.260691,23063,2105869,231.25,1111.90,18.460774,35006,2401559,126.07,2761.57
106,58.248606,11126,1899300,237.41,1030.06,63.591866,14247,2120116,231.56,1118.89,18.955116,36205,2437764,125.43,2761.83
107,85.153399,16127,1915427,238.81,1038.28,77.100776,14286,2134402,232.36,1127.63,18.347546,34562,2472326,124.60,2761.83
108,39.344816,20303,1935730,240.06,1048.91,52.367182,20882,2155284,233.12,1135.49,427.574289,899,2473225,123.84,2761.83
109,46.398354,22154,1957884,241.53,1057.53,51.746449,19007,2174291,234.60,1149.61,605.836564,1205,2474430,123.09,2761.83
110,54.781894,15283,1973167,241.85,1062.73,53.561406,18900,2193191,235.76,1158.90,628.902173,822,2475252,122.37,2761.83
111,97.644332,13512,1986679,243.17,1067.76,52.346891,18893,2212084,236.25,1163.38,115.025499,11514,2486766,121.64,2761.83
112,52.132754,19065,2005744,244.45,1078.24,49.400336,18402,2230486,237.78,1175.40,27.636393,28679,2515445,120.89,2761.83
113,41.478611,20765,2026509,245.58,1089.07,57.489063,17976,2248462,238.64,1187.43,17.996413,37069,2552514,120.18,2761.83
114,47.020106,20442,2046951,246.10,1096.97,42.408523,19421,2267883,239.09,1191.55,16.389343,40577,2593091,119.48,2761.83
115,178.607566,6575,2053526,246.87,1101.94,87.187516,13319,2281202,239.96,1198.01,17.422836,38298,2631389,118.78,2761.83
116,38.403289,19425,2072951,248.20,1112.02,53.446733,15847,2297049,240.67,1205.39,19.523612,33703,2665092,118.12,2761.83
117,49.141592,23820,2096771,249.68,1119.59,46.094836,22645,2319694,241.89,1212.49,19.317902,32631,2697723,117.99,2762.01
118,50.679919,20419,2117190,250.70,1126.93,63.575927,18404,2338098,242.59,1220.74,22.182240,23396,2721119,117.33,2762.01
119,71.940962,3535,2120725,250.59,1130.03,53.956774,15174,2353272,243.33,1230.89,711.895844,181,2721300,117.06,2758.42
120,73.201659,23097,2143822,251.61,1139.84,51.096313,21790,2375062,244.47,1237.38,2034.002953,184,2721484,116.83,2757.18
121,52.241063,18616,2162438,252.99,1153.09,91.059325,11543,2386605,245.18,1244.22,4788.791168,149,2721633,116.83,2754.99
122,63.889572,17675,2180113,254.23,1161.92,36.945821,24594,2411199,246.40,1254.95,8012.451982,1,2721634,117.18,2746.28
123,59.757253,14442,2194555,254.28,1167.03,136.418976,4458,2415657,246.20,1257.55,230.981639,1733,2723367,117.44,2740.11
124,67.652558,16572,2211127,255.49,1179.79,49.534625,25134,2440791,247.58,1268.77,35.794316,24316,2747683,117.64,2740.73
125,58.720039,16551,2227678,256.66,1189.23,53.668603,23049,2463840,248.47,1274.67,25.341502,22350,2770033,117.97,2736.92
126,59.663933,16810,2244488,257.89,1194.99,55.908823,17587,2481427,249.76,1287.55,28.532294,26908,2796941,118.27,2737.71
127,38.546480,23990,2268478,258.59,1201.84,63.098829,15979,2497406,249.67,1293.73,18.839956,35328,2832269,118.56,2744.52
128,83.676727,12618,2281096,259.65,1207.62,51.559977,17232,2514638,250.95,1300.60,18.043043,36870,2869139,118.84,2751.37
129,64.807400,15946,2297042,260.75,1212.10,49.151863,17634,2532272,251.95,1312.38,18.464927,35873,2905012,119.11,2774.02
130,37.701901,22757,2319799,261.68,1222.03,40.789693,28662,2560934,253.06,1321.06,14.119196,4750,,,
131,54.170468,19351,2339150,262.14,1229.73,253.247828,4177,2565111,253.24,1325.40,,,,,
132,128.993900,7264,2346414,262.52,1238.17,33.332521,28975,2594086,254.11,1337.26,,,,,
133,54.489749,19711,2366125,263.66,1247.84,59.024889,17139,2611225,255.32,1348.97,,,,,
134,74.324185,14568,2380693,264.49,1251.47,50.953842,14141,2625366,255.95,1359.36,,,,,
135,51.022299,18581,2399274,265.38,1259.63,75.049570,17269,2642635,256.46,1365.12,,,,,
136,54.706388,17030,2416304,265.76,1264.90,60.088306,16623,2659258,257.20,1375.61,,,,,
137,91.300732,9544,2425848,266.80,1270.71,31.073906,27015,2686273,258.36,1387.93,,,,,
138,50.083919,23934,2449782,267.97,1282.15,69.775868,16627,2702900,259.15,1392.21,,,,,
139,68.361075,14819,2464601,269.09,1290.24,52.691698,17820,2720720,259.70,1401.08,,,,,
140,49.398626,15768,2480369,269.79,1297.54,58.225464,18095,2738815,260.62,1405.29,,,,,
141,87.908074,14154,2494523,270.42,1304.24,55.383149,14955,2753770,261.08,1414.50,,,,,
142,62.590999,15961,2510484,271.50,1313.40,48.029582,14134,2767904,261.45,1419.01,,,,,
143,38.476572,24612,2535096,272.02,1320.77,24.314672,17338,2785242,261.77,1424.07,,,,,
144,75.069768,12282,2547378,272.99,1327.43,85.936226,10546,2795788,261.93,1425.63,,,,,
145,55.973168,16226,2563604,272.59,1330.01,23.295358,23915,2819703,262.06,1432.54,,,,,
146,167.449951,7148,2570752,273.47,1340.01,98.288352,5842,2825545,262.14,1444.96,,,,,
147,51.884739,19400,2590152,273.89,1349.26,31.642274,27469,2853014,262.34,1453.50,,,,,
148,67.998943,14477,2604629,274.93,1354.94,77.484105,6028,2859042,261.88,1462.03,,,,,
