2016-04-25 11:27:59.911308 I | etcdserver: saved snapshot at index 201918
2016-04-25 11:27:59.911575 I | etcdserver: compacted raft log at 196918
2016-04-25 11:28:00.038591 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031edf.wal is created
2016-04-25 11:28:00.449051 I | etcdserver: start to snapshot (applied: 212098, lastsnap: 201918)
2016-04-25 11:28:00.480569 I | etcdserver: saved snapshot at index 212098
2016-04-25 11:28:00.480746 I | etcdserver: compacted raft log at 207098
2016-04-25 11:28:00.964068 I | etcdserver: start to snapshot (applied: 222127, lastsnap: 212098)
2016-04-25 11:28:00.975037 I | etcdserver: saved snapshot at index 222127
2016-04-25 11:28:00.975346 I | etcdserver: compacted raft log at 217127
2016-04-25 11:28:01.483458 I | etcdserver: start to snapshot (applied: 232149, lastsnap: 222127)
2016-04-25 11:28:01.491829 I | etcdserver: saved snapshot at index 232149
2016-04-25 11:28:01.491985 I | etcdserver: compacted raft log at 227149
2016-04-25 11:28:02.012908 I | etcdserver: start to snapshot (applied: 242159, lastsnap: 232149)
2016-04-25 11:28:02.022738 I | etcdserver: saved snapshot at index 242159
2016-04-25 11:28:02.022901 I | etcdserver: compacted raft log at 237159
2016-04-25 11:28:02.543186 I | etcdserver: start to snapshot (applied: 252239, lastsnap: 242159)
2016-04-25 11:28:02.555433 I | etcdserver: saved snapshot at index 252239
2016-04-25 11:28:02.555636 I | etcdserver: compacted raft log at 247239
2016-04-25 11:28:03.037236 I | etcdserver: start to snapshot (applied: 262404, lastsnap: 252239)
2016-04-25 11:28:03.051880 I | etcdserver: saved snapshot at index 262404
2016-04-25 11:28:03.052067 I | etcdserver: compacted raft log at 257404
2016-04-25 11:28:03.603694 I | etcdserver: start to snapshot (applied: 272511, lastsnap: 262404)
2016-04-25 11:28:03.609313 I | etcdserver: saved snapshot at index 272511
2016-04-25 11:28:03.609522 I | etcdserver: compacted raft log at 267511
2016-04-25 11:28:04.126440 I | etcdserver: start to snapshot (applied: 282788, lastsnap: 272511)
2016-04-25 11:28:04.143223 I | etcdserver: saved snapshot at index 282788
2016-04-25 11:28:04.143425 I | etcdserver: compacted raft log at 277788
2016-04-25 11:28:04.663938 I | etcdserver: start to snapshot (applied: 292821, lastsnap: 282788)
2016-04-25 11:28:04.673379 I | etcdserver: saved snapshot at index 292821
2016-04-25 11:28:04.673598 I | etcdserver: compacted raft log at 287821
2016-04-25 11:28:05.206104 I | etcdserver: start to snapshot (applied: 302896, lastsnap: 292821)
2016-04-25 11:28:05.209803 I | etcdserver: saved snapshot at index 302896
2016-04-25 11:28:05.209969 I | etcdserver: compacted raft log at 297896
2016-04-25 11:28:05.755757 I | etcdserver: start to snapshot (applied: 313119, lastsnap: 302896)
2016-04-25 11:28:05.767648 I | etcdserver: saved snapshot at index 313119
2016-04-25 11:28:05.767845 I | etcdserver: compacted raft log at 308119
2016-04-25 11:28:06.331488 I | etcdserver: start to snapshot (applied: 323304, lastsnap: 313119)
2016-04-25 11:28:06.341385 I | etcdserver: saved snapshot at index 323304
2016-04-25 11:28:06.341606 I | etcdserver: compacted raft log at 318304
2016-04-25 11:28:06.866314 I | etcdserver: start to snapshot (applied: 333314, lastsnap: 323304)
2016-04-25 11:28:06.876986 I | etcdserver: saved snapshot at index 333314
2016-04-25 11:28:06.877166 I | etcdserver: compacted raft log at 328314
2016-04-25 11:28:07.455580 I | etcdserver: start to snapshot (applied: 343419, lastsnap: 333314)
2016-04-25 11:28:07.463410 I | etcdserver: saved snapshot at index 343419
2016-04-25 11:28:07.463644 I | etcdserver: compacted raft log at 338419
2016-04-25 11:28:07.983151 I | etcdserver: start to snapshot (applied: 353420, lastsnap: 343419)
2016-04-25 11:28:07.995104 I | etcdserver: saved snapshot at index 353420
2016-04-25 11:28:07.995298 I | etcdserver: compacted raft log at 348420
2016-04-25 11:28:08.564306 I | etcdserver: start to snapshot (applied: 363443, lastsnap: 353420)
2016-04-25 11:28:08.571651 I | etcdserver: saved snapshot at index 363443
2016-04-25 11:28:08.571850 I | etcdserver: compacted raft log at 358443
2016-04-25 11:28:09.095170 I | etcdserver: start to snapshot (applied: 373500, lastsnap: 363443)
2016-04-25 11:28:09.108842 I | etcdserver: saved snapshot at index 373500
2016-04-25 11:28:09.109086 I | etcdserver: compacted raft log at 368500
2016-04-25 11:28:09.663912 I | etcdserver: start to snapshot (applied: 383773, lastsnap: 373500)
2016-04-25 11:28:09.674913 I | etcdserver: saved snapshot at index 383773
2016-04-25 11:28:09.675111 I | etcdserver: compacted raft log at 378773
2016-04-25 11:28:10.217652 I | etcdserver: start to snapshot (applied: 393809, lastsnap: 383773)
2016-04-25 11:28:10.227612 I | etcdserver: saved snapshot at index 393809
2016-04-25 11:28:10.227780 I | etcdserver: compacted raft log at 388809
2016-04-25 11:28:10.822970 I | etcdserver: start to snapshot (applied: 404005, lastsnap: 393809)
2016-04-25 11:28:10.831401 I | etcdserver: saved snapshot at index 404005
2016-04-25 11:28:10.831594 I | etcdserver: compacted raft log at 399005
2016-04-25 11:28:11.083405 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000063e7e.wal is created
2016-04-25 11:28:11.358196 I | etcdserver: start to snapshot (applied: 414035, lastsnap: 404005)
2016-04-25 11:28:11.365159 I | etcdserver: saved snapshot at index 414035
2016-04-25 11:28:11.365344 I | etcdserver: compacted raft log at 409035
2016-04-25 11:28:11.833465 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000027fa.snap successfully
2016-04-25 11:28:11.833532 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000004f1f.snap successfully
2016-04-25 11:28:11.833584 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000007659.snap successfully
2016-04-25 11:28:11.833631 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000009e26.snap successfully
2016-04-25 11:28:11.833698 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000c5e0.snap successfully
2016-04-25 11:28:11.833765 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000ed0b.snap successfully
2016-04-25 11:28:11.833818 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000011453.snap successfully
2016-04-25 11:28:11.833866 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000013bad.snap successfully
2016-04-25 11:28:11.833912 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000162f9.snap successfully
2016-04-25 11:28:11.833955 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000018a32.snap successfully
2016-04-25 11:28:11.833998 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001b190.snap successfully
2016-04-25 11:28:11.834056 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001d8f5.snap successfully
2016-04-25 11:28:11.834104 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002000c.snap successfully
2016-04-25 11:28:11.834147 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000022827.snap successfully
2016-04-25 11:28:11.834197 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000024f4c.snap successfully
2016-04-25 11:28:11.834249 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000276cc.snap successfully
2016-04-25 11:28:11.834291 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000029e0e.snap successfully
2016-04-25 11:28:11.834353 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002c626.snap successfully
2016-04-25 11:28:11.834397 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002ed4f.snap successfully
2016-04-25 11:28:11.834439 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000314be.snap successfully
2016-04-25 11:28:11.834483 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000033c82.snap successfully
2016-04-25 11:28:11.834524 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000363af.snap successfully
2016-04-25 11:28:11.834565 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000038ad5.snap successfully
2016-04-25 11:28:11.834606 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003b1ef.snap successfully
2016-04-25 11:28:11.834650 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003d94f.snap successfully
2016-04-25 11:28:11.834695 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000040104.snap successfully
2016-04-25 11:28:11.834740 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000004287f.snap successfully
2016-04-25 11:28:11.834783 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000450a4.snap successfully
2016-04-25 11:28:11.834827 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000477d5.snap successfully
2016-04-25 11:28:11.834883 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000049f30.snap successfully
2016-04-25 11:28:11.834926 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000004c71f.snap successfully
2016-04-25 11:28:11.834987 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000004eee8.snap successfully
