2016-04-25 11:11:39.581819 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000004e6d.snap successfully
2016-04-25 11:11:39.581854 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000007580.snap successfully
2016-04-25 11:11:39.581889 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000009d22.snap successfully
2016-04-25 11:11:39.581928 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000c46c.snap successfully
2016-04-25 11:11:39.581962 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000eb93.snap successfully
2016-04-25 11:11:39.582003 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000112bc.snap successfully
2016-04-25 11:11:39.582037 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000013a3b.snap successfully
2016-04-25 11:11:39.582069 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001623f.snap successfully
2016-04-25 11:11:39.582101 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000189be.snap successfully
2016-04-25 11:11:39.582133 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001b0d3.snap successfully
2016-04-25 11:11:39.582167 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001d876.snap successfully
2016-04-25 11:11:39.582198 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002000f.snap successfully
2016-04-25 11:11:39.582229 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000022725.snap successfully
2016-04-25 11:11:39.582269 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000024f3a.snap successfully
2016-04-25 11:11:39.582302 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002765a.snap successfully
2016-04-25 11:11:39.582335 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000029d98.snap successfully
2016-04-25 11:11:39.582367 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002c4cd.snap successfully
2016-04-25 11:11:39.582398 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002ebde.snap successfully
2016-04-25 11:11:39.582428 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000312f3.snap successfully
2016-04-25 11:11:39.582469 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000033a56.snap successfully
2016-04-25 11:11:39.582501 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003618d.snap successfully
2016-04-25 11:11:39.582531 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000038908.snap successfully
2016-04-25 11:11:39.582568 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003b0be.snap successfully
2016-04-25 11:11:39.582599 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003d7da.snap successfully
2016-04-25 11:11:39.582629 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000003ff03.snap successfully
2016-04-25 11:11:39.582660 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000042699.snap successfully
2016-04-25 11:11:40.223399 I | etcdserver: start to snapshot (applied: 332792, lastsnap: 322660)
2016-04-25 11:11:40.231389 I | etcdserver: saved snapshot at index 332792
2016-04-25 11:11:40.231736 I | etcdserver: compacted raft log at 327792
2016-04-25 11:11:40.904268 I | etcdserver: start to snapshot (applied: 342865, lastsnap: 332792)
2016-04-25 11:11:40.954501 I | etcdserver: saved snapshot at index 342865
2016-04-25 11:11:40.954751 I | etcdserver: compacted raft log at 337865
2016-04-25 11:11:41.629425 I | etcdserver: start to snapshot (applied: 352870, lastsnap: 342865)
2016-04-25 11:11:41.662638 I | etcdserver: saved snapshot at index 352870
2016-04-25 11:11:41.662813 I | etcdserver: compacted raft log at 347870
2016-04-25 11:11:42.403804 I | etcdserver: start to snapshot (applied: 362995, lastsnap: 352870)
2016-04-25 11:11:42.474190 I | etcdserver: saved snapshot at index 362995
2016-04-25 11:11:42.474627 I | etcdserver: compacted raft log at 357995
2016-04-25 11:11:43.133165 I | etcdserver: start to snapshot (applied: 373212, lastsnap: 362995)
2016-04-25 11:11:43.159064 I | etcdserver: saved snapshot at index 373212
2016-04-25 11:11:43.159225 I | etcdserver: compacted raft log at 368212
2016-04-25 11:11:43.948425 I | etcdserver: start to snapshot (applied: 383219, lastsnap: 373212)
2016-04-25 11:11:43.967706 I | etcdserver: saved snapshot at index 383219
2016-04-25 11:11:43.968011 I | etcdserver: compacted raft log at 378219
2016-04-25 11:11:44.653180 I | etcdserver: start to snapshot (applied: 393236, lastsnap: 383219)
2016-04-25 11:11:44.662119 I | etcdserver: saved snapshot at index 393236
2016-04-25 11:11:44.662290 I | etcdserver: compacted raft log at 388236
2016-04-25 11:11:45.378048 I | etcdserver: start to snapshot (applied: 403335, lastsnap: 393236)
2016-04-25 11:11:45.385603 I | etcdserver: saved snapshot at index 403335
2016-04-25 11:11:45.385840 I | etcdserver: compacted raft log at 398335
2016-04-25 11:11:45.764418 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000063d5b.wal is created
2016-04-25 11:11:46.130275 I | etcdserver: start to snapshot (applied: 413400, lastsnap: 403335)
2016-04-25 11:11:46.153357 I | etcdserver: saved snapshot at index 413400
2016-04-25 11:11:46.153549 I | etcdserver: compacted raft log at 408400
2016-04-25 11:11:46.918119 I | etcdserver: start to snapshot (applied: 423453, lastsnap: 413400)
2016-04-25 11:11:46.949951 I | etcdserver: saved snapshot at index 423453
2016-04-25 11:11:46.953054 I | etcdserver: compacted raft log at 418453
2016-04-25 11:11:47.645153 I | etcdserver: start to snapshot (applied: 433465, lastsnap: 423453)
2016-04-25 11:11:47.651945 I | etcdserver: saved snapshot at index 433465
2016-04-25 11:11:47.652161 I | etcdserver: compacted raft log at 428465
2016-04-25 11:11:48.408375 I | etcdserver: start to snapshot (applied: 443532, lastsnap: 433465)
2016-04-25 11:11:48.420946 I | etcdserver: saved snapshot at index 443532
2016-04-25 11:11:48.421152 I | etcdserver: compacted raft log at 438532
2016-04-25 11:11:49.170066 I | etcdserver: start to snapshot (applied: 453691, lastsnap: 443532)
2016-04-25 11:11:49.183463 I | etcdserver: saved snapshot at index 453691
2016-04-25 11:11:49.183693 I | etcdserver: compacted raft log at 448691
2016-04-25 11:11:49.982305 I | etcdserver: start to snapshot (applied: 463706, lastsnap: 453691)
2016-04-25 11:11:49.996055 I | etcdserver: saved snapshot at index 463706
2016-04-25 11:11:49.996237 I | etcdserver: compacted raft log at 458706
2016-04-25 11:11:50.665997 I | etcdserver: start to snapshot (applied: 473746, lastsnap: 463706)
2016-04-25 11:11:50.682135 I | etcdserver: saved snapshot at index 473746
2016-04-25 11:11:50.682349 I | etcdserver: compacted raft log at 468746
2016-04-25 11:11:51.432433 I | etcdserver: start to snapshot (applied: 484004, lastsnap: 473746)
2016-04-25 11:11:51.438586 I | etcdserver: saved snapshot at index 484004
2016-04-25 11:11:51.438754 I | etcdserver: compacted raft log at 479004
2016-04-25 11:11:52.183399 I | etcdserver: start to snapshot (applied: 494115, lastsnap: 484004)
2016-04-25 11:11:52.191789 I | etcdserver: saved snapshot at index 494115
2016-04-25 11:11:52.192031 I | etcdserver: compacted raft log at 489115
2016-04-25 11:11:52.908291 I | etcdserver: start to snapshot (applied: 504444, lastsnap: 494115)
