second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
42,37.769212,27159,1249949,376.25,518.17,72.272066,12839,573465,387.97,298.83,89.264016,10502,583973,382.50,299.92,167.158708,6257,258412,102.64,182.19,34.947963,27532,1156407,393.35,492.06,63.463873,15770,745888,380.20,351.11
43,31.680703,31077,1281026,377.85,530.23,73.701537,12920,586385,389.60,302.55,64.947509,14157,598130,383.80,305.59,166.716539,5804,264216,103.45,185.08,37.067422,26255,1182662,394.72,501.56,56.695777,16834,762722,381.35,354.16
44,33.629359,29437,1310463,379.69,542.25,68.406217,13958,600343,390.87,307.54,71.052585,13176,611306,385.28,310.61,167.021204,6003,270219,104.31,185.67,36.644170,27762,1210424,396.15,510.42,61.016132,15619,778341,383.10,361.96
45,35.351139,26860,1337323,381.09,551.24,70.600039,13101,613444,392.71,313.66,71.923106,13069,624375,386.56,317.38,166.964142,6061,276280,105.06,187.08,37.114719,24835,1235259,397.56,519.57,60.843422,16523,794864,383.62,365.50
46,34.180148,30108,1367431,382.61,560.42,67.916379,14119,627563,394.07,319.34,71.192455,13469,637844,387.80,321.26,166.218332,5968,282248,105.86,188.67,39.983528,26429,1261688,398.54,534.55,58.496264,16156,811020,384.92,375.98
47,33.247625,30523,1397954,383.66,573.27,67.359018,13990,641553,395.53,324.06,68.078502,13624,651468,389.27,325.62,166.900516,5956,288204,106.60,192.51,33.978668,28899,1290587,400.25,541.69,58.948654,16506,827526,385.95,380.70
48,34.360407,28994,1426948,385.14,582.84,72.891050,12744,654297,396.96,329.96,67.371978,14426,665894,391.10,331.07,167.186676,6079,294283,107.44,195.98,36.896560,26697,1317284,401.63,551.37,61.499511,15137,842663,387.35,388.15
49,34.239915,28394,1455342,386.32,595.25,69.448918,13760,668057,398.19,335.18,65.861702,14076,679970,392.58,338.74,168.323606,5889,300172,108.25,198.87,37.095407,25863,1343147,402.97,561.02,63.379993,15896,858559,388.20,393.75
50,36.728098,28332,1483674,387.39,605.22,73.327918,12968,681025,399.18,337.96,73.926215,12804,692774,393.81,342.89,165.699119,5995,306167,108.94,200.57,39.020537,24928,1368075,404.01,574.32,58.159846,16631,875190,388.78,401.08
51,33.706294,29423,1513097,388.54,616.14,66.878641,13318,694343,400.22,343.42,77.320308,12425,705199,394.41,348.41,164.966098,5979,312146,109.62,201.39,35.715836,27807,1395882,405.73,586.26,60.633908,16697,891887,389.83,406.67
