second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
147,127.590504,9,1538,11.80,3878.67,112.848928,7,1601,11.54,3989.89,142.661812,7,1474,12.46,3859.22
148,147.961045,7,1545,11.79,3885.15,127.522781,9,1610,11.53,3996.10,181.156954,5,1479,12.45,3890.55
149,103.860628,8,1553,11.77,3889.25,133.769926,8,1618,11.52,4004.27,143.286051,8,1487,12.43,3927.20
150,127.572320,9,1562,11.74,3898.76,112.870272,7,1625,11.49,4009.80,146.696440,7,1494,12.42,3964.35
151,126.194183,6,1568,11.73,3907.86,127.595185,9,1634,11.47,4015.83,132.114144,7,1501,12.41,3996.63
152,123.558256,9,1577,11.71,3910.73,133.793371,8,1642,11.45,4023.54,148.024034,7,1508,12.39,4012.57
153,127.552505,9,1586,11.70,3918.73,113.028869,7,1649,11.43,4061.98,140.313072,6,1514,12.37,4021.08
154,125.466647,6,1592,11.68,3928.80,127.769018,9,1658,11.43,4119.74,162.539165,7,1521,12.36,4030.45
155,123.477655,9,1601,11.66,3933.57,147.567832,7,1665,11.43,4174.61,147.671078,7,1528,12.33,4053.92
156,127.757089,9,1610,11.65,3944.00,166.751457,5,1670,11.42,4208.80,169.715322,6,1534,12.32,4091.58
157,125.432850,6,1616,11.63,3956.47,149.746006,8,1678,11.40,4230.09,133.065709,7,1541,12.31,4105.66
158,123.627873,9,1625,11.61,3977.47,112.641389,7,1685,11.39,4248.97,146.792236,7,1548,12.29,4110.89
159,139.278004,8,1633,11.60,4018.06,127.554328,9,1694,11.37,4269.06,132.294941,7,1555,12.28,4116.42
160,113.086743,7,1640,11.60,4061.58,148.119476,7,1701,11.37,4308.42,140.232510,8,1563,12.26,4127.12
161,124.120054,9,1649,11.59,4090.53,167.434693,5,1706,11.35,4344.37,140.461258,6,1569,12.24,4135.66
162,153.553638,7,1656,11.59,4148.16,119.891848,8,1714,11.33,4362.78,167.845486,6,1575,12.23,4143.78
163,103.855140,8,1664,11.60,4209.88,123.859062,9,1723,11.33,4383.12,193.806075,5,1580,12.21,4151.18
164,123.925752,9,1673,11.59,4265.06,138.740355,8,1731,11.32,4405.22,157.004574,7,1587,12.18,4153.17
165,153.799814,7,1680,11.60,4322.35,114.097701,7,1738,11.31,4425.69,147.389991,7,1594,12.17,4158.76
166,103.954876,8,1688,11.60,4348.69,123.359192,9,1747,11.30,4449.59,132.191121,7,1601,12.15,4166.16
167,123.687384,9,1697,11.58,4365.12,151.962549,7,1754,11.30,4474.60,139.724957,8,1609,12.13,4175.64
168,126.365312,6,1703,11.56,4370.65,104.068922,8,1762,11.28,4489.72,140.127728,6,1615,12.11,4182.95
169,127.786191,9,1712,11.54,4375.90,123.661275,9,1771,11.26,4494.25,154.689788,7,1622,12.10,4191.98
170,123.617620,9,1721,11.52,4384.92,152.559442,7,1778,11.25,4502.18,176.593430,5,1627,12.08,4200.90
171,126.141628,6,1727,11.50,4392.72,104.437392,8,1786,11.23,4511.72,145.917983,8,1635,12.05,4215.67
