second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
24,103.282886,8,643,21.79,1504.87,136.451183,8,611,20.50,1505.39,168.322670,6,580,22.17,1554.77
25,125.739636,9,652,21.37,1534.01,127.240040,8,619,20.15,1525.58,130.231765,6,586,21.77,1560.66
26,132.422058,8,660,21.00,1563.33,111.198959,7,626,19.82,1540.63,139.630510,7,593,21.38,1568.19
27,111.400977,7,667,20.62,1570.67,121.466955,9,635,19.50,1545.59,162.007330,7,600,21.02,1576.80
28,145.410512,7,674,20.23,1576.77,125.866663,9,644,19.21,1582.19,175.284844,6,606,20.69,1604.39
29,160.596662,6,680,19.89,1583.94,123.259613,6,650,18.93,1590.06,168.963871,6,612,20.37,1611.57
30,120.515537,9,689,19.58,1597.70,121.567091,9,659,18.70,1606.82,168.971473,6,618,20.04,1615.58
31,153.996916,7,696,19.34,1639.23,125.693648,9,668,18.48,1630.70,128.578232,7,625,19.74,1630.96
32,117.942082,9,705,19.13,1678.48,145.331646,7,675,18.21,1647.76,137.427325,8,633,19.51,1666.22
33,124.591176,6,711,18.90,1724.84,102.716921,8,683,18.00,1670.63,143.634533,7,640,19.28,1706.09
34,128.083048,9,720,18.76,1751.90,125.836688,9,692,17.71,1677.99,129.994956,7,647,19.07,1746.93
35,122.275389,9,729,18.58,1769.34,145.716990,7,699,17.52,1708.29,136.742855,8,655,18.88,1777.41
36,125.028402,6,735,18.34,1780.56,103.269585,8,707,17.33,1754.68,142.781329,7,662,18.65,1785.17
37,156.725542,8,743,18.10,1786.04,125.825326,9,716,17.17,1780.34,131.071912,7,669,18.43,1788.84
38,127.926822,8,751,17.88,1790.90,131.997873,8,724,16.99,1786.86,136.955765,8,677,18.25,1794.12
39,151.436951,6,757,17.67,1800.15,111.600196,7,731,16.79,1791.91,137.470213,6,683,18.03,1803.74
40,152.804598,7,764,17.49,1805.12,125.691333,9,740,16.64,1798.19,156.958908,7,690,17.83,1810.34
41,114.246973,7,771,17.28,1811.86,122.021242,9,749,16.52,1805.07,155.490285,6,696,17.64,1826.34
42,126.764138,9,780,17.12,1816.64,123.771395,6,755,16.36,1817.55,164.569296,7,703,17.47,1854.33
43,132.266533,8,788,16.92,1829.78,126.029291,9,764,16.21,1848.46,155.633623,6,709,17.34,1868.98
44,113.117832,7,795,16.80,1900.69,121.825910,9,773,16.12,1907.92,145.914107,7,716,17.17,1887.87
45,127.436491,9,804,16.73,1951.43,126.940000,6,779,16.02,1933.92,171.480874,5,721,17.04,1927.24
46,132.506716,8,812,16.62,1983.95,126.249127,9,788,15.88,1946.22,169.530898,6,727,16.89,1960.42
47,125.437666,6,818,16.51,2018.47,121.588927,9,797,15.75,1953.65,145.600302,7,734,16.78,1991.56
48,158.816954,8,826,16.36,2034.34,148.722134,7,804,15.67,1982.15,170.071161,6,740,16.67,2014.75
49,110.940066,7,833,16.23,2042.18,104.590249,8,812,15.54,2002.30,170.037041,6,746,16.53,2022.43
50,126.457970,9,842,16.13,2044.21,122.131157,9,821,15.45,2023.51,176.320998,6,752,16.40,2033.08
51,132.853716,8,850,16.04,2049.62,151.120171,7,828,15.37,2045.91,157.777936,6,758,16.27,2056.60
52,112.014165,7,857,15.90,2056.38,102.516387,8,836,15.28,2082.74,142.914163,7,765,16.13,2059.91
53,126.855941,9,866,15.78,2064.96,121.904104,9,845,15.20,2108.20,182.693290,6,771,16.01,2066.36
54,133.011066,8,874,15.69,2089.51,136.824161,8,853,15.09,2117.31,104.552423,8,779,15.90,2071.18
55,114.908794,7,881,15.59,2114.74,111.800314,7,860,14.98,2126.70,146.617271,6,785,15.79,2075.26
56,126.485698,9,890,15.49,2138.93,122.004484,9,869,14.89,2133.85,136.080258,8,793,15.70,2083.77
57,132.603152,8,898,15.40,2147.07,137.115245,8,877,14.83,2157.17,118.943738,9,802,15.61,2091.10
58,163.764654,5,903,15.27,2155.38,112.625234,7,884,14.74,2183.23,145.003756,7,809,15.48,2106.48
59,138.803496,8,911,15.17,2187.77,121.865024,9,893,14.65,2201.85,138.504135,7,816,15.41,2156.37
60,143.866315,7,918,15.10,2224.67,126.551569,9,902,14.56,2227.52,165.096846,6,822,15.34,2197.41
61,181.393831,6,924,15.03,2260.94,124.359243,6,908,14.49,2246.78,164.376071,7,829,15.27,2236.80
62,103.123967,8,932,14.96,2289.77,121.819433,9,917,14.44,2286.89,156.593282,6,835,15.19,2269.27
63,122.395318,9,941,14.91,2312.61,125.981421,9,926,14.36,2318.11,146.878456,7,842,15.12,2294.87
64,153.081503,7,948,14.83,2333.24,146.072155,7,933,14.28,2347.31,155.469816,6,848,15.03,2296.90
65,103.598244,8,956,14.74,2347.15,102.666267,8,941,14.22,2366.74,156.034753,6,854,14.95,2304.23
66,122.868166,9,965,14.68,2382.95,126.179425,9,950,14.17,2386.54,165.454539,7,861,14.87,2311.02
67,147.146451,7,972,14.61,2405.97,146.870064,7,957,14.13,2401.05,156.017533,6,867,14.78,2315.23
68,145.812804,7,979,14.53,2414.42,102.635421,8,965,14.05,2404.12,146.754200,7,874,14.71,2340.12
69,140.728737,7,986,14.45,2420.26,126.347301,9,974,13.96,2412.39,155.543137,6,880,14.66,2359.81
70,104.641150,8,994,14.40,2424.53,132.513752,8,982,13.89,2420.13,156.775235,6,886,14.59,2364.90
71,121.873965,9,1003,14.34,2430.93,111.975331,7,989,13.83,2427.25,164.824642,7,893,14.52,2371.97
72,137.186013,8,1011,14.27,2438.98,126.426678,9,998,13.76,2463.49,156.051549,6,899,14.42,2377.20
73,111.951273,7,1018,14.18,2445.10,132.430675,8,1006,13.73,2504.42,158.089330,6,905,14.35,2379.96
74,122.906821,9,1027,14.12,2452.41,112.166715,7,1013,13.68,2529.65,137.043883,8,913,14.29,2383.99
75,137.772217,8,1035,14.06,2456.30,126.851697,9,1022,13.63,2544.94,143.655913,7,920,14.23,2393.54
76,111.665538,7,1042,14.00,2484.11,132.962009,8,1030,13.60,2570.82,131.196890,7,927,14.18,2420.14
77,122.553706,9,1051,13.95,2516.87,112.112023,7,1037,13.56,2595.34,137.652416,8,935,14.12,2462.55
78,138.131465,8,1059,13.92,2576.97,126.655132,9,1046,13.50,2604.75,163.082149,6,941,14.10,2520.46
79,114.085657,7,1066,13.90,2646.08,122.197515,9,1055,13.44,2614.04,143.823964,7,948,14.09,2569.35
80,173.103766,7,1073,13.85,2697.51,125.232487,6,1061,13.41,2639.52,130.487787,7,955,14.06,2601.37
81,139.452573,6,1079,13.82,2727.80,126.545785,9,1070,13.37,2662.32,138.077689,8,963,14.03,2612.79
82,138.700630,8,1087,13.77,2739.73,122.153779,9,1079,13.33,2684.86,137.337075,6,969,13.98,2618.23
83,181.904599,5,1092,13.70,2744.36,124.623284,6,1085,13.32,2734.44,137.332477,8,977,13.93,2624.21
84,144.849979,8,1100,13.64,2748.41,126.727802,9,1094,13.30,2783.76,144.587717,7,984,13.87,2634.23
85,119.423306,8,1108,13.58,2755.62,122.185655,9,1103,13.24,2790.83,130.088563,7,991,13.84,2639.16
86,146.287453,7,1115,13.52,2759.16,124.478835,6,1109,13.20,2796.81,138.091237,8,999,13.78,2643.94
87,103.841123,8,1123,13.47,2767.06,128.721444,9,1118,13.17,2802.63,145.148946,7,1006,13.73,2655.64
88,128.697659,9,1132,13.43,2772.95,122.280428,9,1127,13.13,2805.88,129.862436,7,1013,13.71,2691.86
89,145.967912,7,1139,13.39,2779.64,124.425362,6,1133,13.08,2815.39,137.934975,8,1021,13.68,2713.92
90,103.735828,8,1147,13.33,2791.02,126.613723,9,1142,13.05,2825.67,145.488795,7,1028,13.64,2721.87
91,126.787884,9,1156,13.27,2801.18,122.319166,9,1151,13.00,2831.37,130.140626,7,1035,13.59,2732.19
92,147.085145,7,1163,13.22,2809.38,125.119070,6,1157,12.95,2853.64,145.600261,7,1042,13.53,2739.52
93,103.786691,8,1171,13.21,2835.63,126.651767,9,1166,12.92,2876.62,151.599388,7,1049,13.49,2745.10
94,126.797544,9,1180,13.17,2866.16,122.278340,9,1175,12.90,2899.21,149.555730,5,1054,13.44,2760.35
95,146.543426,7,1187,13.13,2889.10,125.269023,6,1181,12.88,2951.32,184.382666,6,1060,13.40,2791.30
96,103.805471,8,1195,13.10,2908.21,126.776747,9,1190,12.87,3007.08,140.086997,7,1067,13.37,2824.21
97,126.983119,9,1204,13.07,2944.61,122.533981,9,1199,12.83,3028.80,128.640896,8,1075,13.35,2865.54
98,146.457993,7,1211,13.06,2988.03,124.667424,6,1205,12.81,3041.36,125.655772,9,1084,13.34,2909.09
99,106.464349,8,1219,13.03,3032.29,126.629141,9,1214,12.78,3048.38,144.390907,7,1091,13.32,2968.55
100,132.040722,8,1227,12.99,3073.87,122.877164,9,1223,12.75,3056.36,103.304476,8,1099,13.31,3004.34
101,152.887487,7,1234,12.98,3111.20,125.730359,6,1229,12.73,3081.62,125.409833,9,1108,13.28,3009.42
102,104.827552,8,1242,12.95,3123.67,127.048670,9,1238,12.70,3104.28,144.736059,7,1115,13.23,3016.65
103,123.703254,9,1251,12.90,3128.66,122.965239,9,1247,12.67,3131.57,103.430835,8,1123,13.19,3023.84
104,153.076078,7,1258,12.86,3135.87,149.197825,7,1254,12.64,3157.00,125.633361,9,1132,13.16,3028.29
105,105.069153,8,1266,12.82,3142.83,166.444792,6,1260,12.61,3178.31,133.592049,8,1140,13.13,3033.92
106,123.702416,9,1275,12.80,3150.44,132.480647,7,1267,12.58,3193.66,111.345821,7,1147,13.10,3040.43
107,126.425322,6,1281,12.76,3154.24,165.539981,6,1273,12.54,3200.82,126.264559,9,1156,13.07,3050.28
108,128.544863,9,1290,12.74,3184.04,145.812462,7,1280,12.51,3205.22,121.922405,9,1165,13.05,3062.26
109,123.977878,9,1299,12.72,3216.22,166.061880,6,1286,12.47,3232.63,123.692624,6,1171,13.00,3072.50
110,126.545865,6,1305,12.70,3249.75,133.185614,7,1293,12.46,3270.09,125.967749,9,1180,12.99,3104.35
111,128.242526,9,1314,12.69,3262.99,140.418246,7,1300,12.45,3291.38,121.895353,9,1189,12.96,3124.44
112,134.290176,8,1322,12.66,3268.28,179.055221,6,1306,12.41,3296.67,123.991757,6,1195,12.93,3128.91
113,114.407690,7,1329,12.63,3275.92,132.459166,7,1313,12.38,3304.15,125.812094,9,1204,12.90,3134.76
114,128.730144,9,1338,12.60,3282.78,139.191580,8,1321,12.34,3309.41,122.337096,9,1213,12.88,3151.48
115,134.216200,8,1346,12.57,3289.07,206.448932,4,1325,12.31,3329.48,124.053548,6,1219,12.86,3173.78
116,114.711990,7,1353,12.54,3294.58,224.665536,5,1330,12.27,3346.75,137.893807,8,1227,12.84,3215.40
117,128.891435,9,1362,12.50,3301.94,191.807934,5,1335,12.23,3362.61,143.961231,8,1235,12.83,3260.52
118,148.156396,7,1369,12.47,3321.15,192.514776,5,1340,12.20,3382.16,128.499005,8,1243,12.82,3298.41
119,105.254389,8,1377,12.45,3369.56,171.881598,6,1346,12.18,3402.05,112.521252,7,1250,12.81,3342.20
120,128.494999,9,1386,12.44,3398.83,173.075337,6,1352,12.15,3421.57,122.569859,9,1259,12.80,3363.07
121,126.536574,6,1392,12.41,3431.57,172.128006,6,1358,12.12,3442.82,137.971628,8,1267,12.80,3404.90
122,124.097599,9,1401,12.40,3475.23,173.288346,6,1364,12.08,3450.30,113.125484,7,1274,12.78,3440.68
123,139.531557,8,1409,12.39,3512.76,167.023591,5,1369,12.05,3454.47,122.447893,9,1283,12.76,3449.34
124,115.297911,7,1416,12.37,3556.79,166.547406,6,1375,12.02,3460.74,138.340046,8,1291,12.75,3460.69
125,124.170821,9,1425,12.37,3601.04,144.391067,8,1383,11.99,3477.19,112.724754,7,1298,12.72,3464.64
126,154.892003,7,1432,12.35,3632.53,112.833179,7,1390,11.99,3532.70,122.363574,9,1307,12.70,3469.34
127,104.900023,8,1440,12.33,3662.54,122.648829,9,1399,11.98,3570.90,137.943732,8,1315,12.68,3479.76
128,124.002726,9,1449,12.32,3676.35,137.869471,8,1407,11.97,3607.77,112.658720,7,1322,12.65,3487.48
129,126.547037,6,1455,12.29,3678.69,112.034972,7,1414,11.96,3642.46,122.502434,9,1331,12.63,3493.82
130,128.962625,9,1464,12.27,3686.16,122.796786,9,1423,11.94,3667.03,126.816166,9,1340,12.61,3503.58
131,124.258085,9,1473,12.24,3691.37,138.577126,8,1431,11.92,3685.84,125.169179,6,1346,12.59,3509.07
132,126.872607,6,1479,12.22,3698.26,112.348829,7,1438,11.90,3697.18,122.447013,9,1355,12.55,3513.31
133,131.442728,8,1487,12.19,3704.91,122.666677,9,1447,11.87,3700.94,127.638241,9,1364,12.54,3535.27
134,144.110460,8,1495,12.17,3710.05,126.852140,9,1456,11.85,3706.36,124.955671,6,1370,12.53,3571.46
135,161.934255,6,1501,12.14,3719.28,125.088226,6,1462,11.82,3715.91,122.453076,9,1379,12.51,3595.86
136,185.294336,5,1506,12.10,3723.49,123.826187,9,1471,11.81,3721.49,175.975697,6,1385,12.48,3607.97
137,120.423021,8,1514,12.08,3728.63,138.000728,8,1479,11.79,3726.76,139.165003,6,1391,12.47,3633.47
138,124.095023,9,1523,12.06,3738.65,112.731110,7,1486,11.77,3735.59,142.206938,7,1398,12.45,3655.37
139,125.850285,6,1529,12.04,3742.74,123.154406,9,1495,11.75,3744.40,123.002968,9,1407,12.43,3687.51
140,129.577919,9,1538,12.01,3751.92,138.575641,8,1503,11.73,3753.36,127.826906,9,1416,12.43,3730.97
141,123.975456,9,1547,11.99,3758.41,112.383347,7,1510,11.71,3759.80,125.502227,6,1422,12.44,3777.40
142,126.035731,6,1553,11.97,3765.53,123.322365,9,1519,11.70,3807.25,123.663743,9,1431,12.43,3819.47
143,128.396074,9,1562,11.96,3782.27,138.575770,8,1527,11.70,3868.11,138.755455,8,1439,12.44,3848.88
144,132.800823,8,1570,11.94,3801.46,112.155540,7,1534,11.69,3900.75,113.148739,7,1446,12.44,3871.83
145,147.275510,7,1577,11.94,3865.56,123.123066,9,1543,11.69,3919.50,123.105744,9,1455,12.42,3886.98
146,104.410585,8,1585,11.93,3915.83,138.694767,8,1551,11.68,3945.28,138.389560,8,1463,12.41,3895.01
147,127.865514,9,1594,11.93,3969.37,112.714192,7,1558,11.67,3969.10,113.638365,7,1470,12.40,3913.85
148,125.953474,6,1600,11.93,4015.49,123.594348,9,1567,11.65,3990.28,123.123869,9,1479,12.39,3944.00
149,123.812826,9,1609,11.91,4047.98,138.712295,8,1575,11.63,3996.20,138.361192,8,1487,12.38,3971.50
150,127.823971,9,1618,11.91,4088.56,112.688518,7,1582,11.61,4004.24,113.709374,7,1494,12.37,3977.99
151,126.460771,6,1624,11.90,4126.85,123.282258,9,1591,11.60,4028.93,130.907589,8,1502,12.35,3982.16
152,134.953869,8,1632,11.89,4157.15,152.419154,7,1598,11.58,4045.17,122.494065,9,1511,12.32,3988.55
153,133.911816,8,1640,11.87,4177.73,106.510156,8,1606,11.57,4074.93,147.142037,7,1518,12.31,3995.15
154,134.460150,8,1648,11.85,4181.31,123.558168,9,1615,11.56,4098.97,143.680548,7,1525,12.29,4001.61
155,113.861399,7,1655,11.83,4186.76,152.203449,7,1622,11.55,4116.83,142.929490,7,1532,12.27,4007.63
156,128.431777,9,1664,11.81,4193.17,104.110708,8,1630,11.53,4138.95,103.588719,8,1540,12.27,4021.14
157,149.123826,7,1671,11.79,4199.59,124.004758,9,1639,11.53,4167.04,122.499022,9,1549,12.24,4028.40
158,104.458540,8,1679,11.77,4206.70,126.490396,6,1645,11.51,4184.30,150.938517,7,1556,12.23,4035.80
159,128.296238,9,1688,11.76,4214.01,127.289108,9,1654,11.51,4224.94,104.056414,8,1564,12.22,4042.65
160,126.673293,6,1694,11.73,4220.62,123.642812,9,1663,11.50,4260.09,122.863766,9,1573,12.20,4050.54
161,124.727319,9,1703,11.71,4227.60,125.691464,6,1669,11.49,4283.44,150.852819,7,1580,12.18,4059.00
162,128.254797,9,1712,11.69,4235.05,127.849576,9,1678,11.48,4288.24,103.800977,8,1588,12.18,4086.69
163,126.717814,6,1718,11.67,4255.80,123.757238,9,1687,11.47,4293.59,122.599772,9,1597,12.16,4128.14
164,125.023846,9,1727,11.66,4287.80,125.932558,6,1693,11.45,4301.81,152.134083,7,1604,12.16,4161.31
165,166.050487,6,1733,11.65,4310.36,128.096474,9,1702,11.44,4307.75,104.567844,8,1612,12.16,4200.96
166,120.684089,9,1742,11.64,4335.40,123.931580,9,1711,11.43,4316.81,122.891767,9,1621,12.15,4237.60
167,126.489535,6,1748,11.64,4366.02,126.049108,6,1717,11.42,4323.54,151.984079,7,1628,12.14,4283.09
168,124.126100,9,1757,11.62,4371.25,127.914805,9,1726,11.40,4333.25,129.485470,8,1636,12.14,4323.45
169,139.884080,8,1765,11.61,4375.76,135.071539,8,1734,11.38,4351.64,133.166473,6,1642,12.13,4358.02
170,114.895989,7,1772,11.60,4381.55,113.109195,7,1741,11.38,4378.19,142.035650,7,1649,12.13,4399.78
171,124.709579,9,1781,11.58,4388.81,127.846140,9,1750,11.37,4396.59,209.336367,5,1654,12.10,4424.06
172,154.588032,7,1788,11.57,4396.32,148.271267,7,1757,11.37,4417.80,144.872925,8,1662,12.10,4445.87
173,105.114861,7,1795,11.56,4401.54,104.863192,8,1765,11.36,4445.31,120.094337,8,1670,12.08,4451.27
174,127.814818,9,1804,11.55,4428.98,128.562153,9,1774,11.34,4465.93,147.518599,7,1677,12.07,4456.28
175,142.714414,7,1811,11.53,4461.01,126.208787,6,1780,11.34,4487.98,103.784845,8,1685,12.06,4465.11
176,142.068439,8,1819,11.53,4497.89,124.288044,9,1789,11.33,4515.46,127.439104,9,1694,12.04,4474.99
177,113.938085,7,1826,11.52,4540.76,140.446850,8,1797,11.33,4563.08,125.954808,6,1700,12.03,4482.88
178,135.740304,8,1834,11.52,4575.74,113.457556,7,1804,11.32,4595.07,123.630131,9,1709,12.03,4514.77
179,153.316015,7,1841,11.51,4612.12,123.855510,9,1813,11.32,4629.24,127.863918,9,1718,12.02,4551.58
180,131.207390,8,1849,11.51,4649.96,154.952113,7,1820,11.32,4655.28,125.546185,6,1724,12.02,4572.33
181,126.078050,6,1855,11.50,4689.24,104.992838,8,1828,11.31,4683.17,123.276224,9,1733,12.00,4577.80
182,128.280814,9,1864,11.50,4731.43,135.125486,8,1836,11.30,4703.62,138.947274,8,1741,12.00,4584.07
183,135.207839,8,1872,11.48,4749.91,133.150843,8,1844,11.29,4729.11,112.940770,7,1748,11.98,4593.84
184,113.485356,7,1879,11.47,4756.89,149.521619,7,1851,11.28,4746.17,123.259319,9,1757,11.97,4599.58
185,128.790486,9,1888,11.46,4763.65,104.451944,8,1859,11.27,4770.88,138.553131,8,1765,11.96,4605.31
186,148.262884,7,1895,11.45,4796.59,128.646237,9,1868,11.26,4792.94,113.762338,7,1772,11.94,4614.42
187,104.976921,8,1903,11.44,4828.43,126.665293,6,1874,11.25,4817.23,123.361134,9,1781,11.93,4621.06
188,132.933042,8,1911,11.43,4858.86,136.520161,8,1882,11.25,4834.17,138.802625,8,1789,11.91,4630.92
189,153.805844,7,1918,11.42,4883.17,212.086881,5,1887,11.23,4840.17,142.042404,7,1796,11.91,4637.82
190,106.273273,8,1926,11.42,4900.59,177.063138,6,1893,11.21,4845.65,105.615385,8,1804,11.90,4642.24
191,124.653214,9,1935,11.41,4908.16,155.510982,5,1898,11.19,4849.67,123.089877,9,1813,11.89,4649.66
192,127.545726,6,1941,11.40,4910.62,204.235283,5,1903,11.17,4856.26,128.123060,6,1819,11.87,4659.40
193,129.823816,9,1950,11.39,4918.37,148.013155,8,1911,11.16,4858.94,131.609286,8,1827,11.86,4677.75
194,125.061755,9,1959,11.38,4922.60,130.930005,8,1919,11.14,4864.37,141.649564,8,1835,11.85,4702.82
195,127.699872,6,1965,11.36,4931.82,115.213196,7,1926,11.13,4872.98,136.242109,6,1841,11.85,4747.20
196,130.207069,9,1974,11.35,4934.82,126.951205,9,1935,11.13,4882.51,127.972294,9,1850,11.85,4811.72
197,149.501190,7,1981,11.33,4941.74,151.078350,7,1942,11.11,4890.00,123.768026,9,1859,11.85,4879.44
198,105.826091,8,1989,11.33,4949.75,160.930099,6,1948,11.10,4923.15,126.080860,6,1865,11.86,4933.16
199,150.716533,7,1996,11.31,4952.96,161.144647,6,1954,11.09,4956.86,131.643859,8,1873,11.85,4971.17
200,195.798249,4,,,,174.923004,6,1960,11.09,4987.40,127.373633,9,1882,11.85,5008.11
201,,,,,,135.018922,7,1967,11.08,5005.70,147.106982,7,1889,11.85,5047.67
202,,,,,,150.139241,7,1974,11.07,5014.65,104.203107,8,1897,11.85,5076.87
203,,,,,,135.329501,7,1981,11.06,5038.32,127.458426,9,1906,11.84,5097.49
204,,,,,,170.165231,6,1987,11.05,5060.41,147.161484,7,1913,11.83,5102.68
205,,,,,,170.436086,6,1993,11.04,5078.97,104.377894,8,1921,11.83,5110.51
206,,,,,,142.204427,6,1999,11.03,5099.48,127.607449,9,1930,11.81,5115.67
207,,,,,,193.970799,1,,,,147.441181,7,1937,11.80,5126.37
208,,,,,,,,,,,104.195870,8,1945,11.80,5132.97
209,,,,,,,,,,,127.881754,9,1954,11.78,5139.39
210,,,,,,,,,,,126.007070,6,1960,11.77,5145.53
211,,,,,,,,,,,123.720935,9,1969,11.76,5156.17
212,,,,,,,,,,,148.554167,7,1976,11.75,5165.81
213,,,,,,,,,,,184.734586,5,1981,11.74,5173.70
214,,,,,,,,,,,155.777861,7,1988,11.72,5202.19
215,,,,,,,,,,,168.884592,6,1994,11.71,5234.94
216,,,,,,,,,,,168.898354,6,,,
