second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
43,41.841672,23999,1123534,363.08,477.23,568.616264,2001,1345577,306.04,2091.44,26.670568,31150,1594495,311.61,2163.91,24.410062,41012,1495288,285.38,2168.36
44,42.165504,23834,1147368,364.06,483.98,563.942412,2005,1347582,301.18,2091.44,18.867252,15109,1609604,313.46,2220.96,24.047257,41402,1536690,287.07,2175.92
45,41.984028,23757,1171125,365.07,496.23,535.741478,1025,1348607,296.05,2091.52,231.484285,5757,1615361,318.26,2311.87,24.465632,36169,1572859,288.09,2175.86
46,43.225143,22993,1194118,365.80,504.88,1179.614863,1000,1349607,290.29,2091.52,35.499107,33381,1648742,320.58,2348.28,29.652992,37659,1610518,288.21,2175.86
47,35.408966,28026,1222144,367.14,514.30,0.000000,0,1349607,285.95,2094.73,0.000000,0,1648742,320.44,2378.92,21.692877,17083,1627601,290.67,2291.30
48,38.483668,25784,1247928,368.73,527.23,1665.611431,7,1349614,281.16,2094.72,2335.371848,105,1648847,320.04,2401.81,0.000000,0,1627601,295.26,2328.56
49,42.256483,23404,1271332,369.84,530.49,0.000000,0,1349614,276.36,2094.78,72.775363,41660,1690507,317.58,2403.57,134.104845,19577,1647178,295.90,2367.13
50,43.358013,22023,1293355,371.09,545.55,0.000000,0,1349614,272.00,2096.20,24.684811,40362,1730869,319.46,2406.09,23.001598,39885,1687063,296.04,2367.78
51,39.672758,25990,1319345,372.06,550.01,0.000000,0,1349614,268.07,2098.29,22.594993,41744,1772613,320.38,2406.96,0.000000,0,1687063,295.69,2402.92
52,47.118074,21066,1340411,372.44,558.50,0.000000,0,1349614,264.05,2099.00,22.065380,47716,1820329,320.86,2399.59,0.000000,0,1687063,295.31,2414.01
53,39.388566,25036,1365447,373.21,564.94,0.000000,0,1349614,259.95,2099.00,46.757289,21405,1841734,322.08,2395.43,120.608997,25538,1712601,292.86,2414.67
54,39.646433,24994,1390441,374.20,576.79,0.000000,0,1349614,255.69,2099.04,31.830569,31178,1872912,320.23,2395.79,27.256621,36685,1749286,293.79,2414.67
55,39.962578,24755,1415196,375.03,583.92,0.000000,0,1349614,252.06,2099.00,27.973537,35012,1907924,319.46,2394.52,22.691922,43837,1793123,294.27,2414.67
56,42.870663,20972,1436168,376.22,593.03,0.000000,0,1349614,248.86,2098.96,21.231435,48039,1955963,320.52,2392.33,28.242398,35346,1828469,294.85,2414.67
57,38.919019,26733,1462901,376.88,601.31,0.000000,0,1349614,245.15,2098.72,27.957629,35914,1991877,321.50,2392.51,25.438854,39282,1867751,295.89,2409.02
58,49.213029,20361,1483262,377.21,609.35,0.000000,0,1349614,242.38,2098.46,21.665767,7570,,,,23.118890,43148,1910899,296.78,2409.02
59,38.309072,23641,1506903,378.13,619.66,0.000000,0,1349614,239.71,2098.19,,,,,,27.591909,36290,1947189,297.96,2409.09
60,44.489468,23148,1530051,378.33,623.18,0.000000,0,1349614,236.39,2098.31,,,,,,24.276102,41027,1988216,298.89,2409.09
61,45.523063,21878,1551929,379.01,635.97,137.507875,16088,1365702,235.64,2104.01,,,,,,22.008268,11268,,,
62,39.541057,26174,1578103,379.24,642.27,30.936218,35684,1401386,236.36,2110.35,,,,,,,,,,
63,45.827816,19924,1598027,379.76,653.71,35.376438,29973,1431359,238.19,2158.13,,,,,,,,,,
64,40.581769,26956,1624983,380.39,661.54,23.561759,42409,1473768,240.90,2175.64,,,,,,,,,,
65,45.988905,21454,1646437,380.85,665.94,27.193293,36292,1510060,243.51,2175.50,,,,,,,,,,
66,36.553735,27132,1673569,382.01,678.38,24.472805,38275,1548335,246.39,2175.93,,,,,,,,,,
67,44.458062,22215,1695784,382.41,684.83,31.919190,33692,1582027,248.63,2175.31,,,,,,,,,,
68,43.933673,21126,1716910,382.51,693.79,30.630029,31929,1613956,250.51,2195.60,,,,,,,,,,
69,40.373035,26177,1743087,383.27,703.70,25.830068,38364,1652320,252.31,2234.96,,,,,,,,,,
70,46.785635,21314,1764401,383.84,710.46,47.608166,20999,1673319,252.52,2230.70,,,,,,,,,,
71,38.566692,24143,1788544,383.90,718.63,155.151868,1660,1674979,252.18,2284.14,,,,,,,,,,
72,45.135173,23402,1811946,384.24,731.25,0.000000,0,1674979,252.60,2287.59,,,,,,,,,,
73,48.127861,20722,1832668,385.26,739.09,136.542014,20288,1695267,252.76,2300.74,,,,,,,,,,
74,37.288323,26399,1859067,385.33,744.87,19.963671,26205,1721472,253.10,2301.36,,,,,,,,,,
75,36.065419,24192,1883259,386.10,753.05,1162.087790,312,1721784,251.72,2317.22,,,,,,,,,,
76,42.805478,25417,1908676,387.02,762.34,0.000000,0,1721784,249.84,2333.08,,,,,,,,,,
77,39.514129,25653,1934329,387.55,775.52,0.000000,0,1721784,247.72,2333.08,,,,,,,,,,
78,42.621978,22373,1956702,388.03,784.33,0.000000,0,1721784,246.32,2334.97,,,,,,,,,,
79,42.461682,24742,1981444,388.42,789.87,0.000000,0,1721784,244.41,2334.97,,,,,,,,,,
80,42.234593,18556,,,,0.000000,0,1721784,241.82,2332.57,,,,,,,,,,
81,,,,,,0.000000,0,1721784,239.36,2332.57,,,,,,,,,,
82,,,,,,0.000000,0,1721784,236.96,2332.57,,,,,,,,,,
83,,,,,,0.000000,0,1721784,234.04,2332.57,,,,,,,,,,
84,,,,,,0.000000,0,1721784,231.50,2332.57,,,,,,,,,,
85,,,,,,0.000000,0,1721784,229.12,2338.10,,,,,,,,,,
86,,,,,,0.000000,0,1721784,227.17,2340.87,,,,,,,,,,
87,,,,,,0.000000,0,1721784,225.40,2345.35,,,,,,,,,,
88,,,,,,102.136187,15276,1737060,224.31,2256.46,,,,,,,,,,
89,,,,,,29.664884,26725,1763785,225.11,2262.35,,,,,,,,,,
90,,,,,,23.744863,28076,1791861,225.84,2266.25,,,,,,,,,,
91,,,,,,19.235714,34522,1826383,226.47,2263.86,,,,,,,,,,
92,,,,,,21.017780,31270,1857653,227.12,2268.99,,,,,,,,,,
