second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
72,4.785154,208,14700,16.82,67.49,4.301825,232,16368,10.97,152.37
73,4.871560,205,14905,16.85,67.49,4.305034,232,16600,10.97,152.37
74,5.008687,198,15103,16.90,67.72,4.278130,234,16834,10.96,152.37
75,4.798244,209,15312,16.93,67.72,4.363838,229,17063,10.96,152.37
76,4.751241,210,15522,16.95,67.72,4.339588,229,17292,10.95,152.37
77,4.951338,202,15724,16.99,68.20,4.309645,233,17525,10.97,153.74
78,4.898043,202,15926,17.00,68.57,4.414980,226,17751,10.97,153.74
79,4.809702,209,16135,17.01,68.93,4.220542,237,17988,10.97,155.10
80,4.907601,203,16338,17.03,68.93,4.287096,233,18221,10.95,155.10
81,4.686268,214,16552,17.05,69.04,4.322860,231,18452,10.96,155.10
82,4.978425,200,16752,17.08,70.05,4.306437,233,18685,10.98,157.15
83,4.600859,216,16968,17.11,70.27,4.165375,240,18925,10.98,157.15
84,4.780188,210,17178,17.14,71.15,4.014160,249,19174,10.98,157.15
85,4.847641,205,17383,17.18,71.26,4.285929,233,19407,10.98,158.74
86,5.048056,198,17581,17.20,71.47,4.337141,231,19638,10.98,158.74
87,4.720855,212,17793,17.25,72.18,4.481142,223,19861,10.98,158.97
88,5.057274,197,17990,17.27,72.18,4.384620,227,20088,10.97,158.97
89,4.719090,212,18202,17.30,72.23,4.288300,234,20322,10.97,163.50
90,4.780743,209,18411,17.32,72.34,4.354388,229,20551,10.99,163.69
91,5.235199,190,18601,17.35,72.44,4.340888,231,20782,10.99,163.69
92,5.106764,196,18797,17.38,72.88,4.467073,222,21004,10.98,163.69
93,5.117357,195,18992,17.43,73.84,4.398144,229,21233,10.99,163.48
94,4.941559,202,19194,17.45,74.06,4.424474,226,21459,10.99,163.48
95,4.838738,204,19398,17.49,74.45,4.222200,236,21695,10.99,163.48
96,4.861386,205,19603,17.51,74.79,4.391526,228,21923,10.98,163.48
97,4.960549,203,19806,17.54,75.36,4.359052,229,22152,10.97,163.48
98,4.914416,204,20010,17.55,76.04,4.250680,235,22387,10.98,164.84
99,4.986878,200,20210,17.60,76.44,4.263498,235,22622,10.97,164.84
100,4.849567,206,20416,17.63,76.70,4.307262,232,22854,10.97,164.84
101,4.807161,208,20624,17.65,76.70,4.363227,229,23083,10.97,164.84
102,4.869160,205,20829,17.67,76.70,4.525973,221,23304,10.97,164.84
103,5.083598,195,21024,17.69,77.08,4.444259,225,23529,10.98,164.84
104,4.907738,204,21228,17.74,77.15,4.413805,226,23755,11.00,167.86
105,4.991193,200,21428,17.76,77.15,4.333641,231,23986,11.00,167.86
106,4.764471,210,21638,17.78,77.46,4.386199,228,24214,11.01,167.86
107,4.928246,202,21840,17.80,77.58,4.519881,220,24434,11.01,167.86
108,4.836941,206,22046,17.82,77.83,4.401678,228,24662,11.03,167.86
109,5.010329,200,22246,17.85,77.83,4.442039,225,24887,11.04,167.86
110,4.774133,209,22455,17.87,77.91,4.395462,227,25114,11.04,167.86
111,4.957789,202,22657,17.89,78.03,4.460825,224,25338,11.05,167.86
112,5.001001,199,22856,17.91,78.03,4.377831,229,25567,11.05,167.89
113,5.109113,196,23052,17.92,78.17,4.376484,228,25795,11.06,169.94
114,5.102191,195,23247,17.95,78.17,4.401696,227,26022,11.06,169.94
115,4.831659,207,23454,17.98,78.17,4.412219,227,26249,11.05,169.94
116,4.947398,202,23656,18.00,78.32,4.461379,223,26472,11.05,169.94
117,4.775673,209,23865,18.02,78.32,4.578357,219,26691,11.05,169.94
118,4.888785,204,24069,18.04,78.32,4.511035,222,26913,11.05,169.94
119,4.851134,206,24275,18.08,78.65,4.555122,219,27132,11.05,169.94
120,4.938393,201,24476,18.11,78.91,4.300358,232,27364,11.06,173.84
121,4.799963,208,24684,18.13,78.91,4.373800,228,27592,11.05,173.84
122,4.722001,212,24896,18.14,78.91,4.566433,220,27812,11.06,175.21
123,4.759474,210,25106,18.15,78.91,4.476463,223,28035,11.06,175.21
124,4.803873,208,25314,18.17,78.91,4.337697,230,28265,11.06,175.21
125,4.813764,207,25521,18.19,79.05,4.585688,218,28483,11.06,175.21
126,4.946657,202,25723,18.20,79.20,4.469899,224,28707,11.06,175.21
127,4.814105,207,25930,18.20,79.20,4.512485,222,28929,11.06,175.21
128,4.958885,202,26132,18.22,79.35,4.491754,222,29151,11.06,175.21
129,4.620383,216,26348,18.23,79.48,4.331940,231,29382,11.06,175.21
130,4.867781,205,26553,18.26,79.77,4.369451,228,29610,11.06,175.21
131,4.849215,205,26758,18.27,79.77,4.259544,235,29845,11.07,175.21
132,4.732362,211,26969,18.28,79.94,4.171674,239,30084,11.06,175.21
133,4.857600,206,27175,18.30,81.20,4.344004,231,30315,11.06,175.21
134,4.862870,205,27380,18.31,81.29,4.285851,233,30548,11.05,175.24
135,5.002316,199,27579,18.33,81.42,4.367724,229,30777,11.06,175.24
136,4.827038,206,27785,18.36,81.57,4.233092,236,31013,11.05,175.36
137,4.829390,208,27993,18.39,81.72,4.264823,235,31248,11.04,175.36
138,4.576704,218,28211,18.40,81.85,4.240265,235,31483,11.03,175.36
139,4.655098,214,28425,18.42,81.85,4.321434,232,31715,11.03,180.04
140,4.997852,200,28625,18.43,81.85,4.437422,225,31940,11.05,182.17
141,4.902139,203,28828,18.45,81.85,4.311326,232,32172,11.04,182.17
142,5.107295,196,29024,18.49,83.30,4.305099,232,32404,11.03,182.17
143,4.773988,209,29233,18.50,83.56,4.295793,232,32636,11.02,182.17
144,4.966387,201,29434,18.52,83.56,4.347273,230,32866,11.04,184.23
145,4.891826,204,29638,18.53,84.59,4.296300,233,33099,11.04,184.23
146,5.139005,194,29832,18.54,84.71,4.338830,230,33329,11.03,184.23
147,4.783474,209,30041,18.56,84.71,4.325535,232,33561,11.03,184.23
148,5.117628,195,30236,18.60,85.57,4.228183,235,33796,11.06,185.72
149,4.773001,209,30445,18.61,85.57,4.264912,235,34031,11.07,190.47
150,4.861790,205,30650,18.63,85.57,4.282015,234,34265,11.06,189.91
151,4.929022,203,30853,18.66,85.86,4.211184,237,34502,11.05,189.91
152,4.864468,205,31058,18.67,85.86,4.315017,232,34734,11.05,189.91
153,5.037885,198,31256,18.68,85.96,4.464973,223,34957,11.05,189.91
154,4.876099,205,31461,18.72,86.27,4.443659,225,35182,11.05,189.91
155,5.146385,194,31655,18.74,86.35,4.507584,222,35404,11.04,189.91
156,4.852626,205,31860,18.74,86.46,4.466236,224,35628,11.05,189.91
157,5.144983,194,32054,18.75,86.46,4.399029,227,35855,11.05,189.91
158,4.592401,218,32272,18.77,86.46,4.345908,230,36085,11.07,191.96
159,4.933869,202,32474,18.81,86.55,4.353903,230,36315,11.07,193.10
160,4.898234,203,32677,18.82,86.55,4.416085,226,36541,11.07,193.10
161,5.005789,200,32877,18.82,86.55,4.449120,225,36766,11.08,194.47
162,4.983983,201,33078,18.83,86.69,4.232491,236,37002,11.07,194.47
163,4.837166,206,33284,18.84,86.85,4.191214,239,37241,11.06,194.47
164,5.124724,195,33479,18.86,86.95,4.491163,222,37463,11.05,194.47
165,5.116518,195,33674,18.88,87.05,4.481158,223,37686,11.05,194.47
166,5.187954,192,33866,18.89,87.05,4.443194,225,37911,11.05,194.47
167,5.208107,192,34058,18.89,87.05,4.544737,220,38131,11.05,194.47
168,4.807174,207,34265,18.90,87.05,4.436985,225,38356,11.05,194.47
169,5.168252,193,34458,18.91,87.19,4.489635,223,38579,11.04,194.47
170,5.208264,192,34650,18.91,87.35,4.462669,224,38803,11.05,194.47
171,5.114875,192,34842,18.93,87.35,4.577095,218,39021,11.04,194.47
172,4.778151,211,35053,18.94,87.35,4.493625,223,39244,11.04,194.47
173,4.880315,204,35257,18.95,87.35,4.342077,230,39474,11.03,194.47
174,4.778302,210,35467,18.96,87.35,4.318001,231,39705,11.03,194.47
175,4.792801,209,35676,18.98,87.63,4.375247,229,39934,11.02,194.47
176,4.860030,205,35881,18.99,87.76,4.359443,228,40162,11.03,202.08
177,4.688593,213,36094,19.00,88.23,4.498370,222,40384,11.03,202.08
178,4.857992,205,36299,19.03,88.48,4.511042,223,40607,11.03,202.08
179,4.820841,207,36506,19.03,88.48,4.323566,231,40838,11.03,202.08
180,4.875283,205,36711,19.04,88.48,4.297296,232,41070,11.02,202.08
181,4.961546,201,36912,19.05,89.28,4.302652,233,41303,11.03,204.27
182,4.857279,206,37118,19.06,89.74,4.258777,234,41537,11.03,204.27
183,4.906263,203,37321,19.07,89.88,4.408248,227,41764,11.03,204.27
184,4.870709,205,37526,19.10,89.98,4.305350,232,41996,11.02,204.90
185,4.944307,202,37728,19.10,90.02,4.419344,227,42223,11.03,204.90
186,4.824064,207,37935,19.11,90.02,4.297979,232,42455,11.03,204.90
187,5.174463,192,38127,19.11,90.33,4.333087,231,42686,11.02,204.90
188,4.899552,204,38331,19.13,90.60,4.319503,231,42917,11.01,204.90
189,4.899499,203,38534,19.14,90.60,4.401570,227,43144,11.01,204.90
190,4.866099,206,38740,19.16,91.70,4.293877,233,43377,11.00,204.90
191,4.992311,200,38940,19.16,91.90,4.270786,234,43611,11.00,204.90
192,5.163488,193,39133,19.16,92.03,4.085142,245,43856,10.99,204.90
193,4.998792,200,39333,19.18,92.28,4.222395,237,44093,10.99,206.95
194,4.745049,210,39543,19.18,93.32,4.233258,236,44329,10.98,207.36
195,4.974775,201,39744,19.19,93.44,4.275512,232,44561,10.98,207.36
196,4.831215,206,39950,19.20,93.44,4.502301,222,44783,10.97,207.36
197,4.822474,207,40157,19.22,94.01,4.321092,233,45016,10.97,207.36
198,5.000695,200,40357,19.24,94.32,4.385041,228,45244,10.97,207.36
199,4.730366,211,40568,19.25,94.45,4.427475,225,45469,10.97,207.36
200,4.818595,207,40775,19.26,94.64,4.338381,231,45700,10.97,207.36
201,4.943470,202,40977,19.26,94.88,4.416844,226,45926,10.97,209.12
202,4.781634,209,41186,19.28,95.00,4.366495,229,46155,10.97,209.12
203,5.057577,196,41382,19.30,95.13,4.313073,232,46387,10.97,209.12
204,4.943814,202,41584,19.31,95.13,4.389309,228,46615,10.96,211.17
205,4.874518,206,41790,19.32,95.13,4.361493,229,46844,10.96,211.17
206,4.886447,204,41994,19.34,95.23,4.340298,229,47073,10.97,212.54
207,4.911674,203,42197,19.34,95.23,4.369212,230,47303,10.97,212.54
208,5.013869,199,42396,19.35,95.23,4.524633,221,47524,10.97,212.54
209,4.801302,208,42604,19.37,95.39,4.500440,222,47746,10.97,212.54
210,4.934994,202,42806,19.37,95.39,4.411884,225,47971,10.98,213.22
211,4.805247,208,43014,19.37,95.39,4.356589,231,48202,10.98,213.22
212,5.006478,199,43213,19.38,95.53,4.423024,226,48428,10.97,213.22
213,4.923052,203,43416,19.39,95.53,4.425631,226,48654,10.97,213.22
214,4.943449,202,43618,19.39,95.53,4.411818,226,48880,10.97,218.59
215,4.932055,202,43820,19.41,95.53,4.576852,219,49099,10.97,218.59
216,5.023531,199,44019,19.42,95.82,4.528824,220,49319,10.97,218.59
217,5.163027,193,44212,19.43,95.98,4.421679,226,49545,10.97,218.59
218,5.095937,196,44408,19.43,96.09,4.603432,218,49763,10.98,218.59
219,5.277630,189,44597,19.43,96.24,4.482439,223,49986,10.98,218.59
220,5.045641,198,44795,19.43,96.24,4.418878,225,50211,10.99,221.32
221,4.947000,202,44997,19.43,96.24,4.530302,221,50432,10.99,221.32
222,4.993286,198,45195,19.45,96.50,4.401642,228,50660,10.99,221.32
223,4.920301,205,45400,19.46,96.50,4.429696,225,50885,10.99,221.32
224,4.855085,203,45603,19.46,96.50,4.399622,227,51112,10.99,223.87
225,4.981300,203,45806,19.47,96.50,4.401756,228,51340,10.99,223.87
226,4.756112,209,46015,19.47,96.52,4.440348,225,51565,10.99,223.87
227,4.815712,208,46223,19.47,96.82,4.499681,222,51787,10.99,224.56
228,4.857679,205,46428,19.49,97.12,4.330144,230,52017,10.98,224.56
229,5.041279,198,46626,19.51,97.51,4.308828,232,52249,10.97,224.56
230,4.704818,212,46838,19.51,98.30,4.264478,235,52484,10.97,224.56
231,4.690692,213,47051,19.51,98.68,4.293695,233,52717,10.97,224.56
232,4.864681,205,47256,19.52,98.68,4.256716,235,52952,10.96,224.56
233,4.922698,203,47459,19.53,98.85,4.219677,237,53189,10.95,224.56
234,5.258460,190,47649,19.53,98.85,4.307026,231,53420,10.95,224.56
235,5.087584,196,47845,19.53,98.85,4.431766,226,53646,10.95,226.62
236,5.181838,193,48038,19.55,99.01,4.350456,230,53876,10.95,226.62
237,4.835008,206,48244,19.56,99.44,4.308791,232,54108,10.94,226.62
238,4.961428,201,48445,19.57,99.70,4.348589,229,54337,10.94,226.62
239,5.048353,198,48643,19.58,99.86,4.383097,229,54566,10.94,227.99
240,4.850412,206,48849,19.58,99.93,4.327404,231,54797,10.94,227.99
241,5.103863,196,49045,19.59,99.93,4.337502,230,55027,10.94,227.99
242,5.086270,196,49241,19.59,100.52,4.210705,238,55265,10.94,227.99
243,4.805121,208,49449,19.62,102.07,4.262972,234,55499,10.94,229.01
244,4.785228,208,49657,19.62,102.15,4.269577,234,55733,10.94,229.01
245,4.787512,209,49866,19.63,102.15,4.153262,241,55974,10.93,229.01
246,4.772592,209,50075,19.62,102.37,4.289453,233,56207,10.93,229.01
247,4.920459,203,50278,19.63,102.37,4.206244,238,56445,10.93,229.01
248,4.795217,208,50486,19.63,102.37,4.270635,234,56679,10.93,229.01
249,4.808302,207,50693,19.63,103.03,4.428127,225,56904,10.93,229.01
250,4.954440,200,50893,19.65,103.58,4.282652,234,57138,10.92,229.01
251,5.013489,201,51094,19.65,103.58,4.322121,231,57369,10.91,229.01
252,4.981943,200,51294,19.64,103.58,4.306868,232,57601,10.91,229.01
253,4.825206,207,51501,19.64,103.82,4.158877,240,57841,10.91,229.01
254,5.012369,199,51700,19.65,104.09,4.223458,237,58078,10.91,229.01
255,4.700946,213,51913,19.66,104.22,4.329101,231,58309,10.91,229.01
256,5.006011,199,52112,19.66,104.22,4.438209,225,58534,10.91,229.01
257,4.761980,210,52322,19.66,104.22,4.291626,233,58767,10.90,229.01
258,4.951967,201,52523,19.66,104.34,4.244887,235,59002,10.91,230.10
259,4.853278,206,52729,19.67,104.34,4.250178,236,59238,10.91,230.44
260,4.851209,206,52935,19.67,104.48,4.279596,233,59471,10.91,230.44
261,5.031541,198,53133,19.68,104.48,4.296159,233,59704,10.90,230.44
262,4.889582,204,53337,19.67,104.48,4.375287,228,59932,10.90,230.44
263,4.806215,208,53545,19.69,104.48,4.498787,222,60154,10.90,230.44
264,4.901108,203,53748,19.70,105.07,4.209477,238,60392,10.91,233.20
265,5.068178,197,53945,19.70,105.07,4.381270,228,60620,10.91,233.20
266,4.900518,203,54148,19.70,105.07,4.362186,229,60849,10.91,233.20
267,5.002344,200,54348,19.70,105.65,4.377635,229,61078,10.90,233.20
268,4.749772,211,54559,19.70,105.65,4.307172,230,61308,10.91,233.20
269,4.947996,201,54760,19.71,105.65,4.322980,232,61540,10.90,233.20
270,5.005887,200,54960,19.72,105.88,4.343096,231,61771,10.90,233.20
271,5.073046,196,55156,19.72,105.88,4.297879,233,62004,10.89,233.20
272,5.152412,194,55350,19.72,105.88,4.357293,229,62233,10.89,233.20
273,4.851899,206,55556,19.72,106.21,4.426191,226,62459,10.89,233.20
274,5.115298,195,55751,19.73,106.28,4.352029,230,62689,10.89,233.88
275,4.898534,202,55953,19.74,106.51,4.442366,225,62914,10.89,233.88
276,4.874271,207,56160,19.74,106.51,4.524144,221,63135,10.90,234.91
277,4.975053,200,56360,19.74,106.51,4.398668,227,63362,10.89,234.91
278,5.090572,196,56556,19.75,106.51,4.374122,228,63590,10.90,234.91
279,5.083736,196,56752,19.75,107.85,4.324202,230,63820,10.89,234.91
280,5.003766,200,56952,19.76,107.98,4.436088,227,64047,10.89,234.91
281,4.954599,202,57154,19.77,108.23,4.540288,220,64267,10.89,234.91
282,4.892291,204,57358,19.77,108.23,4.370210,229,64496,10.89,234.91
283,4.915640,203,57561,19.77,108.23,4.477285,223,64719,10.90,234.91
284,5.049615,197,57758,19.77,108.40,4.446420,225,64944,10.89,234.91
285,4.784431,209,57967,19.79,108.65,4.357991,228,65172,10.90,234.91
286,4.727131,211,58178,19.80,109.02,4.528031,222,65394,10.90,234.91
287,4.788123,209,58387,19.80,109.17,4.580953,218,65612,10.90,234.91
288,4.852741,205,58592,19.81,109.45,4.356742,229,65841,10.90,234.91
289,4.913723,203,58795,19.80,109.73,4.403997,228,66069,10.90,234.91
290,4.975006,201,58996,19.80,109.73,4.365432,228,66297,10.90,235.25
291,4.777726,209,59205,19.80,109.73,4.303709,233,66530,10.90,235.25
292,4.982408,200,59405,19.82,110.88,4.401114,226,66756,10.91,235.25
293,4.997802,200,59605,19.83,110.88,4.304076,233,66989,10.91,239.40
294,4.856576,204,59809,19.83,110.88,4.513363,222,67211,10.91,239.80
295,4.982895,201,60010,19.83,111.09,4.445281,224,67435,10.92,239.80
296,4.772681,210,60220,19.83,111.09,4.395749,228,67663,10.91,239.80
297,5.099416,195,60415,19.84,111.22,4.449000,224,67887,10.91,239.80
298,4.886668,205,60620,19.85,111.48,4.399424,228,68115,10.91,239.80
299,4.998900,199,60819,19.86,111.79,4.383450,228,68343,10.91,239.80
300,4.843083,206,61025,19.87,111.79,4.403268,227,68570,10.90,239.80
301,4.750964,210,61235,19.87,111.79,4.282343,233,68803,10.90,239.80
302,4.888478,204,61439,19.88,111.79,4.313873,232,69035,10.90,239.80
303,4.960554,202,61641,19.88,111.79,4.354053,229,69264,10.90,239.80
304,5.023822,198,61839,19.88,111.93,4.280790,234,69498,10.89,239.80
305,4.982555,201,62040,19.88,112.06,4.444220,225,69723,10.89,239.80
306,4.840905,206,62246,19.89,112.06,4.317026,231,69954,10.90,239.80
307,4.927164,203,62449,19.90,112.06,4.304681,232,70186,10.89,239.80
308,4.740349,210,62659,19.91,112.22,4.419150,227,70413,10.89,239.80
309,4.928596,203,62862,19.92,112.22,4.029057,248,70661,10.89,239.80
310,4.890458,204,63066,19.91,112.22,4.121477,242,70903,10.88,239.80
311,5.060431,197,63263,19.91,112.22,4.119130,242,71145,10.88,239.80
312,4.805730,206,63469,19.91,112.22,4.177491,240,71385,10.88,240.48
313,4.803459,209,63678,19.92,112.37,4.094593,245,71630,10.87,240.48
314,4.788824,209,63887,19.93,112.65,4.133168,241,71871,10.87,241.04
315,4.827273,206,64093,19.93,112.65,4.161226,241,72112,10.86,241.04
316,4.783080,209,64302,19.93,112.79,4.144311,241,72353,10.85,241.04
317,4.879723,204,64506,19.93,113.05,4.274504,233,72586,10.85,241.04
318,4.816468,208,64714,19.93,113.05,4.304122,233,72819,10.85,241.04
319,5.016531,199,64913,19.93,113.22,4.255215,235,73054,10.85,241.04
320,4.974507,200,65113,19.94,113.54,4.220794,237,73291,10.86,245.18
321,4.823419,207,65320,19.96,113.54,4.262305,234,73525,10.86,245.18
322,4.877520,205,65525,19.96,113.54,4.243211,236,73761,10.86,245.18
323,4.866164,205,65730,19.96,113.69,4.278462,233,73994,10.86,245.18
324,4.863843,205,65935,19.96,113.98,4.277918,234,74228,10.85,245.18
325,5.001214,200,66135,19.96,114.16,4.244681,235,74463,10.85,245.18
326,4.859836,205,66340,19.97,114.76,4.236851,236,74699,10.85,245.18
327,5.161807,193,66533,19.97,114.76,4.232675,236,74935,10.85,245.18
328,4.997858,200,66733,19.98,116.12,4.234739,235,75170,10.84,245.18
329,5.120012,195,66928,19.98,116.15,4.371533,230,75400,10.84,245.18
330,5.013185,198,67126,19.98,116.15,4.332670,231,75631,10.84,245.18
331,5.040546,198,67324,19.98,116.15,4.283194,233,75864,10.84,245.18
332,5.129345,195,67519,19.99,116.15,4.299796,233,76097,10.90,245.11
333,5.364532,186,67705,19.99,116.27,4.394155,227,76324,10.89,245.11
334,5.086318,197,67902,20.00,116.27,4.366329,229,76553,10.90,245.13
335,4.836258,206,68108,19.99,116.43,4.402739,227,76780,10.89,245.13
336,5.142978,194,68302,20.00,116.85,4.326245,231,77011,10.89,244.80
337,4.755001,210,68512,20.01,117.74,4.277083,234,77245,10.89,244.80
338,5.027647,199,68711,20.01,118.11,4.314875,232,77477,10.90,246.92
339,4.817383,207,68918,20.02,118.11,4.346904,230,77707,10.89,246.92
340,5.114725,194,69112,20.01,118.21,4.374203,228,77935,10.89,246.92
341,4.832692,208,69320,20.01,119.17,4.397924,227,78162,10.89,246.92
342,5.032523,197,69517,20.01,119.17,4.306854,232,78394,10.89,246.92
343,5.172396,194,69711,20.01,119.17,4.230176,237,78631,10.89,246.92
344,5.002921,199,69910,20.02,119.29,4.342725,230,78861,10.90,246.92
345,5.120387,195,70105,20.03,120.43,4.303363,232,79093,10.89,246.92
346,4.914727,203,70308,20.04,120.65,4.353958,230,79323,10.89,247.60
347,4.812138,205,70513,20.04,120.65,4.130320,242,79565,10.89,247.60
348,4.825320,208,70721,20.05,120.75,4.382385,228,79793,10.89,247.82
349,4.867054,205,70926,20.05,120.75,4.271752,234,80027,10.89,247.82
350,4.967851,201,71127,20.05,120.91,4.411448,226,80253,10.89,247.82
351,5.225169,192,71319,20.05,120.91,4.363049,229,80482,10.89,247.82
352,5.275633,189,71508,20.05,120.91,4.509985,222,80704,10.88,247.82
353,5.229484,191,71699,20.06,120.91,4.072454,246,80950,10.89,247.82
354,5.360495,186,71885,20.05,120.91,4.200228,238,81188,10.88,247.82
355,5.088941,196,72081,20.06,120.91,4.231231,236,81424,10.89,247.82
356,5.070379,197,72278,20.06,121.05,4.422711,226,81650,10.88,247.82
357,5.025703,198,72476,20.06,121.05,4.400356,227,81877,10.88,247.82
358,4.860446,206,72682,20.06,121.05,4.279503,234,82111,10.88,247.82
359,5.059874,197,72879,20.05,121.05,4.133612,241,82352,10.88,247.82
360,5.048964,196,73075,20.05,121.16,4.207657,238,82590,10.88,247.82
361,4.841406,207,73282,20.07,121.16,4.171553,240,82830,10.88,247.82
