second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
216,55.406670,15804,2800017,201.08,1440.09,,,,,
217,164.497289,6881,2806898,201.72,1445.04,,,,,
218,57.469880,17574,2824472,201.88,1445.61,,,,,
219,72.160542,11014,2835486,202.83,1456.45,,,,,
220,91.321092,13114,2848600,203.06,1459.60,,,,,
221,70.230940,14115,2862715,203.11,1463.20,,,,,
222,121.398392,8225,2870940,203.86,1478.63,,,,,
223,70.852877,14056,2884996,204.16,1482.07,,,,,
224,62.590921,13926,2898922,204.41,1488.43,,,,,
225,139.746693,7565,2906487,205.00,1494.83,,,,,
226,68.778580,15740,2922227,205.24,1496.59,,,,,
227,67.951650,8631,2930858,205.43,1501.89,,,,,
228,115.472663,11462,2942320,206.12,1508.32,,,,,
229,69.802457,15579,2957899,206.37,1511.25,,,,,
230,114.819667,8662,2966561,206.48,1514.01,,,,,
231,76.198676,11626,2978187,207.18,1522.59,,,,,
232,69.588084,15930,,,,,,,,
233,147.438362,5883,,,,,,,,
