second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
69,386.468258,2695,508348,185.86,906.47,115.599225,10059,243212,110.69,1399.85,35.184810,26059,1753053,396.40,701.71,381.884382,690,1782037,255.16,2267.25
70,226.532555,4281,512629,185.27,920.26,132.088977,5939,249151,115.96,1555.57,42.649141,25262,1778315,397.34,712.36,0.000000,0,1782037,252.31,2267.25
71,262.200049,4053,516682,185.04,932.75,418.356277,1411,250562,119.10,1691.04,33.089837,27536,1805851,398.41,722.69,2702.562864,17,1782054,250.06,2267.99
72,253.157631,3944,520626,183.97,788.44,358.312811,1755,252317,120.37,1694.61,40.991674,25339,1831190,399.77,732.74,0.000000,0,1782054,247.67,2267.62
73,285.834263,3569,524195,182.87,720.93,359.391117,1501,253818,120.64,1754.67,41.233913,25126,1856316,400.58,744.26,0.000000,0,1782054,245.29,2267.25
74,166.605284,6125,530320,182.93,729.16,396.022463,1388,255206,120.68,1755.61,46.356595,21354,1877670,401.05,754.25,0.000000,0,1782054,242.48,2267.25
75,172.249014,5797,536117,182.76,735.88,397.049517,1288,256494,121.36,1755.61,36.762932,26491,1904161,400.96,761.10,0.000000,0,1782054,239.82,2267.25
76,174.193086,5852,541969,182.30,741.41,393.262866,1210,257704,121.97,1755.61,44.012285,21994,1926155,401.35,768.94,0.000000,0,1782054,237.41,2267.25
77,100.692586,9817,551786,183.15,760.34,371.551800,1522,259226,121.39,1755.61,43.285561,23812,1949967,401.79,777.28,0.000000,0,1782054,235.06,2267.27
78,96.976268,9516,561302,183.83,764.51,408.064806,716,259942,120.86,1755.61,50.094679,19811,1969778,402.00,782.40,0.000000,0,1782054,232.38,2267.27
79,124.070288,8952,570254,184.68,781.27,477.273466,889,260831,119.85,1755.61,40.705959,25121,1994899,402.15,789.78,0.000000,0,1782054,229.89,2267.27
80,102.339187,9536,579790,185.43,794.91,572.845089,892,261723,118.97,1755.61,26.181681,5101,,,,0.000000,0,1782054,227.50,2267.27
81,117.966152,8504,588294,185.87,809.76,635.759403,815,262538,118.19,1755.61,,,,,,0.000000,0,1782054,225.54,2268.58
82,98.836161,10030,598324,187.08,836.86,669.914089,577,263115,117.28,1755.61,,,,,,0.000000,0,1782054,223.42,2268.58
83,120.406426,8478,606802,187.47,851.07,504.120622,826,263941,116.93,1755.61,,,,,,244.113531,3085,1785139,221.44,2268.54
84,101.629460,9869,616671,188.46,878.44,513.777319,1003,264944,117.43,1757.09,,,,,,28.305042,37238,1822377,222.75,2280.16
85,102.881147,8041,624712,189.09,887.51,873.179578,150,265094,118.13,1781.10,,,,,,18.017033,36916,1859293,223.97,2287.54
86,114.315814,9458,634170,189.53,909.15,1115.448957,322,265416,117.40,1781.10,,,,,,18.048791,33935,1893228,227.23,2496.25
87,97.985977,10845,645015,190.78,932.45,1404.519751,145,265561,116.33,1781.10,,,,,,16.284841,26702,1919930,229.63,2487.15
88,126.092417,8192,653207,191.11,948.47,712.927256,56,265617,115.19,1781.10,,,,,,0.000000,0,1919930,229.65,2521.14
89,107.358955,9132,662339,191.93,973.06,451.003242,60,265677,114.04,1781.10,,,,,,1798.926229,33,1919963,230.52,2536.87
90,123.566391,7744,670083,192.30,985.17,1701.595871,30,265707,112.94,1781.10,,,,,,0.000000,0,1919963,230.13,2547.00
91,132.390670,7980,678063,192.50,1001.36,689.467368,28,265735,111.83,1781.10,,,,,,0.000000,0,1919963,229.03,2547.00
92,106.866700,9373,687436,193.08,1025.11,635.532310,23,265758,110.74,1781.10,,,,,,0.000000,0,1919963,229.52,2552.93
93,124.359412,7689,695125,193.70,1032.11,640.575170,28,265786,109.67,1781.10,,,,,,0.000000,0,1919963,228.85,2554.56
94,104.785245,9899,705024,193.93,1047.35,368.345582,46,265832,108.62,1781.12,,,,,,0.000000,0,1919963,227.79,2559.74
95,113.417771,8759,713783,194.49,1072.01,209.662939,37,265869,107.62,1781.12,,,,,,0.000000,0,1919963,226.17,2559.74
96,138.887329,7185,720968,194.91,1087.91,1128.072295,5,265874,106.61,1781.12,,,,,,0.000000,0,1919963,224.28,2559.74
97,107.174081,9337,730305,195.06,1099.99,0.000000,0,265874,105.61,1781.12,,,,,,0.000000,0,1919963,222.42,2559.74
98,107.525466,8864,739169,195.27,1118.56,0.000000,0,265874,104.60,1781.12,,,,,,0.000000,0,1919963,220.55,2559.74
99,134.049571,7878,747047,196.15,1145.12,0.000000,0,265874,103.63,1781.12,,,,,,0.000000,0,1919963,219.13,2559.74
100,106.202297,9103,756150,196.28,1157.40,0.000000,0,265874,102.66,1781.12,,,,,,0.000000,0,1919963,217.86,2559.74
101,97.751120,10553,766703,196.44,1162.35,0.000000,0,265874,101.73,1781.12,,,,,,0.000000,0,1919963,216.30,2559.74
102,144.972982,6822,773525,197.35,1202.69,0.000000,0,265874,100.80,1781.12,,,,,,0.000000,0,1919963,214.23,2559.74
103,98.363153,10384,783909,197.78,1216.88,0.000000,0,265874,99.89,1781.12,,,,,,0.000000,0,1919963,212.16,2559.74
104,88.553010,10818,794727,198.06,1223.41,0.000000,0,265874,99.00,1781.12,,,,,,0.000000,0,1919963,210.28,2559.74
105,143.298958,7035,801762,198.93,1268.76,0.000000,0,265874,98.12,1781.12,,,,,,0.000000,0,1919963,208.47,2559.74
106,95.974479,10684,812446,199.37,1278.21,0.000000,0,265874,97.26,1781.12,,,,,,0.000000,0,1919963,206.73,2559.74
107,91.340190,11017,823463,199.63,1283.73,0.000000,0,265874,96.42,1781.12,,,,,,0.000000,0,1919963,204.95,2559.74
108,122.887190,8055,831518,200.26,1326.98,0.000000,0,265874,95.59,1781.12,,,,,,0.000000,0,1919963,203.32,2561.79
109,97.003576,10337,841855,201.16,1337.94,0.000000,0,265874,94.77,1781.12,,,,,,0.000000,0,1919963,201.67,2563.79
110,92.531447,10817,852672,201.42,1344.93,0.000000,0,265874,93.97,1781.12,,,,,,0.000000,0,1919963,200.32,2568.90
111,127.022773,7965,860637,201.75,1377.84,0.000000,0,265874,93.18,1781.12,,,,,,0.000000,0,1919963,198.75,2571.74
112,110.704073,8951,869588,202.70,1404.74,0.000000,0,265874,92.40,1781.12,,,,,,0.000000,0,1919963,197.12,2571.74
113,90.251232,10935,880523,203.04,1410.79,0.000000,0,265874,91.64,1781.12,,,,,,0.000000,0,1919963,195.57,2568.20
114,110.894935,7935,888458,203.27,1422.59,0.000000,0,265874,90.90,1781.12,,,,,,0.000000,0,1919963,194.87,2581.05
115,132.121382,8320,896778,203.96,1453.61,0.000000,0,265874,90.16,1781.12,,,,,,0.000000,0,1919963,194.08,2594.26
116,118.121760,8544,905322,204.32,1473.48,0.000000,0,265874,89.44,1781.12,,,,,,0.000000,0,1919963,192.67,2594.27
117,129.442372,7706,913028,204.12,1478.62,0.000000,0,265874,88.73,1781.12,,,,,,0.000000,0,1919963,191.26,2594.27
118,157.951907,6383,919411,203.88,1498.77,0.000000,0,265874,88.02,1781.12,,,,,,0.000000,0,1919963,190.05,2596.91
119,148.192685,6532,925943,204.47,1519.83,0.000000,0,265874,87.34,1781.12,,,,,,0.000000,0,1919963,188.93,2599.54
120,129.810464,7974,933917,204.41,1539.21,0.000000,0,265874,86.65,1781.12,,,,,,0.000000,0,1919963,187.47,2599.54
121,99.688321,10025,943942,204.69,1545.25,71.829878,9017,274891,86.00,1781.12,,,,,,0.000000,0,1919963,186.33,2600.81
122,253.293594,3707,947649,204.40,1563.59,70.448507,15925,290816,87.16,1781.12,,,,,,0.000000,0,1919963,185.23,2604.69
123,219.284070,4202,951851,204.30,1571.32,83.433709,11470,302286,89.69,1783.80,,,,,,0.000000,0,1919963,184.03,2602.97
124,494.485593,1934,953785,203.32,1584.95,121.948468,7920,310206,93.15,1784.18,,,,,,0.000000,0,1919963,182.87,2600.31
125,557.459770,1707,955492,202.97,1595.29,105.122182,7727,317933,97.29,1785.96,,,,,,0.000000,0,1919963,181.77,2597.65
126,554.835483,1938,957430,202.54,1612.57,157.692809,7232,325165,101.08,1787.74,,,,,,0.000000,0,1919963,180.87,2597.68
127,359.081763,2936,960366,201.85,1614.73,109.099026,8330,333495,104.41,1861.64,,,,,,0.000000,0,1919963,179.88,2595.26
128,309.871677,3214,963580,201.24,1617.64,106.236196,10250,343745,107.86,1861.96,,,,,,0.000000,0,1919963,178.82,2592.94
129,306.840617,3265,966845,200.65,1620.92,90.327255,10488,354233,110.89,1900.37,,,,,,0.000000,0,1919963,177.77,2592.94
130,342.329166,2914,969759,200.05,1647.67,142.022451,7728,361961,114.36,1942.35,,,,,,0.000000,0,1919963,176.53,2592.94
131,482.081275,1592,971351,199.75,1681.06,118.439797,4906,366867,117.95,1951.31,,,,,,0.000000,0,1919963,175.33,2593.47
132,141.930410,9510,980861,200.13,1687.96,160.009097,7544,374411,121.28,2011.09,,,,,,0.000000,0,1919963,174.19,2593.47
133,141.273264,6958,987819,200.48,1904.53,277.055608,3080,377491,124.44,2157.33,,,,,,0.000000,0,1919963,173.02,2593.11
134,145.201538,6924,994743,200.34,1942.80,362.212467,1613,379104,127.09,2260.68,,,,,,0.000000,0,1919963,171.95,2593.13
135,127.203247,7890,1002633,200.45,1990.43,365.503506,1811,380915,128.65,2388.95,,,,,,0.000000,0,1919963,171.06,2593.16
136,140.513458,7121,1009754,201.04,2083.67,370.599135,1256,382171,129.96,2388.95,,,,,,0.000000,0,1919963,169.97,2593.62
137,120.271698,8160,1017914,201.25,2104.20,357.245930,1799,383970,130.06,2489.26,,,,,,0.000000,0,1919963,169.06,2593.62
138,119.911856,7946,1025860,201.69,2111.31,440.371228,1654,385624,129.65,2489.26,,,,,,0.000000,0,1919963,168.13,2593.14
139,106.397438,10121,1035981,202.03,2116.02,238.583114,1668,387292,129.71,2489.26,,,,,,0.000000,0,1919963,166.95,2593.25
140,136.701813,7309,1043290,202.70,1822.69,321.012556,1722,389014,130.13,2489.26,,,,,,0.000000,0,1919963,165.86,2593.25
141,96.313423,10209,1053499,202.75,1827.46,432.631129,1243,390257,130.79,2489.26,,,,,,0.000000,0,1919963,164.82,2593.25
142,156.840492,6302,1059801,203.25,1846.95,836.233068,336,390593,131.01,2489.26,,,,,,0.000000,0,1919963,163.91,2599.64
143,101.432978,10054,1069855,203.06,1853.50,745.738250,405,390998,130.22,2489.26,,,,,,0.000000,0,1919963,162.96,2599.53
144,142.062319,7056,1076911,203.21,1872.78,943.608631,516,391514,129.49,2489.26,,,,,,0.000000,0,1919963,162.31,2597.71
