second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
43,96.985832,10407,318287,173.36,489.90,0.000000,0,125631,74.55,609.46,40.827923,24193,1126904,378.37,483.72,617.527060,1057,1383301,303.99,2124.98
44,110.002157,9086,327373,174.66,511.07,0.000000,0,125631,73.13,609.46,33.238999,29649,1156553,380.39,491.70,0.000000,0,1383301,298.19,2124.98
45,109.615526,9142,336515,176.31,522.74,0.000000,0,125631,71.77,609.46,42.539396,23264,1179817,381.27,501.37,0.000000,0,1383301,292.48,2124.98
46,90.037552,11071,347586,178.18,547.89,0.000000,0,125631,70.43,609.46,42.952238,23336,1203153,382.05,507.27,2552.064632,86,1383387,287.56,2125.11
47,111.788895,8920,356506,179.64,566.79,0.000000,0,125631,69.16,609.46,42.500567,23393,1226546,383.00,519.61,0.000000,0,1383387,282.62,2125.85
48,112.740622,8812,365318,180.60,577.77,0.000000,0,125631,67.93,609.46,40.519166,22500,1249046,383.53,530.26,4587.987133,54,1383441,278.27,2126.57
49,103.369478,9614,374932,182.31,605.48,0.000000,0,125631,66.75,609.46,42.293433,25234,1274280,384.16,533.47,0.000000,0,1383441,274.25,2126.59
50,114.139607,8800,383732,183.17,626.08,0.000000,0,125631,65.62,610.31,48.008320,20869,1295149,385.19,543.84,0.000000,0,1383441,269.80,2126.59
51,92.003615,10336,394068,184.38,638.61,0.000000,0,125631,64.51,610.31,39.377475,24652,1319801,385.74,552.79,0.000000,0,1383441,264.35,2126.62
52,109.481636,9664,403732,185.68,667.65,0.000000,0,125631,63.45,610.31,40.917939,24723,1344524,386.10,559.87,0.000000,0,1383441,260.28,2126.05
53,106.162351,9128,412860,186.84,674.78,0.000000,0,125631,62.42,610.31,39.261312,25272,1369796,387.51,568.13,0.000000,0,1383441,256.41,2125.47
54,94.872638,10861,423721,188.42,701.55,0.000000,0,125631,61.43,610.31,43.563081,22751,1392547,388.63,579.87,0.000000,0,1383441,252.33,2125.40
55,112.937515,8816,432537,189.46,722.36,0.000000,0,125631,60.46,610.31,42.107669,23397,1415944,388.82,587.83,307.690001,1890,1385331,248.82,2125.77
56,92.341727,10134,442671,190.57,734.92,0.000000,0,125631,59.52,610.31,44.083308,22787,1438731,389.43,597.25,43.445267,25258,1410589,248.69,2145.23
57,133.208558,7901,450572,191.59,758.37,0.000000,0,125631,58.63,610.31,44.362424,22406,1461137,389.43,605.01,16.233252,42934,1453523,249.98,2159.34
58,95.140253,9938,460510,192.27,771.98,0.000000,0,125631,57.75,610.31,42.418844,23275,1484412,390.17,612.15,19.931825,33429,1486952,251.25,2174.70
59,122.307465,8626,469136,193.25,795.89,0.000000,0,125631,56.89,610.31,42.771044,23569,1507981,390.48,620.59,15.466009,42989,1529941,252.16,2174.70
60,95.802290,9560,478696,194.17,810.83,257.923207,124,125755,56.11,611.73,42.464401,22781,1530762,391.35,632.44,16.736986,39583,1569524,253.33,2174.73
61,112.545232,9700,488396,195.36,835.07,55.765106,15505,141260,60.06,612.02,41.650164,24364,1555126,391.63,638.02,27.778394,24044,1593568,253.76,2179.17
62,216.597879,3862,492258,195.75,848.96,61.232841,17586,158846,66.88,674.88,38.450922,24624,1579750,392.38,645.71,15.402368,43210,1636778,254.90,2186.21
63,501.085904,1914,494172,194.05,853.63,67.187282,12789,171635,73.76,793.55,37.213203,27363,1607113,393.37,656.41,21.901950,15856,1652634,255.90,2250.74
64,484.088747,2087,496259,192.78,869.81,74.777436,14610,186245,80.77,865.67,44.638205,22281,1629394,394.10,663.25,0.000000,0,1652634,256.67,2250.74
65,513.587738,1881,498140,191.61,877.08,68.503933,13519,199764,87.27,877.41,39.158160,24935,1654329,394.78,670.52,130.162259,12512,1665146,256.40,2279.89
66,559.517911,1950,500090,189.89,887.65,77.449786,12886,212650,92.90,962.17,40.978754,24994,1679323,395.31,677.64,16.529836,40108,1705254,256.44,2279.89
67,367.120949,2832,502922,188.70,892.23,86.778256,10208,222858,97.90,1119.57,40.584269,23677,1703000,395.48,685.16,17.925639,38533,1743787,257.07,2280.24
68,348.565335,2731,505653,187.27,894.58,77.488890,10295,233153,104.44,1293.74,42.884289,23994,1726994,396.39,695.09,15.900275,37560,1781347,257.29,2267.25
