second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
136,2.249251,443,62719,47.17,171.28,2.072352,482,64721,46.40,166.06
137,2.110207,473,63192,47.20,171.42,2.075738,480,65201,46.43,166.76
138,2.228123,447,63639,47.22,171.42,1.992352,500,65701,46.44,166.76
139,2.213124,451,64090,47.25,171.42,1.980977,502,66203,46.47,167.20
140,2.297635,434,64524,47.26,171.42,1.958242,509,66712,46.50,168.02
141,2.217553,449,64973,47.25,171.42,1.924954,518,67230,46.52,168.51
142,2.193832,454,65427,47.26,171.92,2.031834,490,67720,46.53,170.10
143,2.274318,438,65865,47.27,171.92,1.951832,510,68230,46.57,170.10
144,2.255600,442,66307,47.27,171.92,1.988711,500,68730,46.60,170.40
145,2.256067,442,66749,47.25,171.92,1.974155,506,69236,46.62,170.91
146,2.211008,451,67200,47.26,172.07,2.036565,489,69725,46.64,171.04
147,2.229814,446,67646,47.28,173.41,1.899591,524,70249,46.68,175.52
148,2.117771,471,68117,47.29,173.41,1.944327,512,70761,46.70,176.27
149,2.217110,449,68566,47.31,173.66,1.927545,517,71278,46.71,178.30
150,2.184359,456,69022,47.31,174.08,1.936323,514,71792,46.72,178.43
151,2.295632,434,69456,47.32,174.52,1.980400,502,72294,46.77,180.81
152,2.206903,452,69908,47.37,177.13,1.933531,515,72809,46.78,180.81
153,2.207427,451,70359,47.39,177.13,1.959001,508,73317,46.81,181.49
154,2.297172,435,70794,47.41,178.42,1.987134,501,73818,46.84,181.49
155,2.220950,449,71243,47.44,182.31,1.934108,515,74333,46.86,181.49
156,2.212367,450,71693,47.46,184.05,1.972266,505,74838,46.87,182.00
157,2.010245,496,72189,47.48,184.20,1.941212,512,75350,46.92,182.53
158,1.937001,515,72704,47.50,184.40,2.089945,477,75827,46.92,182.67
159,1.964368,507,73211,47.54,184.57,2.164193,459,76286,46.95,182.87
160,2.043471,488,73699,47.58,185.25,2.107986,473,76759,46.94,182.87
161,2.075365,480,74179,47.60,185.25,2.143394,465,77224,46.99,182.87
162,2.082227,478,74657,47.64,185.99,2.099287,474,77698,47.01,184.08
163,2.107890,472,75129,47.67,187.18,2.103652,474,78172,47.02,185.19
164,2.145849,465,75594,47.69,187.18,2.067977,481,78653,47.03,185.19
165,2.053473,485,76079,47.71,187.33,2.113413,471,79124,47.07,185.19
166,2.099958,474,76553,47.74,187.33,2.115371,470,79594,47.09,185.19
167,2.210005,451,77004,47.76,187.33,2.337985,426,80020,47.09,186.07
168,2.587374,385,77389,47.77,187.56,2.091204,476,80496,47.10,187.29
169,2.594246,385,77774,47.76,188.30,2.096660,475,80971,47.13,191.23
170,2.457033,407,78181,47.78,189.21,2.106621,473,81444,47.16,193.87
171,2.417145,412,78593,47.77,189.82,2.095365,476,81920,47.19,194.25
172,2.386436,418,79011,47.78,190.14,2.177042,457,82377,47.21,194.75
173,2.373958,421,79432,47.76,190.14,2.451435,407,82784,47.26,195.31
174,2.509536,397,79829,47.76,190.14,2.398677,416,83200,47.27,195.80
175,2.471745,405,80234,47.78,193.64,2.471474,403,83603,47.28,196.33
176,2.437492,409,80643,47.77,194.48,2.393019,416,84019,47.31,197.23
177,2.468050,404,81047,47.77,194.48,2.444405,408,84427,47.34,197.76
178,1.935483,515,81562,47.77,195.23,2.349828,425,84852,47.36,197.76
179,1.926725,517,82079,47.79,197.09,2.352720,423,85275,47.35,198.67
180,1.943012,513,82592,47.82,197.60,2.469811,403,85678,47.34,198.67
181,1.955254,510,83102,47.84,197.60,2.470003,404,86082,47.35,198.88
182,1.922807,518,83620,47.86,197.60,2.339760,426,86508,47.36,198.88
183,1.916003,520,84140,47.89,198.69,2.035875,489,86997,47.35,198.88
184,1.901200,524,84664,47.91,198.69,1.982882,502,87499,47.37,199.91
185,1.951905,510,85174,47.92,199.66,1.985555,501,88000,47.37,200.36
186,1.930851,516,85690,47.95,200.24,1.975499,504,88504,47.41,201.00
187,1.890959,526,86216,47.98,200.24,1.967670,506,89010,47.41,201.00
188,1.943893,513,86729,47.98,200.61,2.018126,494,89504,47.42,201.14
189,1.975346,504,87233,48.00,201.38,2.021500,493,89997,47.41,201.14
190,1.943508,512,87745,48.01,201.38,2.074656,481,90478,47.43,205.55
191,1.933545,515,88260,48.04,201.38,2.111468,472,90950,47.43,207.74
192,1.879867,530,88790,48.04,201.82,2.079115,479,91429,47.43,208.05
193,1.892671,526,89316,48.04,202.30,2.047150,486,91915,47.43,208.40
194,1.950053,511,89827,48.06,205.20,2.060097,484,92399,47.45,208.40
195,1.931078,516,90343,48.08,208.78,2.015456,495,92894,47.44,208.40
196,1.959687,508,90851,48.09,209.06,2.059569,484,93378,47.44,208.64
197,2.017325,493,91344,48.11,210.57,2.077268,480,93858,47.45,208.79
198,1.903143,524,91868,48.13,210.77,2.070662,482,94340,47.47,208.79
199,1.939694,513,92381,48.14,213.39,2.059640,483,94823,47.47,209.02
200,1.949590,511,92892,48.16,213.71,2.013254,495,95318,47.47,210.92
201,1.950200,511,93403,48.17,214.67,1.988637,501,95819,47.47,210.92
202,1.956887,509,93912,48.19,214.67,2.018407,492,96311,47.49,211.65
203,2.069397,481,94393,48.21,214.94,2.062853,483,96794,47.49,211.65
204,1.935231,515,94908,48.20,214.94,2.085014,477,97271,47.47,212.19
205,1.971110,505,95413,48.20,215.32,2.090829,475,97746,47.50,212.19
206,2.043574,487,95900,48.24,215.32,2.058857,484,98230,47.50,212.19
207,2.140023,467,96367,48.24,215.32,2.041883,487,98717,47.51,213.18
208,2.239277,445,96812,48.24,215.32,2.014479,495,99212,47.50,214.06
209,2.186880,456,97268,48.25,215.63,2.057669,483,99695,47.48,215.10
210,2.290039,435,97703,48.25,217.01,2.023171,491,100186,47.52,223.85
211,2.267898,440,98143,48.27,217.38,2.085471,478,100664,47.51,224.25
212,2.131649,468,98611,48.29,217.38,1.986628,502,101166,47.51,224.53
213,2.140546,465,99076,48.29,217.78,2.005275,496,101662,47.50,225.05
214,2.036024,490,99566,48.29,218.49,2.053514,485,102147,47.52,227.03
215,2.133873,467,100033,48.33,220.93,2.068428,480,102627,47.52,228.08
216,2.042178,488,100521,48.34,222.24,2.016727,493,103120,47.52,228.25
217,1.964641,507,101028,48.35,222.24,2.075472,480,103600,47.53,228.25
218,1.914257,520,101548,48.36,223.75,2.150376,463,104063,47.54,228.25
219,1.893554,526,102074,48.39,226.22,2.120226,470,104533,47.57,228.58
220,2.156018,461,102535,48.39,226.22,2.061722,482,105015,47.57,228.58
221,2.406733,415,102950,48.39,227.16,2.106246,473,105488,47.58,228.58
222,2.302256,432,103382,48.39,227.16,2.070490,481,105969,47.61,228.90
223,2.295641,434,103816,48.40,227.26,2.022952,492,106461,47.61,228.90
224,2.356122,423,104239,48.40,227.71,2.085553,477,106938,47.63,228.90
225,2.290939,435,104674,48.41,227.71,2.138841,465,107403,47.63,229.50
226,2.355964,423,105097,48.41,228.04,2.299176,433,107836,47.64,229.50
227,2.362707,422,105519,48.40,228.28,2.431485,408,108244,47.66,230.51
228,2.849650,350,105869,48.43,228.63,2.252786,443,108687,47.66,230.51
229,2.860757,349,106218,48.42,228.63,2.278583,438,109125,47.65,231.05
230,2.597162,384,106602,48.40,228.64,2.192545,454,109579,47.66,234.25
231,2.739953,365,106967,48.37,228.64,2.213181,449,110028,47.66,235.58
232,2.834476,352,107319,48.36,230.82,2.266285,439,110467,47.69,239.80
233,2.707550,368,107687,48.35,231.15,2.520449,396,110863,47.71,240.18
234,2.609668,382,108069,48.35,232.60,2.483078,401,111264,47.71,240.41
235,2.530259,396,108465,48.33,234.04,2.574031,387,111651,47.71,241.10
236,2.698053,370,108835,48.31,234.60,2.618638,381,112032,47.73,241.25
237,2.520981,396,109231,48.29,234.60,2.445455,408,112440,47.75,241.55
238,2.276428,437,109668,48.28,234.60,2.394873,416,112856,47.74,241.55
239,2.303120,432,110100,48.26,237.70,2.348137,424,113280,47.75,241.55
240,2.321026,430,110530,48.28,239.78,2.457612,406,113686,47.73,241.63
241,2.199038,454,110984,48.26,239.78,2.622974,380,114066,47.74,241.63
242,2.178950,457,111441,48.24,240.65,2.391726,416,114482,47.75,241.82
243,2.339941,427,111868,48.25,241.26,1.999961,498,114980,47.74,242.26
244,2.315773,430,112298,48.26,241.26,2.130297,467,115447,47.73,242.26
245,2.276673,438,112736,48.24,241.26,2.014679,494,115941,47.74,242.84
246,2.329953,428,113164,48.23,241.95,2.036546,489,116430,47.75,243.44
247,2.336643,427,113591,48.23,242.52,2.066595,482,116912,47.75,243.44
248,2.247870,443,114034,48.22,242.52,2.014636,494,117406,47.76,243.44
249,2.275646,439,114473,48.21,242.52,2.078439,480,117886,47.76,243.76
250,2.342216,425,114898,48.20,242.89,2.110811,472,118358,47.76,244.62
251,2.172391,459,115357,48.19,242.89,2.118030,471,118829,47.77,244.92
252,2.222358,449,115806,48.17,242.89,2.098416,474,119303,47.76,245.21
253,2.303776,432,116238,48.17,243.87,2.086567,478,119781,47.77,247.90
254,2.337382,427,116665,48.17,243.87,2.083169,479,120260,47.76,248.19
255,2.418022,413,117078,48.15,244.85,2.089377,477,120737,47.76,249.93
256,2.580494,386,117464,48.14,244.85,2.150311,463,121200,47.76,256.36
257,2.406129,415,117879,48.14,244.85,2.149708,464,121664,47.78,257.59
258,2.312076,431,118310,48.15,245.85,2.128369,468,122132,47.78,257.85
259,2.248340,444,118754,48.16,246.76,2.076480,479,122611,47.79,258.53
260,2.189215,456,119210,48.15,246.76,2.033637,490,123101,47.79,259.36
261,2.139915,460,119670,48.14,247.48,2.082069,478,123579,47.80,259.61
262,2.239017,451,120121,48.15,249.76,2.101494,474,124053,47.80,259.89
263,2.159896,462,120583,48.16,252.83,2.055590,484,124537,47.79,259.89
264,2.198742,453,121036,48.17,256.95,2.097336,475,125012,47.80,259.94
265,2.202644,453,121489,48.18,256.95,2.039122,489,125501,47.81,260.27
266,2.241540,444,121933,48.17,257.38,2.068710,481,125982,47.81,260.53
267,2.291212,433,122366,48.17,257.80,2.123689,469,126451,47.82,260.53
268,2.328175,430,122796,48.18,258.36,2.041121,488,126939,47.82,260.53
269,2.312959,431,123227,48.20,259.38,2.055793,484,127423,47.81,261.77
270,2.185635,455,123682,48.19,259.38,2.092241,476,127899,47.84,261.94
271,2.174627,459,124141,48.20,259.38,2.057627,484,128383,47.84,261.94
272,2.327976,429,124570,48.20,259.38,2.047038,486,128869,47.84,262.39
273,2.357090,423,124993,48.22,260.23,2.038400,489,129358,47.85,263.22
274,2.337768,426,125419,48.21,260.34,2.091090,476,129834,47.85,264.14
275,2.457857,406,125825,48.22,260.34,2.036509,489,130323,47.86,265.69
276,2.243292,444,126269,48.23,260.34,2.053525,486,130809,47.87,268.47
277,2.026548,491,126760,48.22,261.72,1.959506,508,131317,47.87,269.32
278,2.111632,472,127232,48.23,262.40,2.105347,473,131790,47.87,269.32
279,2.108390,472,127704,48.24,262.40,2.071550,480,132270,47.89,269.32
280,2.107639,474,128178,48.24,262.40,2.149865,463,132733,47.90,269.32
281,2.116245,471,128649,48.25,263.05,2.153727,462,133195,47.90,269.32
282,2.253531,443,129092,48.25,263.05,2.085323,477,133672,47.91,269.32
283,2.321584,430,129522,48.26,265.02,2.072791,480,134152,47.91,269.93
284,2.311420,432,129954,48.27,269.07,2.123381,469,134621,47.93,271.81
285,2.334737,426,130380,48.27,269.07,2.127932,467,135088,47.94,272.51
286,2.230409,448,130828,48.27,269.07,2.137675,466,135554,47.94,272.51
287,2.276737,438,131266,48.28,271.01,2.418548,412,135966,47.94,272.51
288,2.769541,361,131627,48.27,272.91,2.232157,446,136412,47.95,272.51
289,2.902637,344,131971,48.28,273.88,2.185438,456,136868,47.96,273.05
290,2.859357,348,132319,48.27,273.88,2.230504,446,137314,47.97,273.72
291,2.726777,367,132686,48.25,273.88,2.176260,457,137771,47.98,274.12
292,2.782258,358,133044,48.24,274.02,2.238811,445,138216,47.98,275.16
293,2.797643,358,133402,48.22,274.02,2.604741,382,138598,47.97,275.16
294,2.736431,365,133767,48.20,274.02,2.669766,373,138971,47.99,275.67
295,2.837927,352,134119,48.20,274.22,2.556230,390,139361,47.99,275.67
296,2.926421,341,134460,48.19,274.22,2.560309,389,139750,47.99,277.67
297,2.862923,349,134809,48.17,275.71,2.465953,404,140154,47.98,278.23
298,2.390084,416,135225,48.14,275.87,2.468346,404,140558,47.99,280.80
299,2.340841,426,135651,48.13,275.87,2.467089,403,140961,47.98,281.57
300,2.354684,423,136074,48.12,275.87,2.382629,419,141380,47.97,283.31
301,2.298481,433,136507,48.13,277.15,2.494638,399,141779,47.97,284.79
302,2.290925,435,136942,48.12,277.49,2.352679,424,142203,47.99,288.12
303,2.328114,429,137371,48.10,277.49,1.958372,509,142712,47.99,288.26
304,2.364296,421,137792,48.09,278.18,2.029919,490,143202,47.99,288.26
305,2.258990,441,138233,48.09,278.18,2.019602,493,143695,48.00,288.47
306,2.253424,443,138676,48.08,278.83,1.993640,499,144194,48.01,288.74
307,2.314175,431,139107,48.08,280.13,1.992902,500,144694,48.03,289.68
308,2.303962,432,139539,48.07,280.52,1.981821,503,145197,48.03,290.29
309,2.398926,416,139955,48.07,284.81,2.001432,498,145695,48.02,290.29
310,2.254504,442,140397,48.06,285.11,2.087929,478,146173,48.03,290.87
311,2.314978,431,140828,48.05,285.42,1.980580,503,146676,48.04,290.87
312,2.376382,419,141247,48.04,289.77,1.956575,509,147185,48.04,291.51
313,2.281839,437,141684,48.05,290.84,2.044551,488,147673,48.05,291.51
314,2.366311,412,142096,48.05,291.21,2.013348,495,148168,48.04,293.03
315,2.473526,412,142508,48.02,292.18,2.018284,494,148662,48.04,294.10
316,2.434415,409,142917,48.01,292.42,2.006630,497,149159,48.04,295.35
317,2.297803,434,143351,48.01,292.79,2.042210,488,149647,48.06,297.42
318,2.266303,440,143791,48.03,293.05,1.974925,505,150152,48.05,297.42
319,2.241571,445,144236,48.01,293.05,1.996751,498,150650,48.05,297.81
320,2.360826,422,144658,48.00,294.51,1.966585,507,151157,48.06,299.39
321,2.302109,433,145091,48.00,294.51,1.936442,514,151671,48.07,301.55
322,2.240817,445,145536,47.98,294.51,1.988685,500,152171,48.07,302.17
323,2.239289,445,145981,47.99,294.51,1.928983,517,152688,48.09,305.26
324,2.288257,436,146417,47.98,294.51,1.934784,514,153202,48.09,305.26
325,2.296187,434,146851,47.98,294.68,2.069243,481,153683,48.11,305.65
326,2.317265,430,147281,47.97,294.95,2.028854,491,154174,48.12,305.65
327,2.425036,411,147692,47.96,294.95,1.931940,515,154689,48.12,306.46
328,2.373890,420,148112,47.96,294.95,2.020552,493,155182,48.14,306.63
329,2.331197,428,148540,48.00,296.04,1.942847,512,155694,48.14,306.63
330,2.158730,462,149002,48.00,296.34,1.982841,502,156196,48.14,306.63
331,2.297220,434,149436,48.00,296.34,1.992527,499,156695,48.16,306.63
332,2.398789,416,149852,48.00,297.09,2.057548,484,157179,48.16,307.26
333,2.356061,423,150275,48.00,297.70,1.972608,504,157683,48.17,307.91
334,2.441234,409,150684,48.01,301.28,2.037413,489,158172,48.17,308.68
335,2.432465,410,151094,48.01,305.50,1.988572,501,158673,48.17,309.40
336,2.360072,422,151516,48.02,306.54,1.981680,503,159176,48.18,309.40
337,2.154573,463,151979,48.01,306.54,1.985439,502,159678,48.18,309.65
338,2.228640,447,152426,48.02,307.29,2.050106,485,160163,48.21,311.79
339,2.089963,478,152904,48.01,307.62,2.102938,473,160636,48.21,312.21
340,2.182453,456,153360,48.02,307.90,2.143076,465,161101,48.20,312.71
341,2.212171,451,153811,48.04,308.75,2.142507,465,161566,48.21,312.98
342,2.242950,445,154256,48.05,308.92,2.094224,474,162040,48.22,317.08
343,2.252753,442,154698,48.05,309.70,2.122115,470,162510,48.23,317.08
344,2.309973,432,155130,48.05,310.05,2.050967,485,162995,48.24,317.08
345,2.291275,436,155566,48.04,310.05,2.120159,469,163464,48.24,317.28
346,2.375378,420,155986,48.07,310.05,2.126862,467,163931,48.25,317.69
347,2.343311,425,156411,48.08,310.05,2.427285,410,164341,48.27,318.06
348,2.733292,366,156777,48.07,311.09,2.253077,442,164783,48.27,318.06
349,2.802081,357,157134,48.07,311.35,2.282142,436,165219,48.28,318.40
350,2.607145,383,157517,48.06,311.35,2.294896,434,165653,48.27,318.96
351,2.710721,368,157885,48.06,311.35,2.230851,447,166100,48.28,319.19
352,2.616667,382,158267,48.04,311.80,2.273903,438,166538,48.28,319.19
353,2.694476,371,158638,48.05,313.37,2.640760,377,166915,48.29,321.21
354,2.594674,384,159022,48.04,313.82,2.655317,375,167290,48.29,321.21
355,2.668969,375,159397,48.03,313.82,2.719612,367,167657,48.31,321.21
356,2.746749,363,159760,48.02,315.40,2.627882,379,168036,48.30,321.75
357,2.767896,361,160121,48.00,315.70,2.548350,391,168427,48.30,321.75
