second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
132,4.565956,219,28091,17.88,81.19,4.187626,239,31015,11.26,195.60,15.296223,65,8536,8.00,34.23
133,4.656967,214,28305,17.88,82.00,4.007899,249,31264,11.26,195.60,15.233886,65,8601,8.00,34.43
134,4.841302,206,28511,17.89,82.47,4.120250,243,31507,11.25,195.60,15.558092,65,8666,8.01,34.43
135,4.687904,212,28723,17.89,82.51,4.043942,247,31754,11.24,195.60,15.575711,64,8730,8.02,34.75
136,5.005087,200,28923,17.91,82.64,4.115637,243,31997,11.24,197.65,15.946541,63,8793,8.03,35.05
137,4.803879,208,29131,17.91,82.79,4.131032,242,32239,11.24,197.65,15.343461,65,8858,8.04,35.22
138,4.627865,216,29347,17.91,82.91,4.196970,238,32477,11.25,197.65,15.329163,66,8924,8.05,35.22
139,5.052707,197,29544,17.92,83.28,4.155626,241,32718,11.24,197.65,15.252888,65,8989,8.05,35.61
140,4.865557,205,29749,17.92,83.51,4.182287,239,32957,11.24,199.77,15.635216,64,9053,8.06,35.61
141,4.862861,205,29954,17.92,84.45,4.079621,244,33201,11.23,199.77,15.001412,67,9120,8.07,35.61
142,5.010052,198,30152,17.93,84.90,4.064693,247,33448,11.23,199.77,15.410321,65,9185,8.07,35.88
143,4.753436,212,30364,17.93,85.50,4.092581,244,33692,11.22,199.77,15.110909,66,9251,8.08,36.06
144,4.980685,199,30563,17.93,85.64,4.142609,241,33933,11.23,201.17,15.660729,64,9315,8.09,36.23
145,4.738619,212,30775,17.92,85.64,4.004844,250,34183,11.22,201.17,15.616498,64,9379,8.09,36.46
146,4.743043,210,30985,17.92,85.64,4.053883,246,34429,11.21,201.17,15.627366,64,9443,8.10,36.55
147,4.790956,208,31193,17.92,86.54,4.085061,245,34674,11.21,201.17,15.670519,63,9506,8.10,36.55
148,4.721973,212,31405,17.93,86.75,4.119126,243,34917,11.21,200.64,15.718806,64,9570,8.11,36.64
149,4.795077,208,31613,17.93,86.93,4.043636,247,35164,11.19,200.64,15.606547,64,9634,8.11,36.92
150,4.708172,212,31825,17.93,86.93,4.027484,247,35411,11.19,200.64,15.924956,63,9697,8.11,37.01
151,4.641205,215,32040,17.93,86.93,4.111402,244,35655,11.17,200.64,15.612083,64,9761,8.12,37.10
152,4.957539,201,32241,17.94,86.93,4.097799,244,35899,11.17,200.64,15.734178,63,9824,8.12,37.19
153,4.816549,207,32448,17.95,86.93,4.133405,242,36141,11.17,202.76,15.749281,64,9888,8.13,37.56
154,4.924788,203,32651,17.95,86.93,4.085645,245,36386,11.16,202.76,15.959627,63,9951,8.13,37.56
155,4.906274,203,32854,17.95,86.93,4.221457,235,36621,11.15,202.67,15.237695,65,10016,8.14,37.95
156,4.767103,210,33064,17.96,86.93,4.222287,238,36859,11.17,204.03,15.491021,65,10081,8.14,38.12
157,4.843517,206,33270,17.96,86.93,4.164786,240,37099,11.17,204.03,15.416785,65,10146,8.15,38.30
158,4.750411,210,33480,17.97,87.07,4.278204,234,37333,11.16,204.03,15.470642,64,10210,8.15,38.39
159,4.697550,213,33693,17.97,87.19,4.283926,233,37566,11.16,204.03,15.250485,65,10275,8.16,38.85
160,4.892668,204,33897,17.99,87.19,4.329160,231,37797,11.15,204.03,14.760218,68,10343,8.16,38.94
161,4.768228,209,34106,18.00,87.19,4.367615,229,38026,11.15,204.03,15.508270,65,10408,8.17,38.94
162,4.700354,213,34319,18.00,87.35,4.426859,226,38252,11.14,204.03,15.187932,66,10474,8.17,39.02
163,4.552350,219,34538,18.01,87.54,4.249876,235,38487,11.14,204.03,15.254877,65,10539,8.18,39.11
164,4.761213,208,34746,18.02,87.63,4.256143,235,38722,11.14,204.03,15.478891,65,10604,8.18,39.46
165,5.034537,199,34945,18.04,87.76,4.185144,238,38960,11.12,204.03,15.360845,65,10669,8.18,39.55
166,4.892514,205,35150,18.04,87.91,4.187885,239,39199,11.11,204.03,15.548470,64,10733,8.19,39.64
167,4.845665,206,35356,18.04,88.01,4.189799,239,39438,11.09,204.03,15.554845,65,10798,8.19,39.73
168,4.657737,214,35570,18.05,88.01,4.296076,232,39670,11.08,204.03,16.230922,61,10859,8.19,39.82
169,4.638132,215,35785,18.06,88.11,4.106124,244,39914,11.08,209.09,15.718046,64,10923,8.19,40.35
170,4.646526,215,36000,18.08,88.55,4.494155,222,40136,11.09,211.48,15.348047,65,10988,8.20,40.44
171,4.753980,210,36210,18.09,88.72,4.194375,239,40375,11.08,211.48,15.631794,64,11052,8.20,40.53
172,4.803882,208,36418,18.10,88.72,4.117613,241,40616,11.07,211.48,15.552396,64,11116,8.21,40.61
173,4.878907,204,36622,18.10,88.72,4.144522,242,40858,11.05,211.48,15.729319,63,11179,8.21,40.88
174,4.714521,212,36834,18.11,88.72,4.102776,244,41102,11.05,211.48,15.551481,65,11244,8.22,40.96
175,4.557802,219,37053,18.13,89.19,4.133356,242,41344,11.04,213.61,15.710053,64,11308,8.21,41.14
176,4.738488,211,37264,18.14,90.66,4.147841,241,41585,11.03,213.61,15.343166,65,11373,8.22,41.40
177,4.654029,214,37478,18.16,90.76,4.101090,244,41829,11.02,213.61,15.607453,64,11437,8.22,41.40
178,4.815415,208,37686,18.16,90.90,4.133681,242,42071,11.01,213.61,15.384532,65,11502,8.22,41.67
179,4.787734,208,37894,18.17,90.97,4.124176,242,42313,10.99,213.61,15.720779,63,11565,8.23,41.76
180,4.899171,204,38098,18.17,90.97,4.121606,243,42556,10.99,213.61,15.206186,66,11631,8.22,41.94
181,5.035027,198,38296,18.17,90.97,4.162129,240,42796,10.98,213.61,15.417902,65,11696,8.23,42.28
182,4.801866,208,38504,18.17,91.35,4.142077,241,43037,10.98,213.61,15.204172,65,11761,8.23,42.37
183,5.021441,198,38702,18.18,91.48,4.163339,240,43277,10.97,213.61,15.774594,64,11825,8.23,42.37
184,5.028930,199,38901,18.20,92.31,4.138496,242,43519,10.96,213.61,15.715001,64,11889,8.23,42.54
185,5.052880,197,39098,18.19,92.31,4.180470,239,43758,10.96,213.61,15.775285,63,11952,8.22,42.63
186,5.129287,195,39293,18.19,92.44,4.230431,236,43994,10.95,213.61,15.896722,63,12015,8.23,42.63
187,4.864846,205,39498,18.20,92.44,4.244387,236,44230,10.96,215.66,16.130491,62,12077,8.23,42.89
188,4.880296,204,39702,18.20,93.46,4.112877,243,44473,10.95,215.45,15.920506,63,12140,8.23,42.98
189,4.627895,214,39916,18.22,93.79,4.074050,245,44718,10.94,215.45,16.124654,62,12202,8.23,43.15
190,4.786232,210,40126,18.22,93.93,3.996256,250,44968,10.93,215.45,15.837423,63,12265,8.23,43.33
191,4.649621,215,40341,18.23,94.28,3.945254,254,45222,10.92,215.45,15.877885,63,12328,8.23,43.50
192,4.751866,210,40551,18.23,94.43,4.033583,247,45469,10.91,215.45,15.273668,66,12394,8.23,44.04
193,4.739863,211,40762,18.23,94.43,4.274639,234,45703,10.89,215.45,15.843132,63,12457,8.24,44.12
194,4.763176,209,40971,18.24,94.92,4.039131,248,45951,10.89,217.16,15.954197,62,12519,8.24,44.38
195,4.843960,206,41177,18.24,95.02,4.018136,248,46199,10.88,217.16,16.058392,62,12581,8.24,44.56
196,4.584867,218,41395,18.25,95.24,4.051410,247,46446,10.87,217.80,15.547559,64,12645,8.25,44.82
197,4.754925,210,41605,18.25,95.24,3.984266,251,46697,10.86,217.80,16.067315,63,12708,8.25,45.00
198,4.761744,210,41815,18.25,95.36,4.063253,246,46943,10.86,219.16,15.625688,64,12772,8.25,45.09
199,4.728422,211,42026,18.25,95.36,4.132972,242,47185,10.86,219.16,15.895144,63,12835,8.25,45.18
200,4.838838,206,42232,18.24,95.36,4.035112,248,47433,10.85,218.95,15.927546,63,12898,8.25,45.18
201,4.661732,215,42447,18.25,95.36,4.012688,249,47682,10.83,218.95,15.407456,65,12963,8.26,45.35
202,4.916197,203,42650,18.26,95.68,4.016847,249,47931,10.82,218.95,16.154521,62,13025,8.26,45.71
203,4.869061,204,42854,18.26,95.68,4.141663,241,48172,10.82,219.63,15.609312,64,13089,8.27,45.80
204,4.832098,207,43061,18.25,95.79,4.168466,240,48412,10.81,219.63,15.523797,64,13153,8.27,45.88
205,4.754000,210,43271,18.25,95.79,4.183566,239,48651,10.80,219.63,15.465276,65,13218,8.27,46.06
206,4.714911,212,43483,18.25,95.93,4.148254,241,48892,10.79,219.63,15.583792,64,13282,8.27,46.14
207,4.751540,210,43693,18.25,95.93,4.160518,239,49131,10.79,219.63,15.644848,64,13346,8.28,46.49
208,4.622787,216,43909,18.27,96.17,4.208568,238,49369,10.78,219.63,15.432462,65,13411,8.28,46.49
209,4.647427,214,44123,18.27,96.28,4.066242,246,49615,10.78,219.63,15.535157,64,13475,8.27,46.67
210,4.722024,211,44334,18.27,96.28,4.158525,240,49855,10.77,219.63,15.972502,63,13538,8.28,46.67
211,5.001775,201,44535,18.27,96.38,4.094434,245,50100,10.77,219.63,15.497769,64,13602,8.29,46.76
212,5.043264,198,44733,18.28,96.38,3.966800,252,50352,10.78,222.42,15.439189,65,13667,8.29,46.94
213,4.690500,211,44944,18.29,96.38,4.113086,243,50595,10.77,222.42,15.806527,63,13730,8.29,47.20
214,4.864570,207,45151,18.29,96.67,4.038976,247,50842,10.76,222.42,15.726084,64,13794,8.30,47.29
215,4.663039,214,45365,18.30,96.67,4.049778,246,51088,10.75,222.42,15.765155,63,13857,8.30,47.55
216,4.733154,210,45575,18.31,96.96,4.131095,242,51330,10.74,222.42,15.417439,65,13922,8.30,47.55
217,4.653205,215,45790,18.32,97.19,4.093330,245,51575,10.74,222.42,15.584816,64,13986,8.31,47.91
218,4.538369,220,46010,18.33,97.19,4.255861,235,51810,10.73,223.11,15.472170,65,14051,8.31,48.08
219,4.628025,216,46226,18.34,97.19,4.189683,237,52047,10.72,223.11,15.566330,64,14115,8.31,48.17
220,4.552782,219,46445,18.35,97.50,4.268929,236,52283,10.71,223.11,15.047015,66,14181,8.31,48.35
221,4.852126,206,46651,18.37,97.61,4.241510,235,52518,10.71,223.11,15.615039,64,14245,8.31,48.70
222,4.754645,210,46861,18.38,98.12,4.141360,242,52760,10.70,223.11,15.280496,66,14311,8.31,48.88
223,4.650999,214,47075,18.38,99.29,4.054735,246,53006,10.69,223.11,15.495340,64,14375,8.31,48.97
224,4.885011,205,47280,18.38,99.29,4.068183,246,53252,10.68,223.11,15.263556,66,14441,8.31,49.14
225,4.865103,205,47485,18.38,99.29,4.259775,235,53487,10.68,225.23,14.886050,67,14508,8.31,49.23
226,5.009790,199,47684,18.39,99.46,4.122416,242,53729,10.68,225.23,15.278028,65,14573,8.31,49.23
227,5.097265,196,47880,18.39,99.46,4.153429,241,53970,10.67,225.23,15.295497,66,14639,8.31,49.32
228,4.797303,207,48087,18.40,99.64,4.160790,240,54210,10.66,225.23,15.209140,66,14705,8.31,49.67
229,5.043161,199,48286,18.40,99.64,4.233994,236,54446,10.66,225.23,15.106176,66,14771,8.31,49.76
230,4.730485,211,48497,18.40,99.79,4.323159,231,54677,10.77,226.89,15.165036,66,14837,8.32,50.12
231,4.856182,205,48702,18.40,99.79,4.088927,245,54922,10.76,226.89,15.322640,65,14902,8.31,50.21
232,4.664820,214,48916,18.40,100.11,4.132957,241,55163,10.75,226.71,15.274359,65,14967,8.31,50.21
233,4.935406,202,49118,18.41,100.73,4.062639,247,55410,10.75,226.71,15.456350,65,15032,8.32,50.29
234,4.903241,204,49322,18.41,100.73,4.100031,243,55653,10.74,227.73,15.943472,63,15095,8.32,50.38
235,4.828770,207,49529,18.42,101.30,4.030635,248,55901,10.74,227.63,15.955137,62,15157,8.32,50.47
236,4.748623,210,49739,18.43,102.30,4.062225,247,56148,10.73,227.63,15.648794,64,15221,8.32,50.73
237,4.779794,209,49948,18.43,102.70,4.130846,242,56390,10.73,227.63,15.603887,64,15285,8.33,50.91
238,4.956133,201,50149,18.43,102.70,4.108062,243,56633,10.72,227.65,15.290034,66,15351,8.32,51.09
239,4.872730,205,50354,18.43,102.82,4.020193,248,56881,10.71,227.65,15.655907,64,15415,8.33,51.35
240,4.638396,215,50569,18.44,103.42,4.072158,246,57127,10.70,227.65,15.125971,66,15481,8.33,51.44
