second,avg_latency_ms_consul,throughput_consul,cumulative_throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_etcd3multi,throughput_etcd3multi,cumulative_throughput_etcd3multi,avg_cpu_etcd3multi,avg_memory_mb_etcd3multi,avg_latency_ms_etcd2,throughput_etcd2,cumulative_throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
40,218.590251,4480,182218,36.54,364.82,72.285746,14354,578517,85.57,382.29,79.226169,13820,596921,82.18,345.21,421.459589,38,150716,46.61,2036.77,276.228790,3566,973195,109.60,2256.10
41,214.122099,4709,186927,37.22,374.17,68.575279,14318,592835,87.05,389.07,72.410529,13620,610541,83.71,352.94,194.913506,34,150750,46.27,2036.77,45.173396,26169,999364,109.22,2256.10
42,215.215370,4955,191882,37.84,384.21,72.312466,13825,606660,88.67,395.82,67.432582,13920,624461,85.28,361.44,234.621070,13,150763,45.92,2036.77,33.219995,30093,1029457,109.46,2256.10
43,223.599360,3642,195524,38.37,393.00,77.144518,12317,618977,89.83,401.60,67.433697,15323,639784,86.66,365.64,149.491938,8,150771,45.59,2036.77,41.289047,20496,1049953,110.60,2256.10
44,240.423775,4903,200427,38.96,403.87,75.645560,13918,632895,91.49,412.38,77.847606,13443,653227,88.09,370.72,3685.498166,1,150772,45.25,2036.77,52.489018,21990,1071943,111.71,2256.10
45,214.010421,4736,205163,39.47,416.11,70.311420,13021,645916,92.83,416.16,68.873899,14348,667575,89.50,380.26,423.688275,12,150784,44.90,2036.77,35.327384,28252,1100195,112.59,2256.10
46,215.451868,4571,209734,40.07,424.01,71.109842,14727,660643,94.20,421.74,73.238787,13404,680979,90.72,384.05,216.431639,6,150790,44.58,2036.77,30.766081,32427,1132622,114.30,2256.10
47,214.337497,4644,214378,40.69,438.02,75.655234,12931,673574,95.72,427.61,70.131130,14609,695588,92.08,391.84,2407.464993,1,150791,44.26,2036.77,34.674250,28831,1161453,116.16,2256.10
48,219.358058,4416,218794,41.21,447.48,73.925315,14088,687662,96.89,434.14,72.549158,13356,708944,93.37,397.70,519.036782,7,150798,43.93,2036.77,36.641581,27304,1188757,117.95,2256.10
49,224.952783,4608,223402,41.80,457.98,79.958439,12602,700264,97.92,438.80,83.567069,11763,720707,94.54,402.52,3215.078259,1,150799,43.62,2036.77,34.920415,28629,1217386,119.50,2265.79
50,219.403892,4416,227818,42.30,464.86,74.188945,13369,713633,99.57,449.64,67.414180,15310,736017,95.74,409.24,111.469472,3908,154707,43.30,2036.77,35.613223,28048,1245434,120.98,2273.30
51,225.921798,4480,232298,42.76,475.14,68.618068,14305,727938,100.85,454.02,72.355053,13603,749620,97.26,424.28,101.148037,8385,163092,43.00,2036.77,37.261835,26566,1272000,122.22,2273.30
52,224.136198,4480,236778,43.34,486.60,70.163078,13563,741501,102.11,460.63,67.459215,14833,764453,98.44,428.36,77.609306,11113,174205,42.70,2036.77,33.166621,30351,1302351,123.87,2291.22
53,226.285953,4288,241066,43.76,494.59,78.613709,13563,755064,103.27,468.39,88.525561,11430,775883,99.79,434.69,117.589468,9099,183304,42.39,2036.77,35.112251,28388,1330739,125.49,2330.86
54,214.713888,4637,245703,44.34,509.83,72.160429,13511,768575,104.65,475.24,68.749235,14702,790585,100.67,436.31,110.478186,9065,192369,42.10,2036.77,30.416357,33048,1363787,127.27,2340.30
