second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
228,920.952160,351,506807,136.36,3617.12
229,586.813848,328,507135,136.05,3617.12
230,627.200793,289,507424,135.88,3617.12
231,947.559994,188,507612,135.42,3617.12
232,522.556982,203,507815,134.89,3617.12
233,1370.454635,34,507849,134.36,3617.12
234,948.468170,70,507919,133.79,3617.12
235,876.745149,321,508240,133.25,3617.12
236,658.193103,188,508428,132.76,3617.12
237,1245.303918,12,508440,132.19,3617.12
238,426.839235,54,508494,131.63,3617.12
239,787.805986,5,508499,131.12,3617.12
240,714.510719,180,508679,130.59,3617.12
241,148.222865,4932,513611,130.48,3617.12
242,81.115627,9963,523574,130.96,3617.12
243,111.920547,7222,530796,132.09,3617.12
244,107.694283,4915,535711,133.17,3617.12
245,267.110742,2526,538237,134.36,3617.32
246,94.832450,3982,542219,135.52,3617.52
247,350.776980,1654,543873,136.77,3619.08
248,58.558366,7115,550988,137.75,3619.11
249,73.466069,4995,555983,139.27,3621.32
250,189.576237,3317,559300,140.02,3622.17
251,71.629750,6774,566074,141.59,3622.25
252,151.133957,2306,568380,143.01,3622.51
253,105.579579,7248,575628,144.33,3622.51
254,169.704508,3653,579281,145.42,3622.76
255,448.104074,493,579774,147.17,3622.93
256,119.562003,7815,587589,148.56,3622.93
257,308.480096,1413,589002,150.37,3623.66
258,906.519093,80,589082,151.73,3728.02
259,697.247767,1,,,
