second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1811337,84.75,4852.34
838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9651.037258,720,1812057,84.80,4852.34
839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812057,84.75,4852.34
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812057,84.69,4852.34
841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812057,84.63,4852.34
842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9731.828281,187,1812244,84.58,4852.34
843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812244,84.51,4852.34
844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812244,84.48,4852.78
845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812244,84.43,4874.42
846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812244,84.36,4885.77
847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13062.884366,129,1812373,84.26,4885.95
848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812373,84.17,4886.56
849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10893.661485,65,1812438,84.06,4886.73
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812438,83.96,4887.17
851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812438,83.87,4887.26
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812438,83.78,4887.26
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14379.282991,65,1812503,83.68,4887.70
854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812503,83.58,4887.79
855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812503,83.50,4887.88
856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812503,83.42,4888.05
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1812503,83.33,4888.05
858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19630.280780,325,1812828,83.24,4888.49
859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17743.678326,518,1813346,83.26,4889.81
860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4325.188466,520,1813866,83.35,4889.90
861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.410662,454,1814320,83.27,4889.90
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132.958349,390,1814710,83.20,4889.90
863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.094771,520,1815230,83.12,4889.90
864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152.743630,325,1815555,83.04,4889.90
865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255.431333,585,1816140,82.96,4889.99
866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189.106760,453,1816593,82.89,4890.07
867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236.213678,521,1817114,83.15,4890.07
868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117.336267,520,1817634,83.07,4890.07
869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.721970,390,1818024,83.00,4890.16
870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.250994,455,1818479,82.92,4890.16
871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251.383241,325,1818804,82.84,4890.16
872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2642.408158,195,1818999,82.76,4890.16
873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223.285874,259,1819258,82.68,4890.16
874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673.750790,260,1819518,82.59,4890.16
875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.239633,259,1819777,82.51,4890.16
876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4358.894795,196,1819973,82.54,4890.16
877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.543769,259,1820232,82.46,4890.16
878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315.863630,158,1820390,82.37,4890.16
879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4307.690922,311,1820701,82.29,4890.16
880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302.786258,145,1820846,82.26,4890.16
881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4353.652296,258,1821104,82.24,4890.16
882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4325.291827,258,1821362,82.15,4890.16
883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4351.957044,222,1821584,82.08,4890.16
884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348.336538,259,1821843,82.02,4890.16
885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383.183554,195,1822038,81.96,4890.16
886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4595.174034,194,1822232,81.92,4890.16
887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694.053509,133,1822365,81.98,4890.16
888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4880.259479,221,1822586,81.93,4890.16
889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5133.247129,198,1822784,81.89,4890.16
890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5125.831869,191,1822975,81.86,4890.16
891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067.620153,195,1823170,81.81,4890.16
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.826924,194,1823364,81.77,4890.09
893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223.342803,155,1823519,81.73,4890.09
894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5530.755154,132,1823651,81.78,4890.09
895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577.941772,193,1823844,81.82,4890.09
896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637.999079,195,1824039,81.82,4890.09
897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5662.275094,193,1824232,81.77,4890.09
898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5655.591953,161,1824393,81.69,4890.09
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5607.592782,191,1824584,81.60,4890.09
900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5831.291077,133,1824717,81.53,4890.09
901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5841.654062,128,1824845,81.45,4890.09
902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867.013256,259,1825104,81.37,4890.09
903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5853.678328,193,1825297,81.29,4890.09
904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5767.148412,96,1825393,81.21,4890.09
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5803.556844,194,1825587,81.13,4890.09
906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823.677815,194,1825781,81.06,4890.09
907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052.765217,64,1825845,80.98,4890.09
908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6214.836364,196,1826041,81.01,4890.09
909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6239.335068,192,1826233,81.05,4890.09
910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.898530,160,1826393,81.08,4890.09
911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197.713567,191,1826584,81.01,4890.09
912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.392289,132,1826716,80.93,4890.09
913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6427.151296,71,1826787,80.85,4890.09
914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6522.532036,123,1826910,80.77,4890.09
915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7034.013797,3,1826913,80.69,4890.09
916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1826913,80.61,4890.09
917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8821.309486,62,1826975,80.52,4890.09
918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9824.905180,128,1827103,80.44,4890.09
919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9939.271586,131,1827234,80.36,4890.09
920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9943.041441,159,1827393,80.27,4890.09
921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9944.318007,191,1827584,80.19,4890.09
922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9942.526757,133,1827717,80.11,4890.09
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9940.212343,71,1827788,80.03,4890.09
924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9931.409657,125,1827913,80.16,4895.98
925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7386.091807,129,1828042,80.10,4895.98
926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7193.891495,67,1828109,80.03,4895.98
927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.786486,189,1828298,79.95,4895.98
928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7987.089085,95,1828393,79.87,4895.98
929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8065.051322,194,1828587,79.79,4895.98
930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8045.297094,129,1828716,79.71,4895.98
931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8245.699569,68,1828784,79.62,4895.98
932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8765.435833,61,1828845,79.54,4895.98
933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8796.658389,71,1828916,79.47,4895.98
934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9025.770055,126,1829042,79.39,4895.98
935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9145.188031,67,1829109,79.30,4895.98
936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9024.044602,135,1829244,79.23,4896.34
937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9143.242913,149,1829393,79.26,4896.34
938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9095.551724,130,1829523,79.29,4896.34
939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9033.667208,193,1829716,79.23,4896.34
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9024.245593,68,1829784,79.15,4896.34
941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8996.673740,9,1829793,79.07,4896.34
942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9096.523633,124,1829917,78.99,4896.34
943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9114.054431,125,1830042,78.92,4896.34
944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9153.132078,67,1830109,78.85,4896.34
945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8979.809048,125,1830234,78.77,4896.34
946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9092.445527,134,1830368,78.80,4896.34
947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9103.017373,159,1830527,78.73,4896.34
948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9022.484826,129,1830656,78.66,4896.34
949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9094.477243,128,1830784,78.59,4896.34
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8996.676962,10,1830794,78.51,4896.34
951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9149.869764,122,1830916,78.44,4896.34
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9067.387131,126,1831042,78.56,4899.61
953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8995.044045,69,1831111,78.51,4899.61
954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8992.798029,123,1831234,78.44,4899.61
955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9118.803940,135,1831369,78.37,4899.61
956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9004.605207,158,1831527,78.30,4899.61
957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9005.326961,125,1831652,78.23,4899.61
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9068.193360,131,1831783,78.15,4899.61
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8975.151923,10,1831793,78.08,4899.61
960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9044.438052,123,1831916,78.11,4899.61
961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9120.985088,64,1831980,78.04,4899.61
962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136.826787,131,1832111,77.97,4899.61
963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9209.273641,123,1832234,77.90,4899.61
964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9273.831049,131,1832365,77.82,4899.61
965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136.342141,158,1832523,77.75,4899.61
966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9021.497755,130,1832653,77.79,4899.61
967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9019.106329,130,1832783,77.82,4903.06
968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8985.652275,11,1832794,77.75,4903.06
969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9088.564837,122,1832916,77.68,4903.06
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9021.234374,64,1832980,77.60,4903.06
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9018.268589,129,1833109,77.53,4903.06
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9022.996808,125,1833234,77.46,4903.06
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9021.439813,131,1833365,77.39,4903.06
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101.305913,158,1833523,77.41,4903.06
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9086.309814,129,1833652,77.35,4903.06
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9124.622331,70,1833722,77.28,4903.06
977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9137.795441,72,1833794,77.21,4903.06
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9031.895450,68,1833862,77.15,4903.06
979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9194.568474,116,1833978,77.21,4903.06
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9165.907829,131,1834109,77.17,4903.06
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9038.477965,66,1834175,77.24,4903.06
982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9158.322799,132,1834307,77.20,4903.06
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111.554004,207,1834514,77.17,4903.06
984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9171.232183,138,1834652,77.13,4903.06
985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9276.158768,70,1834722,77.09,4909.40
986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9224.157217,72,1834794,77.11,4928.66
987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9145.619966,58,1834852,77.13,4930.16
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9165.967634,125,1834977,77.15,4930.16
989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9149.821437,132,1835109,77.13,4930.16
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9286.728679,64,1835173,77.05,4930.16
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9174.038830,72,1835245,76.99,4930.16
992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9293.297110,153,1835398,76.92,4930.16
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9391.242828,189,1835587,76.85,4930.25
994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9361.105597,133,1835720,76.78,4930.25
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9362.632245,72,1835792,76.81,4930.25
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9369.030950,57,1835849,76.75,4930.25
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9376.936803,74,1835923,76.68,4930.25
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9377.613238,123,1836046,76.62,4930.25
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9311.681291,126,1836172,76.65,4930.25
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9238.466804,69,1836241,76.58,4930.25
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9301.522387,137,1836378,76.51,4930.25
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9241.217957,202,1836580,76.45,4930.25
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9507.702726,74,1836654,76.47,4930.25
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9377.147540,72,1836726,76.41,4930.25
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9364.767627,73,1836799,76.34,4930.25
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304.266339,118,1836917,76.27,4930.25
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9354.098947,66,1836983,76.20,4930.25
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9306.330257,129,1837112,76.14,4930.25
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9303.514380,126,1837238,76.15,4930.25
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9248.326231,76,1837314,76.11,4930.25
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9326.660337,135,1837449,76.04,4930.25
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837449,75.97,4930.25
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837449,75.90,4930.25
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837449,75.83,4930.25
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11652.356927,404,1837853,75.76,4930.25
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.70,4930.25
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.72,4930.25
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.66,4930.25
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.59,4930.25
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.52,4930.25
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.45,4930.25
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1837853,75.38,4930.25
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12945.760161,725,1838578,75.31,4930.25
1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838578,75.25,4930.25
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838578,75.18,4930.25
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838578,75.11,4930.25
1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838578,75.04,4930.25
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838578,74.96,4930.25
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14182.333912,2,1838580,74.89,4930.25
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14367.256951,64,1838644,74.92,4930.25
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.85,4930.25
1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.79,4930.25
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.72,4930.25
1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.65,4930.25
1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.58,4930.25
1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.51,4930.25
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1838644,74.44,4930.25
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17456.732222,649,1839293,74.44,4930.25
1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11782.155858,454,1839747,74.43,4930.25
1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088.110414,519,1840266,74.38,4930.25
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.428874,454,1840720,74.42,4930.25
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.058260,455,1841175,74.36,4930.25
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2114.770774,520,1841695,74.31,4930.25
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186.370644,455,1842150,74.26,4911.06
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161.716776,455,1842605,74.20,4911.06
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248.960836,519,1843124,74.24,4911.06
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.507509,390,1843514,74.19,4911.06
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.276327,455,1843969,74.25,4911.06
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149.750009,520,1844489,74.23,4911.06
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.343929,260,1844749,74.22,4911.06
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471.941923,325,1845074,74.35,4911.06
1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.407304,780,1845854,74.37,4911.06
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.744394,324,1846178,74.34,4911.06
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.886410,325,1846503,74.32,4911.06
1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993.595455,324,1846827,74.29,4911.06
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252.417525,196,1847023,74.26,4911.06
1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3823.335323,260,1847283,74.31,4911.06
1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4097.659304,259,1847542,74.30,4911.06
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223.839518,196,1847738,74.33,4911.06
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4342.046952,259,1847997,74.27,4911.06
1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4159.918866,222,1848219,74.21,4911.06
1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4337.074067,259,1848478,74.15,4911.06
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4337.318300,131,1848609,74.09,4911.06
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4369.702165,217,1848826,74.06,4911.06
1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4456.660945,261,1849087,74.08,4911.06
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676.032801,198,1849285,74.02,4911.06
1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718.677080,195,1849480,73.96,4911.06
1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754.213536,194,1849674,73.90,4911.06
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4667.210155,318,1849992,73.84,4911.06
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758.343592,96,1850088,73.88,4911.06
1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764.212420,261,1850349,73.82,4911.06
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4881.021918,193,1850542,73.76,4911.06
1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4898.148645,198,1850740,73.76,4911.06
1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4834.632559,258,1850998,73.74,4911.06
1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4893.956653,91,1851089,73.68,4911.06
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069.728446,199,1851288,73.62,4911.06
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117.718719,194,1851482,73.56,4911.06
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5276.283718,130,1851612,73.51,4911.06
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5555.057267,128,1851740,73.53,4911.06
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601.687908,63,1851803,73.47,4911.06
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,1851803,73.40,4911.06
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8602.708970,66,1851869,73.34,4911.06
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8608.339567,133,1852002,73.28,4911.06
1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718.777897,152,1852154,73.22,4911.06
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905.833166,135,1852289,73.16,4911.06
