second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
28,376.001059,3916,957366,318.09,1920.55,22.797339,38662,968492,291.82,1893.51,27.437514,33492,1048983,348.74,428.43,32.751766,30229,919626,343.82,394.12,28.705488,33851,895391,353.95,385.82,262.290601,1898,51899,18.87,264.41,102.259844,9850,269902,201.35,385.78
29,0.000000,0,957366,317.34,1983.03,0.000000,0,968492,294.29,1933.79,32.739904,31631,1080614,351.11,444.24,31.002767,31722,951348,345.79,402.44,36.408141,27836,923227,356.29,395.94,305.232219,2437,54336,18.78,264.41,106.172773,9409,279311,203.16,406.53
30,65.301820,31214,988580,317.26,2026.67,96.195246,21832,990324,295.16,1935.69,28.122924,36671,1117285,352.84,458.01,31.116238,31649,982997,348.27,419.96,31.346126,31694,954921,358.73,406.34,330.007199,1472,55808,18.72,266.49,104.035340,8992,288303,204.80,430.67
31,630.674690,1568,990148,320.29,2040.06,0.000000,0,990324,294.04,2004.22,27.584472,35089,1152374,354.73,469.88,33.503713,29472,1012469,350.29,431.71,30.988707,31263,986184,361.21,415.77,251.184175,1049,56857,18.81,267.05,112.986682,9282,297585,205.82,448.93
32,864.329337,1057,991205,316.48,2043.22,144.684776,13950,1004274,301.01,2051.17,33.007486,30937,1183311,356.58,482.56,30.331951,32919,1045388,352.71,441.77,36.927542,27108,1013292,363.31,426.63,652.893898,976,57833,19.11,289.68,123.736521,8148,305733,206.04,457.90
33,637.727997,1863,993068,311.02,2042.38,23.688287,41958,1046232,303.09,2052.10,25.611716,38714,1222025,358.43,499.50,29.646319,33591,1078979,354.89,459.15,32.375903,30861,1044153,365.04,439.71,418.775234,1864,59697,19.39,307.71,102.385101,9106,314839,207.39,479.99
34,619.347724,1120,994188,304.34,2042.38,26.987609,36922,1083154,304.67,2052.11,27.196166,36595,1258620,360.80,505.61,34.498202,28722,1107701,356.85,468.35,31.945545,30844,1074997,367.06,449.11,373.852075,1939,61636,19.37,307.71,107.842783,9774,324613,208.61,504.65
35,671.777892,574,994762,297.13,2042.39,26.007385,38413,1121567,306.14,2052.11,27.588048,34831,1293451,362.82,520.96,30.180066,32764,1140465,358.75,478.20,32.915092,30407,1105404,368.84,462.71,299.653810,2101,63737,19.36,308.85,122.260172,8265,332878,208.88,515.85
36,2048.945213,437,995199,290.32,2042.39,38.077730,26087,1147654,307.82,2042.57,31.091320,33159,1326610,364.62,534.48,29.647855,33335,1173800,360.77,485.47,32.981551,27912,1133316,370.53,472.73,374.159026,1490,65227,19.26,309.93,99.806844,9379,342257,209.75,535.05
37,0.000000,0,995199,283.94,2043.00,25.829547,39088,1186742,306.82,2042.60,28.514887,34834,1361444,366.15,547.59,30.518283,32606,1206406,362.62,496.53,34.254111,31168,1164484,372.59,485.22,407.949503,1372,66599,19.24,310.54,111.821803,9460,351717,210.79,557.56
38,0.000000,0,995199,277.61,2043.00,82.560695,7245,1193987,307.91,2042.60,26.916103,36457,1397901,367.68,558.37,30.835889,31281,1237687,364.07,513.37,31.743237,31148,1195632,373.85,496.47,482.907656,824,67423,19.65,317.78,117.501005,8505,360222,211.40,570.86
39,0.000000,0,995199,271.77,2043.37,550.707002,2002,1195989,302.50,2042.60,27.884875,35629,1433530,368.92,570.90,31.582238,31599,1269286,365.57,524.36,31.934304,30580,1226212,375.40,502.08,427.617143,2030,69453,19.84,326.93,110.444184,9181,369403,212.45,590.16
40,0.000000,0,995199,266.57,2043.60,591.653717,2005,1197994,296.76,2042.60,28.241071,35205,1468735,370.39,580.79,31.788254,29755,1299041,367.13,537.44,33.836657,30488,1256700,376.71,517.37,300.539216,1636,71089,19.79,327.01,108.000194,9305,378708,212.74,615.28
41,0.000000,0,995199,262.68,2043.60,421.552653,1001,1198995,291.43,2042.60,26.905668,37167,1505902,371.88,592.43,31.300893,33728,1332769,368.73,546.17,32.634304,30513,1287213,378.34,528.79,406.628292,1670,72759,19.67,327.01,95.456768,8965,387673,213.71,621.36
42,0.000000,0,995199,258.39,2043.60,0.000000,0,1198995,285.92,2042.60,27.092961,36951,1542853,373.37,608.44,29.792751,32138,1364907,369.85,554.72,31.872487,30967,1318180,380.08,536.78,396.409360,2103,74862,19.53,327.09,111.838402,10094,397767,215.16,648.59
43,0.000000,0,995199,253.47,2043.58,2098.197526,1000,1199995,280.25,2042.60,27.990504,35423,1578276,374.79,624.08,31.546510,32285,1397192,371.31,568.24,34.249168,28713,1346893,381.35,550.75,302.056829,1635,76497,19.50,327.09,120.676349,8132,405899,215.51,659.84
44,0.000000,0,995199,248.63,2043.22,687.212125,4,1199999,274.82,2042.67,29.295564,34164,1612440,375.75,640.78,31.832988,31143,1428335,372.72,577.90,34.591464,28648,1375541,382.16,560.40,531.210438,732,77229,19.73,330.48,101.917357,9741,415640,216.21,679.74
45,0.000000,0,995199,244.91,2043.30,0.000000,0,1199999,269.60,2042.67,27.984948,35194,1647634,376.68,650.18,30.468322,31349,1459684,373.69,590.43,30.924557,31522,1407063,382.91,568.14,492.786981,993,78222,20.03,360.76,115.947351,8849,424489,216.75,693.04
46,0.000000,0,995199,241.27,2043.34,0.000000,0,1199999,264.50,2042.72,27.571825,35918,1683552,377.83,661.93,32.570055,31474,1491158,374.89,604.18,33.754104,29447,1436510,383.98,579.28,454.411620,1114,79336,19.90,361.87,104.708445,9771,434260,217.65,716.28
47,0.000000,0,995199,236.91,2043.34,0.000000,0,1199999,260.29,2042.82,27.275719,37065,1720617,379.20,670.73,29.946325,32069,1523227,375.77,615.64,36.921076,27051,1463561,385.16,593.23,261.752850,2423,81759,19.98,362.29,112.290176,8774,443034,218.26,744.66
48,0.000000,0,995199,233.07,2043.34,0.000000,0,1199999,256.51,2042.93,29.333843,34003,1754620,380.55,690.74,31.301516,31109,1554336,377.14,627.33,35.718601,27714,1491275,385.95,608.12,412.872937,1661,83420,19.88,362.29,104.092697,9537,452571,218.71,751.15
49,0.000000,0,995199,229.65,2043.34,0.000000,0,1199999,252.33,2042.86,29.286372,33868,1788488,381.29,702.02,28.339515,34075,1588411,378.40,637.29,30.163831,32730,1524005,386.47,615.23,336.314249,1786,85206,19.79,362.29,119.804556,8289,460860,219.30,779.52
50,0.000000,0,995199,226.43,2043.43,0.000000,0,1199999,248.04,2042.93,27.771546,35358,1823846,382.02,715.14,32.446662,33139,1621550,379.33,644.35,34.970588,28534,1552539,387.82,628.53,327.340638,1256,86462,19.91,363.22,102.286642,9650,470510,219.82,786.79
51,0.000000,0,995199,223.15,2043.62,0.000000,0,1199999,244.11,2043.01,30.018212,33652,1857498,383.30,726.55,31.346622,30760,1652310,380.09,661.42,29.852114,32065,1584604,388.97,638.62,941.495399,662,87124,20.18,366.82,120.135049,8384,478894,220.35,811.99
52,0.000000,0,995199,219.89,2043.62,0.000000,0,1199999,240.03,2042.92,29.989932,33147,1890645,384.13,735.22,33.915217,29271,1681581,381.02,669.58,33.125164,29135,1613739,389.37,649.59,372.220546,2782,89906,20.81,376.73,98.148361,10432,489326,220.54,823.46
53,0.000000,0,995199,217.05,2044.31,0.000000,0,1199999,236.69,2045.10,24.120160,40170,1930815,384.81,749.66,30.392344,33345,1714926,382.20,679.52,32.928844,32105,1645844,390.25,659.17,342.556241,1579,91485,20.92,391.30,135.703446,7327,496653,221.05,847.26
54,90.717228,7350,1002549,214.36,2044.99,0.000000,0,1199999,232.98,2045.88,29.648577,34409,1965224,385.63,761.66,31.681144,29840,1744766,383.04,696.76,33.357011,29804,1675648,391.56,673.31,449.342123,1437,92922,20.89,391.30,96.374573,10258,506911,221.49,860.64
55,24.103295,39401,1041950,215.25,2051.18,0.000000,0,1199999,229.54,2047.20,30.897377,32268,1997492,386.37,774.88,32.251618,31758,1776524,384.07,708.02,33.425074,29508,1705156,392.04,681.03,273.690482,2484,95406,21.35,417.33,124.965699,8084,514995,221.76,883.87
56,16.257395,40892,1082842,217.43,2042.98,0.000000,0,1199999,226.13,2047.94,23.620694,2508,,,,26.842391,37358,1813882,384.92,712.77,33.152275,30136,1735292,392.55,691.68,626.647463,100,95506,21.62,417.42,99.978610,9978,524973,222.38,827.99
57,16.092970,41317,1124159,219.16,2042.32,0.000000,0,1199999,222.72,2047.83,,,,,,32.641685,29930,1843812,385.62,728.65,29.457351,31350,1766642,394.11,706.32,407.262984,1154,96660,21.99,446.24,128.050712,7626,532599,222.33,700.19
58,16.156032,41234,1165393,220.65,2042.44,0.000000,0,1199999,219.39,2048.04,,,,,,31.245112,32241,1876053,386.36,733.87,30.689609,32952,1799594,394.52,717.19,271.149088,2060,98720,22.04,482.30,105.009708,9553,542152,223.04,729.12
59,16.287753,40875,1206268,222.19,2046.41,0.000000,0,1199999,216.80,2047.83,,,,,,33.647215,29705,1905758,387.02,749.66,33.157415,30679,1830273,395.33,725.93,292.248087,2183,100903,22.02,484.43,118.332992,8264,550416,223.15,735.20
60,20.169997,33002,1239270,223.56,2059.64,3351.844078,672,1200671,214.67,2052.80,,,,,,27.972111,30865,1936623,388.01,763.06,34.095897,28663,1858936,396.45,741.59,404.608906,1692,102595,22.25,486.32,100.390158,10332,560748,223.71,759.86
61,15.281017,19156,1258426,224.95,2086.93,18.898051,41429,1242100,213.01,2054.44,,,,,,30.035351,37411,1974034,388.93,765.58,31.111820,31106,1890042,396.77,753.14,288.293928,963,103558,22.60,515.20,96.412452,9467,570215,224.11,777.35
62,57.625978,17986,1276412,224.30,2086.40,16.574215,40224,1282324,214.98,2090.61,,,,,,35.952236,25966,,,,28.754829,36290,1926332,398.06,761.70,394.242141,1117,104675,22.89,550.71,119.541216,9335,579550,224.30,799.38
