2016-05-14 21:52:13.492548 I | etcdserver: compacted raft log at 390302
2016-05-14 21:52:13.841458 I | etcdserver: start to snapshot (applied: 406449, lastsnap: 395302)
2016-05-14 21:52:13.841484 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-000000000006378f.wal is created
2016-05-14 21:52:13.858266 I | etcdserver: saved snapshot at index 406449
2016-05-14 21:52:13.858493 I | etcdserver: compacted raft log at 401449
2016-05-14 21:52:14.150257 I | etcdserver: start to snapshot (applied: 416946, lastsnap: 406449)
2016-05-14 21:52:14.155465 I | etcdserver: saved snapshot at index 416946
2016-05-14 21:52:14.155645 I | etcdserver: compacted raft log at 411946
2016-05-14 21:52:14.489095 I | etcdserver: start to snapshot (applied: 427317, lastsnap: 416946)
2016-05-14 21:52:14.499376 I | etcdserver: saved snapshot at index 427317
2016-05-14 21:52:14.499518 I | etcdserver: compacted raft log at 422317
2016-05-14 21:52:14.781041 I | etcdserver: start to snapshot (applied: 437375, lastsnap: 427317)
2016-05-14 21:52:14.787585 I | etcdserver: saved snapshot at index 437375
2016-05-14 21:52:14.787774 I | etcdserver: compacted raft log at 432375
2016-05-14 21:52:15.120871 I | etcdserver: start to snapshot (applied: 448199, lastsnap: 437375)
2016-05-14 21:52:15.129809 I | etcdserver: saved snapshot at index 448199
2016-05-14 21:52:15.130349 I | etcdserver: compacted raft log at 443199
2016-05-14 21:52:15.404190 I | etcdserver: start to snapshot (applied: 458218, lastsnap: 448199)
2016-05-14 21:52:15.416068 I | etcdserver: saved snapshot at index 458218
2016-05-14 21:52:15.416270 I | etcdserver: compacted raft log at 453218
2016-05-14 21:52:15.709953 I | etcdserver: start to snapshot (applied: 468406, lastsnap: 458218)
2016-05-14 21:52:15.727525 I | etcdserver: saved snapshot at index 468406
2016-05-14 21:52:15.727742 I | etcdserver: compacted raft log at 463406
2016-05-14 21:52:16.064885 I | etcdserver: start to snapshot (applied: 478466, lastsnap: 468406)
2016-05-14 21:52:16.075633 I | etcdserver: saved snapshot at index 478466
2016-05-14 21:52:16.076061 I | etcdserver: compacted raft log at 473466
2016-05-14 21:52:16.342005 I | etcdserver: start to snapshot (applied: 488470, lastsnap: 478466)
2016-05-14 21:52:16.346534 I | etcdserver: saved snapshot at index 488470
2016-05-14 21:52:16.346688 I | etcdserver: compacted raft log at 483470
2016-05-14 21:52:16.640432 I | etcdserver: start to snapshot (applied: 498593, lastsnap: 488470)
2016-05-14 21:52:16.656020 I | etcdserver: saved snapshot at index 498593
2016-05-14 21:52:16.656187 I | etcdserver: compacted raft log at 493593
2016-05-14 21:52:17.026053 I | etcdserver: start to snapshot (applied: 509730, lastsnap: 498593)
2016-05-14 21:52:17.035825 I | etcdserver: saved snapshot at index 509730
2016-05-14 21:52:17.036035 I | etcdserver: compacted raft log at 504730
2016-05-14 21:52:17.332365 I | etcdserver: start to snapshot (applied: 519822, lastsnap: 509730)
2016-05-14 21:52:17.338230 I | etcdserver: saved snapshot at index 519822
2016-05-14 21:52:17.338371 I | etcdserver: compacted raft log at 514822
2016-05-14 21:52:17.637973 I | etcdserver: start to snapshot (applied: 529868, lastsnap: 519822)
2016-05-14 21:52:17.658593 I | etcdserver: saved snapshot at index 529868
2016-05-14 21:52:17.658801 I | etcdserver: compacted raft log at 524868
2016-05-14 21:52:17.912824 I | etcdserver: start to snapshot (applied: 539903, lastsnap: 529868)
2016-05-14 21:52:17.925326 I | etcdserver: saved snapshot at index 539903
2016-05-14 21:52:17.925682 I | etcdserver: compacted raft log at 534903
2016-05-14 21:52:18.239207 I | etcdserver: start to snapshot (applied: 549965, lastsnap: 539903)
2016-05-14 21:52:18.245646 I | etcdserver: saved snapshot at index 549965
2016-05-14 21:52:18.245788 I | etcdserver: compacted raft log at 544965
2016-05-14 21:52:18.603628 I | etcdserver: start to snapshot (applied: 560252, lastsnap: 549965)
2016-05-14 21:52:18.614539 I | etcdserver: saved snapshot at index 560252
2016-05-14 21:52:18.615027 I | etcdserver: compacted raft log at 555252
2016-05-14 21:52:18.844935 I | etcdserver: start to snapshot (applied: 570491, lastsnap: 560252)
2016-05-14 21:52:18.855046 I | etcdserver: saved snapshot at index 570491
2016-05-14 21:52:18.855228 I | etcdserver: compacted raft log at 565491
2016-05-14 21:52:19.199684 I | etcdserver: start to snapshot (applied: 580584, lastsnap: 570491)
2016-05-14 21:52:19.217077 I | etcdserver: saved snapshot at index 580584
2016-05-14 21:52:19.217354 I | etcdserver: compacted raft log at 575584
2016-05-14 21:52:19.521238 I | etcdserver: start to snapshot (applied: 590621, lastsnap: 580584)
2016-05-14 21:52:19.532228 I | etcdserver: saved snapshot at index 590621
2016-05-14 21:52:19.532405 I | etcdserver: compacted raft log at 585621
2016-05-14 21:52:19.815353 I | etcdserver: start to snapshot (applied: 600780, lastsnap: 590621)
2016-05-14 21:52:19.827392 I | etcdserver: saved snapshot at index 600780
2016-05-14 21:52:19.827576 I | etcdserver: compacted raft log at 595780
2016-05-14 21:52:20.139544 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-00000000000952f6.wal is created
2016-05-14 21:52:20.141480 I | etcdserver: start to snapshot (applied: 610940, lastsnap: 600780)
2016-05-14 21:52:20.151791 I | etcdserver: saved snapshot at index 610940
2016-05-14 21:52:20.156948 I | etcdserver: compacted raft log at 605940
2016-05-14 21:52:20.473961 I | etcdserver: start to snapshot (applied: 621108, lastsnap: 610940)
2016-05-14 21:52:20.483648 I | etcdserver: saved snapshot at index 621108
2016-05-14 21:52:20.483893 I | etcdserver: compacted raft log at 616108
2016-05-14 21:52:20.875034 I | etcdserver: start to snapshot (applied: 632661, lastsnap: 621108)
2016-05-14 21:52:20.881834 I | etcdserver: saved snapshot at index 632661
2016-05-14 21:52:20.882003 I | etcdserver: compacted raft log at 627661
2016-05-14 21:52:21.131388 I | etcdserver: start to snapshot (applied: 642729, lastsnap: 632661)
2016-05-14 21:52:21.137756 I | etcdserver: saved snapshot at index 642729
2016-05-14 21:52:21.137967 I | etcdserver: compacted raft log at 637729
2016-05-14 21:52:21.486655 I | etcdserver: start to snapshot (applied: 652935, lastsnap: 642729)
2016-05-14 21:52:21.504761 I | etcdserver: saved snapshot at index 652935
2016-05-14 21:52:21.505591 I | etcdserver: compacted raft log at 647935
2016-05-14 21:52:21.732315 I | etcdserver: start to snapshot (applied: 663099, lastsnap: 652935)
2016-05-14 21:52:21.747249 I | etcdserver: saved snapshot at index 663099
2016-05-14 21:52:21.747461 I | etcdserver: compacted raft log at 658099
2016-05-14 21:52:22.104822 I | etcdserver: start to snapshot (applied: 673424, lastsnap: 663099)
2016-05-14 21:52:22.125233 I | etcdserver: saved snapshot at index 673424
2016-05-14 21:52:22.125408 I | etcdserver: compacted raft log at 668424
2016-05-14 21:52:22.385151 I | etcdserver: start to snapshot (applied: 683453, lastsnap: 673424)
2016-05-14 21:52:22.392132 I | etcdserver: saved snapshot at index 683453
2016-05-14 21:52:22.392261 I | etcdserver: compacted raft log at 678453
2016-05-14 21:52:22.729236 I | etcdserver: start to snapshot (applied: 693542, lastsnap: 683453)
2016-05-14 21:52:22.741747 I | etcdserver: saved snapshot at index 693542
2016-05-14 21:52:22.741999 I | etcdserver: compacted raft log at 688542
2016-05-14 21:52:23.038541 I | etcdserver: start to snapshot (applied: 703735, lastsnap: 693542)
2016-05-14 21:52:23.048142 I | etcdserver: saved snapshot at index 703735
2016-05-14 21:52:23.048464 I | etcdserver: compacted raft log at 698735
2016-05-14 21:52:23.356682 I | etcdserver: start to snapshot (applied: 713741, lastsnap: 703735)
2016-05-14 21:52:23.377939 I | etcdserver: saved snapshot at index 713741
2016-05-14 21:52:23.378376 I | etcdserver: compacted raft log at 708741
2016-05-14 21:52:23.689655 I | etcdserver: start to snapshot (applied: 724047, lastsnap: 713741)
2016-05-14 21:52:23.697694 I | etcdserver: saved snapshot at index 724047
2016-05-14 21:52:23.697882 I | etcdserver: compacted raft log at 719047
2016-05-14 21:52:24.006424 I | etcdserver: start to snapshot (applied: 734343, lastsnap: 724047)
2016-05-14 21:52:24.016353 I | etcdserver: saved snapshot at index 734343
2016-05-14 21:52:24.017113 I | etcdserver: compacted raft log at 729343
2016-05-14 21:52:24.331754 I | etcdserver: start to snapshot (applied: 744510, lastsnap: 734343)
2016-05-14 21:52:24.348552 I | etcdserver: saved snapshot at index 744510
2016-05-14 21:52:24.348699 I | etcdserver: compacted raft log at 739510
2016-05-14 21:52:24.742210 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000002737.snap successfully
2016-05-14 21:52:24.742285 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000004e5a.snap successfully
2016-05-14 21:52:24.742333 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000076b2.snap successfully
2016-05-14 21:52:24.742388 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009f20.snap successfully
2016-05-14 21:52:24.742446 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c64d.snap successfully
2016-05-14 21:52:24.742513 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000ee71.snap successfully
2016-05-14 21:52:24.742563 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000115c3.snap successfully
2016-05-14 21:52:24.742607 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000013d33.snap successfully
2016-05-14 21:52:24.742650 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000164dc.snap successfully
2016-05-14 21:52:24.742704 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000018c37.snap successfully
2016-05-14 21:52:24.742749 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001b3a4.snap successfully
2016-05-14 21:52:24.742794 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001db23.snap successfully
2016-05-14 21:52:24.742848 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000020374.snap successfully
2016-05-14 21:52:24.742892 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000022ae8.snap successfully
2016-05-14 21:52:24.742936 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000025227.snap successfully
2016-05-14 21:52:24.742987 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000027a3e.snap successfully
2016-05-14 21:52:24.743054 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002a228.snap successfully
2016-05-14 21:52:24.743114 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002c93c.snap successfully
2016-05-14 21:52:24.743158 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002f1dc.snap successfully
2016-05-14 21:52:24.743213 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000318f6.snap successfully
2016-05-14 21:52:24.743268 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000340f5.snap successfully
2016-05-14 21:52:24.743313 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000368ef.snap successfully
2016-05-14 21:52:24.743365 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000039021.snap successfully
2016-05-14 21:52:24.743411 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003b7a0.snap successfully
2016-05-14 21:52:24.743456 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003df2a.snap successfully
2016-05-14 21:52:24.743512 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000406a7.snap successfully
2016-05-14 21:52:24.743559 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000042e34.snap successfully
2016-05-14 21:52:24.743673 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000455ea.snap successfully
2016-05-14 21:52:24.744368 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000047d12.snap successfully
2016-05-14 21:52:24.744424 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000004a48a.snap successfully
2016-05-14 21:52:24.744519 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000004cbf3.snap successfully
2016-05-14 21:52:24.744564 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000004f312.snap successfully
2016-05-14 21:52:24.744611 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000051a40.snap successfully
2016-05-14 21:52:24.744673 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000054183.snap successfully
2016-05-14 21:52:24.744721 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000056aea.snap successfully
2016-05-14 21:52:24.744790 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000005924c.snap successfully
2016-05-14 21:52:24.744836 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000005b9aa.snap successfully
2016-05-14 21:52:24.744916 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000005e0ee.snap successfully
2016-05-14 21:52:24.744963 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000060826.snap successfully
2016-05-14 21:52:24.745007 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000633b1.snap successfully
2016-05-14 21:52:24.745052 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000065cb2.snap successfully
2016-05-14 21:52:24.745095 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000068535.snap successfully
2016-05-14 21:52:24.745138 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000006ac7f.snap successfully
2016-05-14 21:52:24.745184 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000006d6c7.snap successfully
2016-05-14 21:52:24.745228 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000006fdea.snap successfully
2016-05-14 21:52:24.745271 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000725b6.snap successfully
2016-05-14 21:52:24.745317 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000074d02.snap successfully
