2016-05-14 22:26:50.983450 I | etcdserver: start to snapshot (applied: 802704, lastsnap: 792525)
2016-05-14 22:26:51.000359 I | etcdserver: saved snapshot at index 802704
2016-05-14 22:26:51.001651 I | etcdserver: compacted raft log at 797704
2016-05-14 22:26:51.312230 I | etcdserver: start to snapshot (applied: 813079, lastsnap: 802704)
2016-05-14 22:26:51.324243 I | etcdserver: saved snapshot at index 813079
2016-05-14 22:26:51.324416 I | etcdserver: compacted raft log at 808079
2016-05-14 22:26:51.557708 I | etcdserver: start to snapshot (applied: 823184, lastsnap: 813079)
2016-05-14 22:26:51.575026 I | etcdserver: saved snapshot at index 823184
2016-05-14 22:26:51.575296 I | etcdserver: compacted raft log at 818184
2016-05-14 22:26:51.852313 I | etcdserver: start to snapshot (applied: 833192, lastsnap: 823184)
2016-05-14 22:26:51.890879 I | etcdserver: saved snapshot at index 833192
2016-05-14 22:26:51.933234 I | etcdserver: compacted raft log at 828192
2016-05-14 22:26:52.132090 I | etcdserver: start to snapshot (applied: 843346, lastsnap: 833192)
2016-05-14 22:26:52.146973 I | etcdserver: saved snapshot at index 843346
2016-05-14 22:26:52.147165 I | etcdserver: compacted raft log at 838346
2016-05-14 22:26:52.425810 I | etcdserver: start to snapshot (applied: 853516, lastsnap: 843346)
2016-05-14 22:26:52.441060 I | etcdserver: saved snapshot at index 853516
2016-05-14 22:26:52.441273 I | etcdserver: compacted raft log at 848516
2016-05-14 22:26:52.686387 I | etcdserver: start to snapshot (applied: 863517, lastsnap: 853516)
2016-05-14 22:26:52.702364 I | etcdserver: saved snapshot at index 863517
2016-05-14 22:26:52.702612 I | etcdserver: compacted raft log at 858517
2016-05-14 22:26:53.013495 I | etcdserver: start to snapshot (applied: 873937, lastsnap: 863517)
2016-05-14 22:26:53.027807 I | etcdserver: saved snapshot at index 873937
2016-05-14 22:26:53.028000 I | etcdserver: compacted raft log at 868937
2016-05-14 22:26:53.308298 I | etcdserver: start to snapshot (applied: 883941, lastsnap: 873937)
2016-05-14 22:26:53.314711 I | etcdserver: saved snapshot at index 883941
2016-05-14 22:26:53.314971 I | etcdserver: compacted raft log at 878941
