second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
83,31.631337,35388,1604862,213.92,2258.15,,,,,,311.043856,2181,132637,26.23,690.08
84,28.670817,36776,1641638,215.89,2308.90,,,,,,252.053568,2057,134694,26.24,690.08
85,24.668362,40568,1682206,217.65,2346.85,,,,,,433.607871,1002,135696,26.21,690.60
86,27.769947,3366,1685572,219.09,2393.94,,,,,,0.000000,0,135696,26.35,690.77
87,0.000000,0,1685572,222.69,2432.82,,,,,,163.191760,938,136634,26.68,691.36
88,108.513633,26773,1712345,223.97,2465.01,,,,,,0.000000,0,136634,27.09,701.92
89,27.058841,36929,1749274,225.19,2463.96,,,,,,78.593969,1143,137777,27.10,702.01
90,24.793861,40493,1789767,227.19,2471.66,,,,,,300.469440,2671,140448,26.98,702.01
91,23.063251,42703,1832470,228.94,2468.49,,,,,,276.364169,2243,142691,26.92,702.18
92,28.716696,35081,1867551,230.58,2450.96,,,,,,325.655165,1975,144666,26.86,702.18
93,46.382528,21621,1889172,231.52,2441.64,,,,,,0.000000,0,144666,27.22,702.35
94,37.514968,12809,1901981,231.07,2442.08,,,,,,633.921028,568,145234,27.59,769.41
95,641.899267,2002,1903983,229.35,2442.08,,,,,,375.784053,1214,146448,27.77,769.49
96,0.000000,0,1903983,227.34,2442.08,,,,,,267.770120,2157,148605,27.96,769.49
97,1630.679755,1000,1904983,225.27,2442.08,,,,,,477.358222,1046,149651,27.89,770.23
98,0.000000,0,1904983,223.19,2442.08,,,,,,446.870696,1235,150886,27.78,770.23
99,1676.494842,6,1904989,221.10,2442.08,,,,,,355.730145,978,151864,27.76,770.23
100,0.000000,0,1904989,219.00,2442.08,,,,,,0.000000,0,151864,27.87,771.62
101,0.000000,0,1904989,217.27,2442.08,,,,,,222.429540,1136,153000,28.18,771.62
102,0.000000,0,1904989,215.68,2442.09,,,,,,359.866144,109,153109,28.54,773.10
103,0.000000,0,1904989,213.94,2442.09,,,,,,224.516206,557,153666,28.71,773.10
104,0.000000,0,1904989,212.06,2442.09,,,,,,319.049346,1785,155451,28.60,774.47
105,0.000000,0,1904989,210.26,2442.09,,,,,,318.786857,2037,157488,28.51,774.47
106,0.000000,0,1904989,208.43,2442.09,,,,,,395.870862,1369,158857,28.43,774.47
107,0.000000,0,1904989,206.94,2441.86,,,,,,365.244626,1891,160748,28.32,774.47
108,0.000000,0,1904989,205.45,2431.84,,,,,,345.780317,262,161010,28.57,774.60
109,0.000000,0,1904989,204.36,2422.11,,,,,,0.000000,0,161010,28.91,777.42
110,0.000000,0,1904989,203.42,2422.23,,,,,,515.538558,333,161343,29.02,777.50
111,0.000000,0,1904989,202.63,2422.26,,,,,,106.407841,31,161374,29.09,777.67
112,0.000000,0,1904989,201.59,2422.27,,,,,,160.729128,1716,163090,29.10,777.67
113,0.000000,0,1904989,201.23,2543.41,,,,,,345.716214,2069,165159,29.02,777.67
114,0.000000,0,1904989,201.80,2543.50,,,,,,381.283465,2070,167229,28.97,777.67
115,0.000000,0,1904989,202.29,2590.20,,,,,,378.171738,1534,168763,28.85,777.67
116,0.000000,0,1904989,202.58,2590.20,,,,,,0.000000,0,168763,28.91,777.80
117,0.000000,0,1904989,201.40,2590.97,,,,,,96.526337,884,169647,29.07,806.03
118,0.000000,0,1904989,200.71,2621.03,,,,,,137.076433,285,169932,29.34,806.36
119,0.000000,0,1904989,199.97,2633.07,,,,,,192.176676,242,170174,29.63,888.55
120,0.000000,0,1904989,199.27,2697.77,,,,,,324.732764,1788,171962,29.69,928.49
121,0.000000,0,1904989,198.46,2717.21,,,,,,287.474043,1484,173446,29.59,928.49
122,0.000000,0,1904989,198.18,2456.13,,,,,,289.353151,2425,175871,29.52,928.67
123,0.000000,0,1904989,197.62,2457.00,,,,,,327.761780,1380,177251,29.46,928.67
124,0.000000,0,1904989,196.76,2459.10,,,,,,0.000000,0,177251,29.54,945.14
125,0.000000,0,1904989,196.21,2461.23,,,,,,123.149199,344,177595,29.69,1025.09
126,0.000000,0,1904989,194.98,2461.23,,,,,,141.653678,157,177752,29.79,1041.48
127,0.000000,0,1904989,193.66,2461.23,,,,,,181.363101,471,178223,29.97,1107.19
128,0.000000,0,1904989,192.51,2461.23,,,,,,68.955838,736,178959,30.04,1140.83
129,0.000000,0,1904989,191.37,2459.19,,,,,,242.759091,1343,180302,30.12,1170.44
130,0.000000,0,1904989,190.34,2459.19,,,,,,414.494751,2407,182709,30.11,1178.00
131,0.000000,0,1904989,189.38,2460.24,,,,,,451.312785,1293,184002,30.01,1178.03
132,0.000000,0,1904989,189.18,2460.87,,,,,,307.650245,1768,185770,29.96,1178.03
133,0.000000,0,1904989,189.82,2459.78,,,,,,473.134623,837,186607,29.98,1185.11
134,64.022835,19056,1924045,190.04,2468.21,,,,,,0.000000,0,186607,30.25,1185.11
135,32.546075,28600,1952645,191.43,2485.38,,,,,,709.097875,333,186940,30.53,1239.77
136,52.297417,17631,1970276,192.28,2544.74,,,,,,0.000000,0,186940,30.40,1239.77
137,1007.541496,20,,,,,,,,,224.232776,738,187678,30.49,1239.77
138,,,,,,,,,,,316.232272,3063,190741,30.62,1239.77
139,,,,,,,,,,,438.204338,1348,192089,30.57,1239.77
140,,,,,,,,,,,386.204820,1169,193258,30.47,1239.77
141,,,,,,,,,,,268.034379,1950,195208,30.45,1239.77
142,,,,,,,,,,,0.000000,0,195208,30.57,1239.77
143,,,,,,,,,,,142.100261,250,195458,30.74,1239.77
144,,,,,,,,,,,454.359707,333,195791,30.94,1239.92
145,,,,,,,,,,,0.000000,0,195791,31.06,1272.98
146,,,,,,,,,,,167.014477,409,196200,31.16,1272.98
147,,,,,,,,,,,305.910710,2592,198792,31.30,1272.98
148,,,,,,,,,,,350.161733,1935,200727,31.31,1272.98
149,,,,,,,,,,,379.666661,1500,202227,31.23,1272.98
150,,,,,,,,,,,310.640309,995,203222,31.26,1272.98
151,,,,,,,,,,,0.000000,0,203222,31.31,1273.07
152,,,,,,,,,,,0.000000,0,203222,31.32,1273.07
