second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
22,24.292438,42154,720767,271.87,1786.52,25.163116,39671,802467,281.01,1833.10,19.391770,48421,786800,251.48,1789.34
23,23.111238,42599,763366,274.78,1790.09,22.984162,43358,845825,285.05,1861.53,24.500590,43010,829810,255.16,1815.29
24,25.774274,36823,800189,278.36,1823.34,21.747455,45794,891619,288.15,1861.53,21.725389,46112,875922,259.53,1860.80
25,25.969384,40735,840924,280.79,1853.84,23.005425,43511,935130,291.13,1895.76,26.899096,36958,912880,261.99,1860.78
26,24.406705,40110,881034,282.85,1853.84,19.130692,45317,980447,292.82,1928.36,21.084884,47500,960380,265.30,1887.72
27,24.286102,41706,922740,285.90,1891.63,0.000000,0,980447,292.13,1938.14,22.252081,28951,989331,269.31,1911.60
28,22.435878,44673,967413,288.52,1891.63,128.002632,16651,997098,290.48,1938.41,0.000000,0,989331,270.51,1955.20
29,24.512290,1954,969367,289.96,1933.12,21.243518,41336,1038434,292.53,1984.85,73.318064,32158,1021489,269.28,1955.72
30,161.668589,12074,981441,288.36,1933.66,12.149885,923,1039357,299.65,2042.59,19.415067,22199,1043688,270.78,1967.01
31,26.844661,3366,984807,293.50,2018.00,122.768666,16691,1056048,303.45,2043.66,0.000000,0,1043688,277.41,2051.84
32,139.216964,9163,993970,299.01,2041.45,22.065408,47685,1103733,302.42,2043.77,72.893174,35190,1078878,279.71,2052.78
33,37.883306,42089,1036059,299.62,2042.00,22.179089,43481,1147214,304.02,2043.84,20.260790,49276,1128154,280.55,2052.87
34,29.640081,34958,1071017,300.25,2043.01,24.053441,42855,1190069,306.58,2043.41,25.612669,38051,1166205,281.35,2052.87
35,23.522276,42476,1113493,302.28,2037.74,22.249994,44995,1235064,307.98,2043.41,21.228712,47921,1214126,282.83,2053.10
36,26.044816,38111,1151604,303.92,2037.74,19.713174,50525,1285589,310.81,2054.38,22.316548,44838,1258964,284.08,2053.10
37,28.487887,35099,1186703,304.78,2037.74,21.331559,46798,1332387,312.39,2054.38,24.659420,40553,1299517,285.01,2060.54
38,40.321679,24835,1211538,304.59,2043.79,20.846603,47605,1379992,314.93,2103.38,24.370083,40646,1340163,286.35,2072.62
39,38.335554,26095,1237633,303.55,2052.67,22.130530,45142,1425134,316.15,2132.74,21.755973,46256,1386419,286.88,2090.42
40,22.988198,43359,1280992,303.58,2052.67,24.821658,39608,1464742,316.01,2130.39,26.762262,37169,1423588,287.66,2088.25
41,256.893071,2017,1283009,299.25,2052.67,20.802932,48689,1513431,317.82,2141.04,25.771435,38731,1462319,288.64,2147.31
42,643.859903,1975,1284984,294.67,2071.53,24.196852,41300,1554731,318.82,2141.04,24.469144,40758,1503077,289.26,2155.81
43,730.960734,1025,1286009,289.77,2071.53,29.018668,31279,1586010,320.42,2190.68,23.433849,37578,1540655,291.08,2158.69
44,558.796983,1977,1287986,285.32,2071.53,14.285735,11944,1597954,321.34,2215.93,29.834755,37515,1578170,292.38,2184.84
45,0.000000,0,1287986,280.39,2071.53,0.000000,0,1597954,325.87,2296.07,23.538177,40508,1618678,292.97,2184.84
46,2442.732955,23,1288009,276.14,2071.54,92.276280,31060,1629014,328.80,2340.08,14.438967,9608,1628286,295.85,2282.14
47,0.000000,0,1288009,271.83,2071.56,20.487662,50025,1679039,328.42,2341.77,0.000000,0,1628286,301.02,2325.45
48,0.000000,0,1288009,267.10,2071.28,23.153342,44454,1723493,330.21,2341.77,109.854153,26180,1654466,302.09,2354.23
49,0.000000,0,1288009,263.45,2072.35,25.077607,39814,1763307,331.64,2345.45,21.063460,48887,1703353,302.54,2358.19
50,0.000000,0,1288009,260.41,2073.38,23.854545,41724,1805031,332.29,2346.53,23.854091,41922,1745275,304.23,2360.65
51,0.000000,0,1288009,256.84,2073.45,24.307783,40951,1845982,333.45,2341.32,24.969920,39800,1785075,305.61,2359.33
52,0.000000,0,1288009,252.96,2075.50,26.668463,7254,1853236,333.63,2342.97,24.647787,37892,1822967,306.11,2359.31
53,0.000000,0,1288009,249.70,2095.98,0.000000,0,1853236,333.16,2379.86,29.800724,35585,1858552,306.84,2355.04
54,0.000000,0,1288009,246.87,2093.00,276.226178,10169,1863405,332.61,2406.02,20.648083,36127,1894679,307.52,2358.03
55,0.000000,0,1288009,243.84,2093.49,29.853984,33382,1896787,330.05,2406.76,0.000000,0,1894679,307.50,2390.71
56,0.000000,0,1288009,242.44,2093.78,25.235152,39721,1936508,330.64,2421.07,0.000000,0,1894679,307.09,2416.80
57,0.000000,0,1288009,240.56,2094.02,27.173864,36758,1973266,331.49,2438.17,126.255976,25751,1920430,305.06,2417.28
58,0.000000,0,1288009,237.46,2092.18,29.151699,26287,,,,27.350509,36619,1957049,305.16,2425.26
59,0.000000,0,1288009,234.49,2091.79,,,,,,25.700443,38832,1995881,305.29,2434.05
60,0.000000,0,1288009,233.10,2124.98,,,,,,21.001215,3516,,,
61,0.000000,0,1288009,230.24,2124.98,,,,,,,,,,
62,0.000000,0,1288009,228.11,2126.02,,,,,,,,,,
63,0.000000,0,1288009,226.71,2129.36,,,,,,,,,,
64,0.000000,0,1288009,225.87,2167.36,,,,,,,,,,
65,63.750949,12570,1300579,224.61,2176.84,,,,,,,,,,
66,33.124093,27509,1328088,225.47,2193.59,,,,,,,,,,
67,16.721288,42138,1370226,227.33,2195.42,,,,,,,,,,
68,20.940340,32032,1402258,229.45,2220.45,,,,,,,,,,
69,17.790509,37276,1439534,231.29,2230.13,,,,,,,,,,
70,17.455981,38050,1477584,235.24,2233.67,,,,,,,,,,
71,45.344653,14101,1491685,239.59,2257.23,,,,,,,,,,
72,147.575290,11001,1502686,239.26,2258.11,,,,,,,,,,
73,27.538297,36255,1538941,239.46,2274.98,,,,,,,,,,
74,31.665617,19071,1558012,241.47,2284.69,,,,,,,,,,
75,0.000000,0,1558012,240.18,2283.64,,,,,,,,,,
76,1644.804719,996,1559008,238.26,2285.77,,,,,,,,,,
77,0.000000,0,1559008,236.22,2294.04,,,,,,,,,,
78,0.000000,0,1559008,233.83,2290.75,,,,,,,,,,
79,0.000000,0,1559008,231.48,2290.75,,,,,,,,,,
80,0.000000,0,1559008,228.67,2290.75,,,,,,,,,,
81,51.437264,11392,1570400,226.61,2292.33,,,,,,,,,,
82,45.819374,9743,1580143,226.16,2293.04,,,,,,,,,,
83,1079.110411,259,1580402,225.29,2295.37,,,,,,,,,,
84,0.000000,0,1580402,223.29,2295.37,,,,,,,,,,
85,0.000000,0,1580402,221.25,2295.37,,,,,,,,,,
86,0.000000,0,1580402,219.18,2295.37,,,,,,,,,,
87,0.000000,0,1580402,216.90,2295.37,,,,,,,,,,
88,0.000000,0,1580402,214.66,2294.82,,,,,,,,,,
89,0.000000,0,1580402,212.46,2294.88,,,,,,,,,,
90,138.078525,10768,1591170,210.30,2294.88,,,,,,,,,,
91,35.836890,28738,1619908,210.93,2303.32,,,,,,,,,,
92,27.055705,38593,1658501,212.34,2347.10,,,,,,,,,,
93,27.340115,37382,1695883,213.76,2384.04,,,,,,,,,,
94,28.027435,35346,1731229,215.12,2399.74,,,,,,,,,,
95,27.808656,34388,1765617,216.44,2414.30,,,,,,,,,,
96,33.013161,31828,1797445,217.37,2420.32,,,,,,,,,,
97,27.358504,12569,1810014,218.06,2430.07,,,,,,,,,,
98,0.000000,0,1810014,217.02,2443.55,,,,,,,,,,
99,0.000000,0,1810014,215.26,2443.55,,,,,,,,,,
100,0.000000,0,1810014,213.33,2443.77,,,,,,,,,,
101,0.000000,0,1810014,211.51,2443.99,,,,,,,,,,
102,0.000000,0,1810014,209.57,2443.99,,,,,,,,,,
103,0.000000,0,1810014,207.79,2443.99,,,,,,,,,,
104,0.000000,0,1810014,206.26,2444.02,,,,,,,,,,
105,0.000000,0,1810014,204.82,2444.02,,,,,,,,,,
106,0.000000,0,1810014,202.94,2444.02,,,,,,,,,,
107,0.000000,0,1810014,201.29,2444.02,,,,,,,,,,
108,0.000000,0,1810014,199.73,2444.02,,,,,,,,,,
109,0.000000,0,1810014,198.13,2444.02,,,,,,,,,,
110,0.000000,0,1810014,196.39,2444.03,,,,,,,,,,
111,0.000000,0,1810014,194.48,2444.03,,,,,,,,,,
112,0.000000,0,1810014,192.87,2444.03,,,,,,,,,,
113,0.000000,0,1810014,191.32,2444.03,,,,,,,,,,
114,0.000000,0,1810014,189.92,2444.03,,,,,,,,,,
115,0.000000,0,1810014,188.48,2444.03,,,,,,,,,,
116,0.000000,0,1810014,186.86,2444.03,,,,,,,,,,
117,0.000000,0,1810014,185.23,2444.03,,,,,,,,,,
118,0.000000,0,1810014,183.65,2444.03,,,,,,,,,,
119,0.000000,0,1810014,182.14,2444.03,,,,,,,,,,
120,0.000000,0,1810014,180.86,2444.20,,,,,,,,,,
121,0.000000,0,1810014,179.61,2444.37,,,,,,,,,,
122,0.000000,0,1810014,178.24,2444.37,,,,,,,,,,
123,0.000000,0,1810014,177.03,2444.37,,,,,,,,,,
124,0.000000,0,1810014,175.81,2444.37,,,,,,,,,,
125,0.000000,0,1810014,174.53,2444.37,,,,,,,,,,
126,0.000000,0,1810014,173.39,2454.46,,,,,,,,,,
127,0.000000,0,1810014,172.41,2464.54,,,,,,,,,,
128,0.000000,0,1810014,171.33,2464.54,,,,,,,,,,
129,0.000000,0,1810014,170.10,2464.54,,,,,,,,,,
130,0.000000,0,1810014,168.87,2464.54,,,,,,,,,,
131,0.000000,0,1810014,167.68,2464.54,,,,,,,,,,
132,0.000000,0,1810014,166.79,2462.28,,,,,,,,,,
133,0.000000,0,1810014,165.89,2460.01,,,,,,,,,,
134,0.000000,0,1810014,165.02,2453.89,,,,,,,,,,
135,0.000000,0,1810014,164.15,2451.96,,,,,,,,,,
136,0.000000,0,1810014,163.32,2438.96,,,,,,,,,,
137,0.000000,0,1810014,162.42,2432.64,,,,,,,,,,
138,0.000000,0,1810014,161.65,2409.53,,,,,,,,,,
139,0.000000,0,1810014,160.90,2397.39,,,,,,,,,,
140,0.000000,0,1810014,160.08,2389.74,,,,,,,,,,
141,0.000000,0,1810014,159.09,2377.94,,,,,,,,,,
142,0.000000,0,1810014,158.32,2372.13,,,,,,,,,,
143,0.000000,0,1810014,157.88,2362.94,,,,,,,,,,
144,0.000000,0,1810014,157.08,2357.47,,,,,,,,,,
145,0.000000,0,1810014,156.34,2348.27,,,,,,,,,,
146,0.000000,0,1810014,155.79,2351.80,,,,,,,,,,
147,0.000000,0,1810014,155.10,2343.14,,,,,,,,,,
148,0.000000,0,1810014,154.61,2343.44,,,,,,,,,,
149,0.000000,0,1810014,154.10,2339.80,,,,,,,,,,
150,0.000000,0,1810014,153.48,2329.45,,,,,,,,,,
151,0.000000,0,1810014,152.86,2327.21,,,,,,,,,,
152,0.000000,0,1810014,152.11,2322.93,,,,,,,,,,
153,0.000000,0,1810014,151.43,2315.75,,,,,,,,,,
154,0.000000,0,1810014,150.70,2315.75,,,,,,,,,,
155,0.000000,0,1810014,150.03,2312.96,,,,,,,,,,
156,98.314958,20414,1830428,149.69,2313.70,,,,,,,,,,
157,55.680521,4214,1834642,149.88,2314.45,,,,,,,,,,
158,0.000000,0,1834642,151.87,2508.93,,,,,,,,,,
159,181.647265,9590,1844232,153.56,2428.42,,,,,,,,,,
160,13.660085,18069,1862301,153.99,2428.08,,,,,,,,,,
161,0.000000,0,1862301,155.49,2546.96,,,,,,,,,,
162,141.573014,12415,1874716,157.05,2650.15,,,,,,,,,,
163,18.777767,30586,1905302,157.40,2650.78,,,,,,,,,,
164,19.094826,39472,1944774,158.68,2669.87,,,,,,,,,,
165,24.768340,14081,,,,,,,,,,,,,
