second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
31,99.316159,22816,986317,293.12,1932.19,35.683567,43609,1134973,312.84,2048.47,1689.939776,446,1044940,281.02,2032.61
32,18.374696,13016,999333,291.61,1935.38,26.193627,38365,1173338,313.48,2044.66,43.361129,44342,1089282,285.25,2044.24
33,213.323239,5598,1004931,297.83,2042.08,24.635681,40380,1213718,313.97,2044.66,21.794043,45823,1135105,286.23,2044.80
34,42.367387,36208,1041139,300.04,2043.14,25.031662,39774,1253492,315.97,2055.04,23.470913,42388,1177493,287.35,2044.82
35,23.074069,44600,1085739,301.90,2043.58,23.526502,42580,1296072,318.02,2055.20,20.744955,47828,1225321,288.97,2045.13
36,27.054445,36880,1122619,304.16,2043.58,25.509721,39117,1335189,320.02,2104.61,28.040388,35890,1261211,290.27,2045.13
37,25.648994,38924,1161543,305.99,2035.43,26.378148,37797,1372986,321.53,2104.61,23.520403,42482,1303693,291.29,2071.80
38,25.243489,39487,1201030,307.75,2035.43,28.528693,35000,1407986,322.14,2117.16,22.922227,43523,1347216,293.30,2080.00
39,45.912951,21815,1222845,309.21,2044.64,25.544842,39200,1447186,323.37,2117.23,22.366291,44035,1391251,294.77,2080.00
40,25.074007,39774,1262619,307.93,2044.90,24.238174,40674,1487860,324.14,2144.55,30.482614,33036,1424287,296.45,2108.21
41,29.291176,34126,1296745,309.04,2046.02,28.820635,34807,1522667,323.07,2144.91,22.584844,44362,1468649,297.44,2142.16
42,29.837341,29661,1326406,310.06,2064.83,27.684748,28191,1550858,323.41,2186.96,26.438835,37849,1506498,298.27,2142.16
