second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
34,22.888392,43273,1127066,314.76,2040.01,24.777818,40384,1102502,293.29,2052.45,21.355422,46808,1229215,296.48,2048.89
35,57.302391,13445,1140511,313.85,2040.77,25.391360,39343,1141845,294.27,2052.45,29.091500,34272,1263487,296.71,2054.61
36,30.235350,40771,1181282,312.47,2040.77,27.161314,36832,1178677,295.02,2051.40,23.505517,42327,1305814,297.93,2054.61
37,59.264601,13943,1195225,309.78,2040.77,21.215635,46643,1225320,296.06,2051.40,31.103155,32204,1338018,299.55,2110.81
38,51.939138,22621,1217846,307.48,2041.10,24.615673,40659,1265979,296.77,2058.56,22.921060,43775,1381793,300.62,2110.81
39,24.035862,32039,1249885,309.26,2079.36,24.004275,36842,1302821,298.79,2067.79,25.200846,39428,1421221,302.77,2119.82
40,566.499195,1716,1251601,304.04,2079.36,24.077881,46312,1349133,300.46,2090.83,22.792579,43729,1464950,305.26,2144.66
41,624.562217,1284,1252885,298.90,2079.36,24.697350,36806,1385939,301.74,2090.83,20.162321,44955,1509905,307.06,2143.83
42,617.541098,1000,1253885,293.69,2079.36,23.393523,46552,1432491,303.76,2144.83,15.778328,42134,1552039,310.64,2183.73
43,0.000000,0,1253885,288.15,2079.36,23.934782,41883,1474374,305.03,2144.95,49.552096,28739,1580778,313.25,2221.20
44,2133.516846,942,1254827,282.66,2079.36,21.009927,43604,1517978,307.05,2147.17,23.308500,42926,1623704,313.18,2251.67
45,0.000000,0,1254827,277.16,2080.09,26.305221,41067,1559045,307.44,2151.50,20.318642,3342,1627046,313.35,2316.41
46,0.000000,0,1254827,272.55,2080.46,30.708471,28689,1587734,307.36,2151.51,0.000000,0,1627046,312.45,2338.34
47,0.000000,0,1254827,268.76,2081.27,46.860585,17627,1605361,309.32,2259.65,75.458275,38824,1665870,310.15,2338.97
48,0.000000,0,1254827,264.43,2081.34,14.542953,30638,1635999,312.87,2324.07,25.950683,38437,1704307,309.99,2327.45
49,0.000000,0,1254827,260.69,2081.23,2061.693694,201,1636200,313.59,2338.87,16.907860,40067,1744374,311.78,2366.41
50,0.000000,0,1254827,257.02,2081.15,276.202499,5627,1641827,311.69,2364.52,14.773543,44733,1789107,315.28,2391.03
51,0.000000,0,1254827,253.23,2081.26,30.190910,43263,1685090,313.22,2402.36,37.424167,43681,1832788,316.75,2391.81
52,0.000000,0,1254827,249.27,2081.27,18.469045,36191,1721281,316.76,2424.24,23.790224,42791,1875579,317.16,2394.58
53,0.000000,0,1254827,245.13,2081.28,40.681950,32806,1754087,319.25,2414.95,22.968485,43298,1918877,317.26,2390.54
54,0.000000,0,1254827,241.10,2081.27,54.705370,20471,1774558,317.05,2415.31,25.365374,39395,1958272,318.00,2400.45
55,0.000000,0,1254827,237.34,2080.99,22.928422,43677,1818235,318.69,2401.87,21.306021,41101,,,
56,0.000000,0,1254827,234.18,2081.01,24.072072,37991,1856226,319.41,2401.96,,,,,
57,0.000000,0,1254827,231.00,2081.03,28.876047,33524,1889750,319.68,2396.54,,,,,
58,0.000000,0,1254827,227.31,2081.02,27.284217,40681,1930431,319.33,2393.11,,,,,
59,0.000000,0,1254827,223.61,2081.01,24.192248,41396,1971827,320.17,2393.37,,,,,
60,949.262578,1112,1255939,220.29,2081.01,21.921569,27514,,,,,,,,
61,18.845190,26457,1282396,220.25,2092.88,,,,,,,,,,
62,16.392331,28554,1310950,221.62,2113.97,,,,,,,,,,
63,16.196780,38601,1349551,223.41,2123.91,,,,,,,,,,
64,20.661337,35636,1385187,225.51,2137.72,,,,,,,,,,
65,15.716248,40195,1425382,227.66,2149.64,,,,,,,,,,
66,16.776134,44835,1470217,229.41,2176.28,,,,,,,,,,
67,18.998926,34842,1505059,231.12,2176.14,,,,,,,,,,
68,16.574943,40344,1545403,232.76,2178.05,,,,,,,,,,
69,14.494630,15352,1560755,233.23,2172.46,,,,,,,,,,
70,1353.863317,37,1560792,231.55,2175.71,,,,,,,,,,
71,0.000000,0,1560792,229.58,2174.69,,,,,,,,,,
72,0.000000,0,1560792,228.03,2174.72,,,,,,,,,,
73,0.000000,0,1560792,226.85,2215.69,,,,,,,,,,
74,0.000000,0,1560792,224.95,2171.26,,,,,,,,,,
75,0.000000,0,1560792,222.68,2171.26,,,,,,,,,,
76,0.000000,0,1560792,221.64,2190.12,,,,,,,,,,
77,0.000000,0,1560792,222.37,2196.33,,,,,,,,,,
78,0.000000,0,1560792,220.63,2203.23,,,,,,,,,,
79,0.000000,0,1560792,219.21,2208.01,,,,,,,,,,
80,0.000000,0,1560792,217.90,2294.20,,,,,,,,,,
81,0.000000,0,1560792,217.75,2358.50,,,,,,,,,,
82,0.000000,0,1560792,216.57,2358.94,,,,,,,,,,
83,0.000000,0,1560792,215.02,2358.94,,,,,,,,,,
84,587.060217,4484,1565276,213.09,2358.94,,,,,,,,,,
85,22.545517,29721,1594997,212.54,2358.94,,,,,,,,,,
86,16.324902,39347,1634344,213.17,2371.50,,,,,,,,,,
87,19.987825,23017,1657361,215.59,2372.60,,,,,,,,,,
88,0.000000,0,1657361,216.70,2396.83,,,,,,,,,,
89,1915.812492,811,1658172,218.17,2423.26,,,,,,,,,,
90,41.437950,45256,1703428,218.80,2425.84,,,,,,,,,,
91,29.060256,36991,1740419,221.40,2439.66,,,,,,,,,,
92,27.432075,34824,1775243,223.51,2440.12,,,,,,,,,,
93,28.971821,31289,1806532,225.60,2451.95,,,,,,,,,,
94,694.060511,714,1807246,225.12,2448.96,,,,,,,,,,
95,0.000000,0,1807246,223.50,2448.96,,,,,,,,,,
96,0.000000,0,1807246,221.67,2448.96,,,,,,,,,,
97,0.000000,0,1807246,219.96,2448.96,,,,,,,,,,
98,0.000000,0,1807246,217.99,2446.75,,,,,,,,,,
99,0.000000,0,1807246,215.90,2446.75,,,,,,,,,,
100,0.000000,0,1807246,213.95,2446.75,,,,,,,,,,
101,0.000000,0,1807246,212.33,2446.83,,,,,,,,,,
102,0.000000,0,1807246,210.70,2446.83,,,,,,,,,,
103,0.000000,0,1807246,208.87,2446.83,,,,,,,,,,
104,0.000000,0,1807246,207.00,2446.83,,,,,,,,,,
105,0.000000,0,1807246,205.17,2446.83,,,,,,,,,,
106,0.000000,0,1807246,203.43,2446.83,,,,,,,,,,
107,0.000000,0,1807246,201.60,2446.83,,,,,,,,,,
108,0.000000,0,1807246,199.90,2446.83,,,,,,,,,,
109,223.878201,6026,1813272,198.52,2446.83,,,,,,,,,,
110,0.000000,0,1813272,199.14,2484.05,,,,,,,,,,
111,0.000000,0,1813272,199.76,2495.99,,,,,,,,,,
112,197.698038,12962,1826234,199.79,2496.82,,,,,,,,,,
113,25.351083,41163,1867397,200.57,2497.63,,,,,,,,,,
114,40.412434,23586,1890983,202.16,2489.64,,,,,,,,,,
115,575.868838,737,1891720,201.72,2490.07,,,,,,,,,,
116,1913.131845,333,1892053,200.98,2489.99,,,,,,,,,,
117,0.000000,0,1892053,199.99,2493.16,,,,,,,,,,
118,0.000000,0,1892053,198.66,2490.47,,,,,,,,,,
119,0.000000,0,1892053,197.48,2498.73,,,,,,,,,,
120,0.000000,0,1892053,196.01,2498.73,,,,,,,,,,
121,0.000000,0,1892053,194.56,2498.73,,,,,,,,,,
122,0.000000,0,1892053,193.06,2498.73,,,,,,,,,,
123,0.000000,0,1892053,191.59,2498.73,,,,,,,,,,
124,0.000000,0,1892053,190.59,2514.75,,,,,,,,,,
125,0.000000,0,1892053,189.18,2514.75,,,,,,,,,,
126,119.764564,20851,1912904,188.80,2515.45,,,,,,,,,,
127,42.075514,29109,1942013,189.40,2519.20,,,,,,,,,,
128,0.000000,0,1942013,189.99,2534.05,,,,,,,,,,
129,0.000000,0,1942013,189.05,2534.05,,,,,,,,,,
130,0.000000,0,1942013,188.17,2534.05,,,,,,,,,,
131,0.000000,0,1942013,187.42,2534.05,,,,,,,,,,
132,0.000000,0,1942013,186.53,2534.05,,,,,,,,,,
133,0.000000,0,1942013,185.66,2520.96,,,,,,,,,,
134,0.000000,0,1942013,184.64,2520.88,,,,,,,,,,
135,0.000000,0,1942013,183.65,2520.79,,,,,,,,,,
136,0.000000,0,1942013,182.36,2522.89,,,,,,,,,,
137,0.000000,0,1942013,181.13,2521.57,,,,,,,,,,
138,0.000000,0,1942013,179.80,2519.64,,,,,,,,,,
139,0.000000,0,1942013,178.71,2519.65,,,,,,,,,,
140,0.000000,0,1942013,177.63,2521.30,,,,,,,,,,
141,0.000000,0,1942013,176.46,2521.30,,,,,,,,,,
142,0.000000,0,1942013,175.35,2521.32,,,,,,,,,,
143,0.000000,0,1942013,174.50,2521.34,,,,,,,,,,
144,0.000000,0,1942013,173.92,2518.16,,,,,,,,,,
145,3129.661471,369,1942382,173.16,2518.17,,,,,,,,,,
146,0.000000,0,1942382,172.34,2518.17,,,,,,,,,,
147,3471.321594,118,1942500,171.61,2519.63,,,,,,,,,,
148,0.000000,0,1942500,170.91,2521.09,,,,,,,,,,
149,0.000000,0,1942500,170.10,2520.29,,,,,,,,,,
150,0.000000,0,1942500,169.21,2520.29,,,,,,,,,,
151,249.207678,10571,1953071,168.78,2520.92,,,,,,,,,,
152,27.967579,17276,1970347,168.65,2521.56,,,,,,,,,,
153,1007.856142,2,,,,,,,,,,,,,
