second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
26,186.788876,5011,133704,245.28,455.37,231.977897,4055,103601,312.54,358.23
27,190.289695,5031,138735,246.85,459.48,220.272555,4182,107783,315.69,358.31
28,187.877800,5198,143933,248.60,459.48,237.307934,4124,111907,318.78,358.40
29,183.635744,5166,149099,250.56,459.48,230.566467,4062,115969,321.38,358.48
30,184.720199,5089,154188,252.14,459.48,231.085212,4118,120087,323.36,358.48
31,184.273616,5239,159427,253.88,459.48,226.700040,4023,124110,325.09,361.72
32,182.208773,5121,164548,255.27,459.48,233.888774,4216,128326,326.64,361.72
33,187.935243,5191,169739,256.88,459.48,234.735579,3972,132298,328.50,361.72
34,185.198668,5097,174836,258.35,459.48,223.312958,4126,136424,330.41,361.72
35,182.905663,5143,179979,259.69,459.48,218.054496,4220,140644,332.81,361.72
36,191.191405,5063,185042,260.76,459.48,232.803577,4101,144745,334.89,363.59
37,185.777034,5191,190233,261.80,459.48,233.083793,3877,148622,337.23,363.59
38,186.766528,5144,195377,262.98,459.48,237.597903,3981,152603,338.56,363.59
39,187.381153,5177,200554,263.92,459.48,242.677566,4022,156625,340.24,363.59
40,186.951177,4994,205548,264.89,459.48,227.621923,3942,160567,341.51,364.82
41,182.461043,5131,210679,265.97,459.83,222.552506,4118,164685,343.07,364.82
42,188.455008,5013,215692,266.92,459.83,234.768979,4124,168809,344.63,364.82
43,189.847124,5102,220794,267.82,459.83,227.690782,4085,172894,346.28,364.82
44,186.908710,5164,225958,268.70,459.83,222.754409,4217,177111,347.72,364.82
45,187.018581,5038,230996,269.38,459.83,231.213602,4133,181244,349.47,364.82
46,190.724427,4981,235977,270.13,460.43,218.353770,4118,185362,350.74,366.99
47,188.916155,4902,240879,270.74,462.71,232.637568,4171,189533,351.97,366.99
48,183.590456,5153,246032,271.42,463.04,213.775102,4309,193842,353.06,368.68
49,196.724283,4992,251024,272.21,463.04,230.841687,4126,197968,354.54,368.68
50,193.104977,5022,256046,272.77,463.04,226.764628,4054,202022,355.61,370.63
51,189.686336,4971,261017,273.48,463.04,228.743977,4112,206134,356.83,370.63
52,188.585494,4973,265990,274.11,463.04,214.507096,4210,210344,357.72,370.63
53,194.360606,4957,270947,274.86,463.04,241.753745,4141,214485,358.96,370.63
54,190.667405,5092,276039,275.37,463.04,206.653956,4254,218739,359.92,370.63
55,192.905244,4934,280973,276.00,463.04,231.995618,4273,223012,360.77,370.63
56,184.839231,5072,286045,276.54,465.35,223.093591,4063,227075,361.87,373.48
57,191.497012,5130,291175,277.28,468.04,216.464050,4131,231206,362.81,373.48
58,185.584548,5065,296240,277.90,469.90,219.691764,4200,235406,363.76,376.43
59,189.035053,5078,301318,278.56,471.27,222.875266,4151,239557,364.64,376.43
60,185.188963,5110,306428,279.17,471.27,224.316182,4250,243807,365.46,379.33
61,188.976687,5121,311549,279.65,471.27,234.329856,4195,248002,366.30,379.33
62,190.574262,5087,316636,280.14,471.27,236.099828,4061,252063,367.14,379.33
63,185.836807,5105,321741,280.61,471.27,222.212811,4190,256253,367.90,379.33
64,184.616473,5213,326954,281.22,471.27,211.980889,4263,260516,368.81,379.33
65,187.582707,5099,332053,281.73,471.27,225.751778,4180,264696,369.21,379.33
66,189.074476,5093,337146,282.20,474.10,224.365339,4080,268776,370.40,379.34
67,186.731225,5115,342261,282.55,475.77,227.035517,4113,272889,371.15,379.34
68,182.276721,5179,347440,282.85,478.89,223.827572,4207,277096,371.81,381.33
69,182.590209,5083,352523,283.36,478.89,222.538743,4198,281294,372.46,381.91
70,190.888925,5128,357651,283.66,478.89,221.981017,4118,285412,373.08,381.92
71,181.790727,5095,362746,283.95,478.89,216.536693,4182,289594,373.97,381.92
72,189.605050,5121,367867,284.34,478.89,221.808586,4068,293662,374.64,381.92
73,187.181313,5213,373080,284.65,478.89,223.323911,4275,297937,375.38,381.99
74,185.467883,5031,378111,284.97,478.89,221.578606,4061,301998,375.86,381.99
75,190.354161,5139,383250,285.32,479.56,220.158864,4063,306061,376.46,381.99
76,188.244660,5116,388366,285.61,480.20,233.021013,4159,310220,376.73,381.99
77,183.707325,5094,393460,285.91,480.21,233.167224,4130,314350,377.30,381.99
78,186.485989,5079,398539,286.20,484.28,221.820511,4240,318590,377.82,382.15
79,188.084945,5238,403777,286.59,484.28,226.801807,4306,322896,378.27,382.16
80,177.895085,5186,408963,286.96,484.28,223.592368,4124,327020,378.79,382.16
81,188.619276,5103,414066,287.32,484.28,220.411601,4205,331225,379.30,382.16
82,182.568701,5269,419335,287.65,484.28,217.758632,4186,335411,379.50,382.22
83,183.006989,5146,424481,288.07,484.28,223.048988,4176,339587,380.30,384.94
84,190.192983,4979,429460,288.27,484.28,222.327218,4176,343763,380.75,384.94
85,182.808674,5222,434682,288.52,484.28,216.008626,4162,347925,381.13,385.02
86,188.760408,5072,439754,288.81,484.29,216.651701,4107,352032,381.65,385.03
87,189.078834,4918,444672,288.91,484.31,233.195565,4271,356303,381.98,385.03
88,183.500605,5255,449927,289.10,484.31,211.068677,4113,360416,382.44,385.03
89,186.770120,5114,455041,289.37,484.31,217.784957,4078,364494,382.71,385.10
90,186.800521,5065,460106,289.54,484.31,227.976035,4190,368684,383.11,385.10
91,182.718997,5161,465267,289.85,484.31,227.532540,4212,372896,383.43,385.10
92,184.947442,5211,470478,290.06,484.31,201.962865,4108,377004,383.94,385.10
93,185.804279,5062,475540,290.36,484.31,224.991096,4250,381254,384.14,385.72
94,191.083829,5131,480671,290.56,484.31,233.695313,4228,385482,384.71,385.72
95,180.790145,5141,485812,290.72,484.31,230.222794,4221,389703,385.08,385.72
96,196.791288,5029,490841,290.88,484.56,215.883113,4053,393756,385.41,386.34
97,177.883357,5041,495882,291.06,484.63,228.949651,4093,397849,385.55,386.34
98,186.259032,5261,501143,291.20,484.64,223.322180,4234,402083,385.89,386.34
99,191.840594,5069,506212,291.43,484.64,216.557504,4242,406325,386.21,386.35
100,193.202959,4832,511044,291.48,484.64,225.538154,4232,410557,386.61,386.35
101,187.027434,5167,516211,291.60,484.96,227.035531,4102,414659,386.83,386.35
102,187.144993,5261,521472,291.77,484.96,209.910487,4312,418971,387.25,386.35
103,186.025474,5027,526499,291.91,484.96,240.659867,4167,423138,387.58,386.35
104,187.111386,5138,531637,292.15,485.02,220.351014,4187,427325,388.02,386.35
105,184.728442,5184,536821,292.36,485.02,219.320964,4165,431490,388.24,386.35
106,191.200628,4965,541786,292.45,485.02,226.540871,4212,435702,388.62,386.35
107,192.239241,5098,546884,292.44,485.03,221.644033,4124,439826,388.86,386.35
108,190.333611,4962,551846,292.60,485.20,230.351884,4236,444062,389.16,386.35
109,194.005857,4955,556801,292.68,485.20,221.852246,4182,448244,389.48,386.36
110,194.107847,4944,561745,292.68,485.20,226.934061,4223,452467,389.71,386.36
111,188.186890,5194,566939,292.84,485.20,231.870435,4066,456533,389.96,389.56
112,187.297099,5107,572046,293.00,487.87,225.297556,4238,460771,390.14,389.56
113,184.722353,5017,577063,293.10,487.87,220.262861,4078,464849,390.43,389.56
114,189.569018,5038,582101,293.22,487.87,229.497207,4021,468870,390.56,389.56
115,197.257369,4804,586905,293.23,487.87,229.948884,4208,473078,390.86,389.56
116,187.288296,5114,592019,293.34,487.88,228.157704,4215,477293,390.98,389.56
117,186.635950,5108,597127,293.47,487.88,221.491472,4138,481431,391.27,389.56
118,192.675647,4881,602008,293.54,487.89,223.601462,4155,485586,391.53,389.56
119,191.075079,5005,607013,293.60,487.89,221.310488,4082,489668,391.74,389.56
120,188.116089,5034,612047,293.70,487.89,228.462641,4210,493878,391.98,389.56
121,181.042712,5146,617193,293.84,487.89,218.524988,4183,498061,392.16,389.56
122,188.352584,5264,622457,294.04,487.89,224.990206,4129,502190,392.40,389.56
123,187.884229,5081,627538,294.18,487.89,232.440116,3989,506179,392.64,389.56
124,184.874803,5136,632674,294.31,487.89,230.997375,4280,510459,392.74,389.56
125,183.247448,5139,637813,294.42,487.89,233.850583,4065,514524,392.94,389.56
126,187.040661,5293,643106,294.64,487.89,210.349406,4269,518793,393.20,389.57
127,175.588796,5382,648488,294.85,487.89,235.652408,4221,523014,393.38,389.57
128,178.372731,5357,653845,295.07,487.89,222.882166,4168,527182,393.62,389.57
129,179.865775,5256,659101,295.28,487.89,229.985413,4234,531416,393.83,389.57
130,186.659299,5205,664306,295.46,487.89,237.375935,4064,535480,393.88,389.57
131,179.089299,5266,669572,295.72,487.89,210.838956,4107,539587,394.07,389.57
132,180.917739,5369,674941,296.00,487.89,228.499243,4230,543817,394.23,389.57
133,176.160706,5299,680240,296.26,487.97,218.673491,4167,547984,394.51,389.57
134,188.648499,5213,685453,296.47,487.97,224.202060,4232,552216,394.73,389.57
135,182.645256,5273,690726,296.70,487.97,204.216176,3977,556193,394.81,389.57
136,182.290331,5293,696019,296.90,487.97,251.523698,4032,560225,394.84,389.57
137,179.455229,5350,701369,297.13,487.98,223.973677,4128,564353,395.07,389.57
138,178.973228,5262,706631,297.29,487.98,223.646739,4019,568372,395.24,389.57
139,184.508751,5294,711925,297.47,487.98,241.884655,4224,572596,395.25,389.57
140,182.850862,5149,717074,297.66,487.98,238.788266,3794,576390,395.43,389.57
141,183.727118,5252,722326,297.76,487.98,232.668930,4055,580445,395.37,389.57
142,176.549295,5354,727680,297.95,487.98,223.138412,4117,584562,395.55,389.57
143,180.002560,5380,733060,298.09,487.98,226.658586,4238,588800,395.68,389.57
144,180.613791,5257,738317,298.19,487.98,229.186755,4158,592958,395.90,389.57
145,176.327860,5319,743636,298.35,487.98,227.724411,4148,597106,396.03,389.57
146,186.899225,5077,748713,298.43,487.98,222.146520,4272,601378,396.15,389.58
147,183.211107,5248,753961,298.51,487.98,224.251171,4212,605590,396.26,389.58
148,182.737389,5346,759307,298.66,487.98,234.894789,4110,609700,396.44,389.58
149,182.380741,5357,764664,298.75,487.98,219.132465,4184,613884,396.59,389.58
150,180.531003,5285,769949,298.85,487.98,222.076263,4147,618031,396.79,389.58
151,179.753883,5124,775073,298.96,491.28,231.900987,4256,622287,397.00,389.58
152,181.286059,5340,780413,299.04,491.28,227.459264,4174,626461,397.15,389.58
153,179.599935,5343,785756,299.14,491.28,215.097522,4239,630700,397.35,389.58
154,178.609584,5246,791002,299.30,491.28,219.508455,4224,634924,397.45,389.58
155,186.917623,5210,796212,299.38,491.28,210.096638,4255,639179,397.72,389.58
156,181.024797,5346,801558,299.46,491.28,225.365484,4242,643421,397.80,389.58
157,184.130141,5156,806714,299.54,491.31,218.197956,4137,647558,398.07,389.58
158,177.945533,5323,812037,299.65,491.31,232.154616,4137,651695,398.34,389.58
159,184.607488,5110,817147,299.80,491.31,231.022334,4342,656037,398.55,389.58
160,185.931029,5207,822354,299.86,491.31,222.821256,4145,660182,398.84,389.58
161,184.360961,5267,827621,299.98,491.31,216.756279,4360,664542,399.04,389.58
162,181.963507,5145,832766,300.13,491.31,231.546621,4340,668882,399.28,389.58
163,183.852079,5190,837956,300.22,491.31,214.115732,3987,672869,399.30,389.58
164,180.586163,5285,843241,300.31,491.31,209.989272,4272,677141,399.67,389.58
165,181.763641,5225,848466,300.45,491.31,231.116531,4250,681391,399.77,389.58
166,193.813503,4962,853428,300.52,491.31,222.669351,4201,685592,399.94,389.58
167,198.623521,4831,858259,300.49,491.33,226.281430,4198,689790,399.98,389.58
168,190.169829,4874,863133,300.48,491.33,213.504365,4239,694029,400.18,389.66
169,203.015295,4773,867906,300.42,491.33,217.319553,4184,698213,400.40,389.66
170,195.342712,4845,872751,300.34,491.33,223.832547,4281,702494,400.51,389.66
171,194.320839,4881,877632,300.30,491.33,212.662733,4165,706659,400.61,389.66
172,191.706387,5037,882669,300.29,491.33,231.413857,4214,710873,400.84,389.66
173,189.037156,4932,887601,300.28,491.33,222.230638,4215,715088,401.09,389.66
174,192.825278,4869,892470,300.26,491.33,215.246518,4186,719274,401.20,389.66
175,196.300158,5064,897534,300.24,491.33,221.945691,4222,723496,401.32,389.66
176,195.607087,4734,902268,300.23,491.33,215.306108,4175,727671,401.49,389.66
177,196.428416,4926,907194,300.21,491.37,216.011183,4050,731721,401.59,389.66
178,194.665857,4890,912084,300.16,491.37,223.479718,4189,735910,401.73,389.66
179,188.871772,5031,917115,300.16,491.37,227.821628,4309,740219,401.88,389.76
180,187.424313,5080,922195,300.16,491.37,221.306085,4112,744331,402.05,389.76
181,190.165601,4999,927194,300.17,491.37,221.978247,4305,748636,402.21,389.76
182,188.299468,5133,932327,300.19,491.37,206.315020,4191,752827,402.37,389.76
183,185.989474,5012,937339,300.20,491.37,224.829378,4260,757087,402.52,389.76
184,190.837213,5072,942411,300.20,491.37,228.887325,4226,761313,402.68,389.76
185,189.487445,4928,947339,300.20,491.37,218.643214,4112,765425,402.76,389.76
186,187.304651,5144,952483,300.20,491.37,223.308102,4259,769684,402.84,389.78
187,194.103544,5077,957560,300.22,491.41,220.914725,4386,774070,403.02,389.78
188,198.302294,4828,962388,300.20,491.41,222.713275,4079,778149,403.06,389.86
189,198.763842,4797,967185,300.14,491.42,223.080587,4123,782272,403.18,389.86
190,197.603881,4840,972025,300.06,491.42,210.660058,4220,786492,403.37,389.86
191,199.477805,4633,976658,299.97,491.42,215.203857,4259,790751,403.52,389.86
192,199.100646,4810,981468,299.85,491.42,235.156555,4402,795153,403.65,389.86
193,200.844934,4733,986201,299.76,491.42,230.528278,4175,799328,403.77,389.86
194,198.281493,4799,991000,299.69,491.42,209.197960,4308,803636,403.86,389.86
195,202.519141,4752,995752,299.64,491.42,233.393278,4180,807816,403.93,389.86
196,195.178600,4800,1000552,299.52,491.42,229.560258,4135,811951,403.97,389.86
197,209.284669,4596,1005148,299.43,491.42,219.635842,4131,816082,404.02,389.86
198,190.097916,4995,1010143,299.34,491.42,221.414190,4331,820413,404.25,389.88
199,205.555731,4727,1014870,299.30,491.42,219.546668,4214,824627,404.29,389.88
200,189.775300,4794,1019664,299.22,491.42,221.732704,4057,828684,404.36,389.88
201,205.557306,4627,1024291,299.14,491.42,221.513993,4237,832921,404.39,389.88
202,200.449657,4869,1029160,299.07,491.42,219.974636,4108,837029,404.56,389.88
203,198.068846,4696,1033856,298.98,491.42,222.275197,4180,841209,404.61,389.88
204,204.537415,4903,1038759,298.87,491.42,220.645746,4197,845406,404.68,389.88
205,203.259334,4636,1043395,298.79,491.42,214.316084,4236,849642,404.78,389.88
206,199.420311,4783,1048178,298.71,491.42,224.843960,4243,853885,404.80,389.88
207,206.908451,4587,1052765,298.63,491.42,217.797929,4338,858223,404.92,389.88
208,200.016196,4808,1057573,298.50,491.51,234.733905,4247,862470,404.99,389.88
209,191.171375,4939,1062512,298.46,491.55,223.920004,4237,866707,405.07,389.88
210,186.478121,5225,1067737,298.46,491.55,212.154634,4034,870741,405.04,390.52
211,189.508229,4901,1072638,298.48,491.55,225.587904,4218,874959,405.19,390.59
212,185.510624,5057,1077695,298.50,491.55,222.198953,4157,879116,405.22,390.59
213,184.956690,5062,1082757,298.54,491.55,216.984887,4311,883427,405.34,390.59
214,190.983142,4978,1087735,298.60,491.55,231.178197,4197,887624,405.36,390.59
215,187.879767,5022,1092757,298.60,491.55,219.679669,4226,891850,405.48,390.59
216,196.927843,4833,1097590,298.61,491.55,228.734497,4182,896032,405.56,390.59
217,188.926885,5094,1102684,298.57,491.55,225.614578,4208,900240,405.61,390.59
218,188.613329,5071,1107755,298.59,491.55,217.637460,4127,904367,405.67,390.59
219,193.593202,4883,1112638,298.60,491.55,219.547382,4197,908564,405.81,390.59
220,193.773273,4965,1117603,298.61,491.55,228.994618,4021,912585,405.74,390.59
221,186.633775,5003,1122606,298.62,491.55,221.762923,3922,916507,405.76,390.59
222,193.966008,5019,1127625,298.63,491.55,249.700478,3875,920382,405.65,390.59
223,188.925016,4908,1132533,298.63,491.55,246.413702,3824,924206,405.61,390.59
224,187.304107,5063,1137596,298.63,491.55,248.382671,3751,927957,405.48,390.59
225,190.419938,4989,1142585,298.66,491.55,242.519200,3804,931761,405.36,390.59
226,194.447962,4874,1147459,298.65,491.55,236.505014,3995,935756,405.30,390.59
227,194.849203,4998,1152457,298.61,491.55,249.966923,3744,939500,405.10,390.59
228,194.377711,5033,1157490,298.62,491.55,238.815525,3868,943368,405.16,390.59
229,194.155749,4826,1162316,298.64,491.55,252.700601,3903,947271,405.12,390.59
230,191.460952,4963,1167279,298.66,491.55,237.144350,3889,951160,405.08,390.59
231,192.553239,4956,1172235,298.67,491.55,233.806960,4089,955249,405.07,390.59
232,186.113693,5017,1177252,298.71,491.55,221.165834,4279,959528,405.18,390.59
233,198.579370,4919,1182171,298.72,491.55,219.632490,4090,963618,405.30,390.59
234,192.074203,4876,1187047,298.75,491.55,221.529160,4314,967932,405.37,390.59
235,196.394469,4976,1192023,298.76,491.55,226.099486,4262,972194,405.33,390.59
236,183.894953,5029,1197052,298.80,491.55,219.765009,4225,976419,405.48,390.59
237,191.565504,5026,1202078,298.86,491.55,221.414936,4176,980595,405.58,390.59
238,195.862208,4865,1206943,298.92,491.55,211.724482,4307,984902,405.62,390.59
239,192.267492,4993,1211936,298.96,491.55,220.086845,4332,989234,405.78,390.59
240,190.650112,5007,1216943,298.98,491.55,231.643742,4163,993397,405.86,390.59
241,192.784026,4965,1221908,299.01,491.55,224.333309,4237,997634,405.90,390.59
242,194.457748,4959,1226867,299.03,491.55,227.013370,4183,1001817,405.97,390.59
243,186.597258,5084,1231951,299.07,491.55,229.153933,4170,1005987,405.98,390.59
244,194.274035,4976,1236927,299.09,491.55,211.654076,4282,1010269,406.11,390.59
245,185.399315,5087,1242014,299.14,491.55,218.839660,4157,1014426,406.18,390.59
246,193.150513,5013,1247027,299.19,491.55,215.259890,4218,1018644,406.23,390.59
247,188.877305,5013,1252040,299.19,491.55,220.986655,4182,1022826,406.31,390.59
248,193.132636,4847,1256887,299.18,491.55,221.855969,4179,1027005,406.39,390.59
249,197.881216,4883,1261770,299.17,491.55,221.199652,4159,1031164,406.44,390.59
250,190.016650,5040,1266810,299.14,491.55,219.583998,4276,1035440,406.50,390.59
251,188.836156,5015,1271825,299.13,491.55,223.078719,4163,1039603,406.55,390.59
252,186.453905,5043,1276868,299.14,491.55,208.135261,4149,1043752,406.62,390.59
253,187.872908,4924,1281792,299.15,491.55,230.778908,4273,1048025,406.64,390.59
254,192.790099,5069,1286861,299.14,491.55,228.791966,4014,1052039,406.69,390.59
255,193.422979,4897,1291758,299.13,491.55,235.387232,4036,1056075,406.76,390.59
256,192.370136,4974,1296732,299.15,491.55,225.164104,4200,1060275,406.74,390.59
257,187.436470,5057,1301789,299.13,491.55,220.547658,4143,1064418,406.77,390.59
258,190.193909,4883,1306672,299.13,491.55,213.065825,4206,1068624,406.83,390.59
259,191.549038,5059,1311731,299.14,491.55,226.280027,4228,1072852,406.95,390.59
260,189.522296,4982,1316713,299.14,491.55,208.769548,4150,1077002,407.01,390.59
261,185.971292,5101,1321814,299.16,491.55,232.366715,4257,1081259,407.08,390.59
262,190.622555,5114,1326928,299.20,491.55,220.311407,4253,1085512,407.18,390.59
263,185.429138,4980,1331908,299.22,491.55,220.184614,4108,1089620,407.22,390.59
264,192.053980,5029,1336937,299.23,491.55,212.455922,4198,1093818,407.29,390.59
265,189.572648,4971,1341908,299.26,491.55,227.261962,4328,1098146,407.39,390.59
266,195.560102,4952,1346860,299.24,491.55,223.667682,4233,1102379,407.42,390.59
267,188.736970,4961,1351821,299.22,491.55,209.291803,4203,1106582,407.45,390.59
268,192.541437,5067,1356888,299.21,491.55,229.888600,3988,1110570,407.55,390.59
269,192.547436,4884,1361772,299.22,491.55,227.931958,4392,1114962,407.60,390.59
270,186.019569,5068,1366840,299.19,491.55,231.923810,4162,1119124,407.67,391.01
271,197.859633,4888,1371728,299.20,491.55,214.805091,4388,1123512,407.66,391.01
272,181.345721,5087,1376815,299.19,491.62,227.473226,4140,1127652,407.69,391.01
273,193.477195,5085,1381900,299.23,491.62,229.535088,4159,1131811,407.75,391.01
274,188.732772,5044,1386944,299.24,491.62,213.572746,4270,1136081,407.82,391.01
275,188.688403,5054,1391998,299.26,491.62,226.303654,4279,1140360,407.85,391.01
276,191.771125,4857,1396855,299.24,491.62,233.973344,4214,1144574,407.91,391.01
277,190.147860,4991,1401846,299.21,491.62,221.203882,4164,1148738,407.95,391.01
278,183.174612,4979,1406825,299.20,491.62,216.723140,4160,1152898,407.97,391.01
279,202.397616,4763,1411588,299.18,491.62,215.892026,4227,1157125,408.03,392.71
280,194.381167,4890,1416478,299.16,491.62,210.984351,4219,1161344,408.08,393.06
281,189.785866,4859,1421337,299.14,491.62,219.706446,4208,1165552,408.14,393.06
282,194.076861,5031,1426368,299.13,491.62,224.807605,4331,1169883,408.17,393.06
283,185.257719,5027,1431395,299.13,491.62,223.915637,4188,1174071,408.23,393.06
284,186.948649,5169,1436564,299.14,491.62,211.092758,4255,1178326,408.23,393.06
285,191.104201,5060,1441624,299.19,491.62,224.655381,4266,1182592,408.29,393.06
286,191.763011,4959,1446583,299.20,491.62,227.353522,4230,1186822,408.39,393.06
287,189.362398,4945,1451528,299.15,491.62,226.415348,4253,1191075,408.45,393.06
288,192.229882,4984,1456512,299.16,491.62,213.994225,4293,1195368,408.47,393.06
289,194.456620,4850,1461362,299.14,491.62,219.136845,4008,1199376,408.45,393.06
290,190.221807,5096,1466458,299.12,491.62,216.162280,4243,1203619,408.55,393.06
291,193.333168,4883,1471341,299.12,491.62,222.186341,4286,1207905,408.61,393.06
292,191.180681,5027,1476368,299.12,491.62,222.790288,4174,1212079,408.68,393.06
293,191.007997,4975,1481343,299.10,491.62,224.542686,4232,1216311,408.74,393.06
294,195.690224,4965,1486308,299.08,491.62,207.506087,4135,1220446,408.81,393.06
295,187.307953,5006,1491314,299.07,491.62,230.495350,4281,1224727,408.84,393.06
296,195.336585,4922,1496236,299.07,491.62,225.758584,4153,1228880,408.87,393.06
297,194.926540,4884,1501120,299.04,491.62,208.744315,4212,1233092,408.89,393.06
298,192.342665,4895,1506015,299.06,491.62,223.582736,4242,1237334,408.93,393.06
299,194.785551,4987,1511002,299.02,491.62,222.460604,4240,1241574,409.02,393.06
300,192.831973,4727,1515729,298.99,491.62,220.227566,4290,1245864,409.06,393.06
301,200.251904,4779,1520508,298.92,491.62,215.345293,4356,1250220,409.13,393.06
302,188.621445,4982,1525490,298.90,491.62,229.029598,4263,1254483,409.22,393.06
303,190.461757,4984,1530474,298.91,491.62,228.666651,4261,1258744,409.27,393.06
304,195.503454,4914,1535388,298.89,491.62,212.345902,4161,1262905,409.29,393.06
305,186.043782,4961,1540349,298.89,491.62,218.815050,4434,1267339,409.37,393.14
306,196.663027,4982,1545331,298.89,491.62,220.181242,4010,1271349,409.43,393.14
307,189.859847,5088,1550419,298.88,491.62,215.268999,4251,1275600,409.46,393.14
308,191.726642,4995,1555414,298.88,491.62,221.022413,4207,1279807,409.52,393.14
309,187.541334,5009,1560423,298.88,491.62,233.613393,4239,1284046,409.60,393.14
310,192.742686,5109,1565532,298.88,491.62,212.036610,4321,1288367,409.61,393.14
311,192.176160,4966,1570498,298.88,491.62,230.838690,4170,1292537,409.65,393.14
312,184.950420,5066,1575564,298.89,491.62,218.284482,4147,1296684,409.71,393.14
313,182.712105,5216,1580780,298.91,491.62,219.813500,4244,1300928,409.74,393.14
314,193.916116,4825,1585605,298.92,491.62,222.487383,4217,1305145,409.77,393.74
315,189.118782,5026,1590631,298.90,491.62,207.964066,4133,1309278,409.80,393.74
316,189.681841,4994,1595625,298.91,491.62,222.550200,4129,1313407,409.84,394.42
317,190.414710,5036,1600661,298.92,491.62,223.483398,4349,1317756,409.91,394.42
318,186.678067,5122,1605783,298.93,491.62,224.877740,4254,1322010,409.94,394.42
319,186.195240,5022,1610805,298.95,491.62,227.607960,4218,1326228,409.97,394.42
320,189.036546,5061,1615866,298.94,491.62,221.949784,4257,1330485,410.01,394.42
321,194.544786,4976,1620842,298.94,491.68,232.622576,4178,1334663,410.05,394.42
322,189.464668,4998,1625840,298.96,491.68,216.347345,4177,1338840,410.07,394.42
323,190.211557,5033,1630873,298.97,491.68,221.636462,4307,1343147,410.10,394.42
324,187.569721,4985,1635858,298.98,491.68,211.332701,4023,1347170,410.11,394.42
325,189.307684,5200,1641058,298.97,491.68,235.806892,4320,1351490,410.23,394.42
326,186.926133,4956,1646014,299.00,491.68,198.667186,4246,1355736,410.24,394.42
327,199.340060,4811,1650825,298.96,491.68,247.245059,4195,1359931,410.29,394.42
328,190.119648,4980,1655805,298.94,491.68,215.705726,4308,1364239,410.34,394.42
329,189.810599,5158,1660963,298.96,491.68,215.836011,4111,1368350,410.31,394.42
330,188.571929,4899,1665862,298.97,491.68,228.798728,4182,1372532,410.43,394.42
331,189.877999,5022,1670884,298.98,491.68,215.166965,4266,1376798,410.47,394.42
332,187.472555,4986,1675870,299.00,491.68,234.050182,4247,1381045,410.50,394.42
333,190.280879,5129,1680999,299.02,491.68,221.484188,4218,1385263,410.53,394.42
334,187.302484,4995,1685994,299.03,491.68,225.446878,4235,1389498,410.56,394.42
