second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
89,1.843091,539,46545,51.09,91.74,1.885377,530,45904,26.81,199.00
90,1.802715,552,47097,51.14,92.75,1.855878,538,46442,26.78,199.00
91,1.832684,543,47640,51.17,93.74,1.867364,535,46977,26.76,199.68
92,1.866737,533,48173,51.21,94.19,1.846959,541,47518,26.74,205.07
93,1.823108,545,48718,51.23,94.19,1.795613,557,48075,26.71,205.07
94,1.860671,536,49254,51.28,95.78,1.828746,546,48621,26.69,205.41
95,1.873534,530,49784,51.31,96.87,1.902877,525,49146,26.66,205.41
96,1.872083,533,50317,51.33,97.64,2.081252,480,49626,26.63,205.41
97,1.855972,536,50853,51.37,98.63,2.091266,478,50104,26.68,205.41
98,1.853956,536,51389,51.40,99.32,2.158161,463,50567,26.79,207.93
99,1.852141,537,51926,51.42,99.59,2.148992,465,51032,26.83,207.96
100,1.862003,534,52460,51.45,99.59,2.143290,466,51498,26.89,207.97
101,1.892575,526,52986,51.49,99.93,2.126492,470,51968,26.90,207.97
102,1.953495,509,53495,51.49,100.23,2.094806,477,52445,26.98,211.58
103,1.945604,512,54007,51.55,100.23,2.039754,490,52935,27.01,211.58
104,1.943000,512,54519,51.58,100.38,2.024228,494,53429,27.04,211.53
105,1.961727,508,55027,51.62,100.38,2.016004,495,53924,27.08,214.27
106,2.088493,476,55503,51.65,100.56,1.823027,548,54472,27.12,214.27
107,2.218636,449,55952,51.69,100.56,1.907315,524,54996,27.18,215.30
108,2.223012,448,56400,51.72,100.56,1.910466,523,55519,27.14,215.30
109,2.210521,451,56851,51.76,100.90,1.821717,549,56068,27.20,216.64
110,2.225085,448,57299,51.80,102.16,1.806861,553,56621,27.17,216.87
111,2.250513,441,57740,51.86,102.76,1.801289,554,57175,27.15,216.87
112,2.135125,467,58207,51.87,102.76,1.778372,562,57737,27.12,216.87
113,2.058200,484,58691,51.90,104.20,1.769723,565,58302,27.09,217.27
114,2.054967,485,59176,51.92,104.55,1.826466,547,58849,27.06,217.27
115,2.052585,484,59660,51.95,105.21,1.832138,545,59394,27.03,217.27
116,1.940433,514,60174,51.97,105.97,1.807683,552,59946,27.03,218.64
117,1.794230,554,60728,52.01,106.46,1.799850,555,60501,27.01,220.07
118,1.841396,541,61269,52.04,107.72,1.816631,551,61052,27.00,221.49
119,1.850538,537,61806,52.05,108.00,1.812047,552,61604,26.98,221.49
120,1.845369,539,62345,52.06,108.00,1.818497,549,62153,26.95,221.49
121,1.894547,525,62870,52.11,108.19,1.803636,554,62707,26.93,221.49
122,1.899868,524,63394,52.15,108.19,1.806592,553,63260,26.91,221.49
123,1.910474,521,63915,52.21,108.34,1.840899,543,63803,26.90,223.20
124,1.887987,527,64442,52.26,108.70,1.820833,549,64352,26.88,223.20
125,1.896401,525,64967,52.31,109.32,1.832579,545,64897,26.86,223.20
126,1.895137,526,65493,52.36,109.32,1.831990,546,65443,26.85,223.20
127,1.902970,522,66015,52.41,109.64,1.806577,553,65996,26.82,223.20
128,1.896638,526,66541,52.43,110.36,1.798034,555,66551,26.79,223.20
129,1.898442,524,67065,52.44,110.36,1.805159,554,67105,26.77,223.26
130,1.993348,500,67565,52.51,111.37,1.821339,548,67653,26.77,227.42
131,1.919478,518,68083,52.56,111.99,1.799062,556,68209,26.76,227.76
132,1.836745,542,68625,52.59,112.15,1.830070,546,68755,26.74,227.76
133,1.875456,530,69155,52.60,113.43,1.835890,544,69299,26.72,227.76
134,1.870419,531,69686,52.64,114.33,1.908289,523,69822,26.70,227.76
135,1.881333,529,70215,52.64,115.51,2.053561,485,70307,26.69,227.76
136,1.882536,528,70743,52.65,115.87,2.039685,491,70798,26.69,227.76
137,1.859738,536,71279,52.68,116.79,2.006608,498,71296,26.70,227.76
138,1.873781,531,71810,52.69,117.15,2.022523,494,71790,26.69,227.76
139,1.874006,532,72342,52.68,117.28,1.978504,506,72296,26.70,228.50
140,1.887207,528,72870,52.68,117.40,1.943592,513,72809,26.70,228.50
141,1.910551,522,73392,52.70,118.58,1.988900,503,73312,26.69,228.50
142,1.860533,536,73928,52.69,118.95,1.976630,506,73818,26.72,232.64
143,1.846849,540,74468,52.72,119.48,1.996014,500,74318,26.70,232.64
144,1.858303,537,75005,52.72,119.68,1.923709,519,74837,26.80,232.83
145,1.894400,526,75531,52.70,119.87,1.832960,546,75383,26.78,232.83
146,1.919817,520,76051,52.69,120.03,1.858973,537,75920,26.77,233.57
147,1.855230,537,76588,52.70,120.20,1.850477,540,76460,26.75,233.57
148,1.950312,511,77099,52.70,120.73,1.822492,548,77008,26.72,233.57
149,1.817203,547,77646,52.70,121.33,1.817978,550,77558,26.70,233.57
150,1.784783,556,78202,52.72,121.91,1.814021,551,78109,26.68,233.57
151,1.818588,549,78751,52.73,122.21,1.839331,542,78651,26.70,233.92
152,1.848756,538,79289,52.74,123.09,1.777322,563,79214,26.77,234.37
153,1.828668,543,79832,52.73,123.29,1.786361,560,79774,26.77,234.78
154,1.845871,539,80371,52.74,124.37,1.736773,575,80349,26.77,236.31
155,1.856067,536,80907,52.74,125.01,1.786627,559,80908,26.76,236.31
156,1.846457,538,81445,52.73,125.93,1.943782,514,81422,26.74,236.31
157,1.897715,524,81969,52.74,126.61,2.122948,471,81893,26.75,236.31
158,1.863647,533,82502,52.72,126.61,2.154794,464,82357,26.77,236.53
159,1.849337,538,83040,52.72,126.61,2.152930,464,82821,26.79,236.53
160,1.817167,548,83588,52.75,126.61,2.149209,465,83286,26.81,237.15
161,1.822772,546,84134,52.77,126.61,2.129131,469,83755,26.86,237.22
162,1.925391,517,84651,52.76,126.61,2.144210,465,84220,26.88,237.22
163,1.949992,509,85160,52.79,126.94,2.124263,472,84692,26.89,237.19
164,1.963928,509,85669,52.80,127.42,2.123865,470,85162,26.91,237.19
165,1.975774,504,86173,52.82,127.42,2.103804,475,85637,26.93,237.36
166,2.113767,469,86642,52.85,127.59,1.847454,541,86178,26.94,237.36
167,2.245409,445,87087,52.87,127.59,1.769784,565,86743,26.95,238.72
168,2.264337,439,87526,52.88,128.95,1.762484,567,87310,26.94,238.72
169,2.162732,460,87986,52.93,129.52,1.750176,570,87880,26.92,238.72
170,2.225499,447,88433,52.94,129.93,1.763474,567,88447,26.91,239.15
171,2.246448,443,88876,52.97,130.55,1.738605,575,89022,26.90,240.00
172,2.122357,469,89345,53.00,131.36,1.746635,572,89594,26.88,240.00
173,2.074415,479,89824,53.02,132.19,1.737619,575,90169,26.87,240.85
174,2.090515,477,90301,53.02,133.17,1.752756,570,90739,26.93,240.63
175,2.092731,476,90777,53.03,134.18,1.709076,585,91324,26.97,241.81
176,1.894866,525,91302,53.05,134.72,1.702885,586,91910,26.98,244.39
177,1.850122,537,91839,53.05,135.16,1.706720,586,92496,26.97,244.39
178,1.810949,549,92388,53.05,135.40,1.756812,568,93064,26.95,244.39
179,1.829915,544,92932,53.05,135.85,1.710685,584,93648,26.95,244.22
180,1.871903,532,93464,53.05,136.00,1.719344,581,94229,26.93,246.07
181,1.877809,530,93994,53.07,136.33,1.694096,590,94819,26.92,246.07
182,1.937960,513,94507,53.07,136.33,1.721452,580,95399,26.91,246.24
183,1.921898,517,95024,53.09,136.76,1.770412,565,95964,26.91,246.25
184,1.892202,527,95551,53.13,136.76,1.755059,569,96533,26.91,247.28
185,1.895348,525,96076,53.16,136.76,1.730690,577,97110,26.90,248.17
186,1.958505,508,96584,53.17,137.09,1.730039,578,97688,26.89,247.65
187,1.944936,511,97095,53.22,137.24,1.707955,585,98273,26.88,247.82
188,1.898681,524,97619,53.23,138.39,1.726763,578,98851,26.88,247.82
189,1.917150,519,98138,53.27,139.08,1.719223,581,99432,26.87,247.82
190,1.883632,529,98667,53.29,139.60,1.690925,591,100023,26.86,252.28
191,1.840871,540,99207,53.34,139.80,1.853189,539,100562,26.85,252.45
192,1.836074,542,99749,53.35,139.96,1.743387,573,101135,26.92,252.96
193,1.827750,544,100293,53.37,142.06,1.721802,581,101716,26.92,253.30
194,1.848522,538,100831,53.35,142.06,1.835847,543,102259,26.91,253.30
195,1.851968,537,101368,53.37,143.27,1.992622,502,102761,26.90,253.30
196,1.818982,547,101915,53.37,143.38,2.003615,499,103260,26.90,253.30
197,1.836539,542,102457,53.38,144.14,2.170577,460,103720,26.97,256.48
198,1.823348,545,103002,53.39,144.82,1.960121,510,104230,26.97,256.48
199,1.875552,532,103534,53.39,144.97,1.972161,507,104737,26.96,256.48
200,1.912023,522,104056,53.38,144.97,1.945813,513,105250,26.96,259.76
201,1.948303,512,104568,53.38,145.17,1.959939,510,105760,26.95,259.76
202,1.959364,509,105077,53.40,146.17,1.971561,507,106267,26.94,259.76
203,1.878320,530,105607,53.40,146.17,1.993560,501,106768,26.94,259.93
204,1.926778,518,106125,53.39,146.17,1.827645,547,107315,26.94,262.88
205,1.920318,520,106645,53.41,146.17,1.697120,588,107903,26.94,262.88
206,1.893622,526,107171,53.41,146.33,1.664072,601,108504,26.92,262.88
207,1.900575,525,107696,53.41,147.50,1.674096,596,109100,26.91,262.88
208,1.942201,513,108209,53.42,148.08,1.720036,581,109681,26.90,263.05
209,1.855268,536,108745,53.44,148.63,1.744889,573,110254,26.89,263.05
210,1.879921,530,109275,53.44,149.45,1.697279,588,110842,26.87,263.29
211,1.856400,536,109811,53.45,149.45,1.701464,587,111429,26.87,263.29
212,1.878425,529,110340,53.46,151.30,1.728597,578,112007,26.86,263.29
213,1.898266,525,110865,53.46,151.91,1.723099,580,112587,26.85,263.45
214,1.876101,531,111396,53.47,152.57,1.704669,586,113173,26.84,264.17
215,1.840434,541,111937,53.50,153.52,1.734174,576,113749,26.83,264.17
216,1.857996,536,112473,53.49,153.52,1.911699,523,114272,26.84,264.34
217,1.893742,526,112999,53.49,153.70,2.001434,499,114771,26.85,264.34
218,1.863982,534,113533,53.50,154.01,2.036487,491,115262,26.86,264.51
219,1.926165,516,114049,53.50,154.11,2.032305,491,115753,26.88,264.51
220,1.904091,523,114572,53.49,154.11,2.022187,495,116248,26.89,264.51
221,1.855493,537,115109,53.50,154.29,2.037863,490,116738,26.90,264.51
222,1.971022,505,115614,53.52,154.97,1.994762,501,117239,26.92,264.51
223,1.983344,502,116116,53.52,154.97,2.035278,491,117730,26.93,264.68
224,2.043263,487,116603,53.53,155.17,2.013719,496,118226,26.95,264.85
225,1.954641,509,117112,53.54,155.56,1.971854,507,118733,26.97,265.53
226,2.080273,479,117591,53.56,157.08,1.821107,549,119282,26.98,265.53
227,2.255295,441,118032,53.56,157.08,1.674777,596,119878,26.98,265.53
228,2.283306,436,118468,53.59,157.53,1.718761,581,120459,26.97,265.53
229,2.229549,447,118915,53.60,157.77,1.713605,584,121043,26.96,266.55
230,2.295191,434,119349,53.60,158.03,1.716158,582,121625,26.95,266.55
231,2.178568,457,119806,53.61,158.37,1.721161,580,122205,26.94,266.55
232,2.103772,473,120279,53.64,159.72,1.712502,584,122789,26.93,266.55
233,2.051664,485,120764,53.64,159.97,1.714392,583,123372,26.92,266.55
234,2.036167,488,121252,53.66,161.46,1.708746,584,123956,26.92,267.57
235,2.106903,473,121725,53.66,161.59,1.710437,585,124541,26.91,267.74
236,1.948878,510,122235,53.66,161.77,1.716253,582,125123,26.90,267.74
237,1.869386,532,122767,53.67,162.62,1.702150,587,125710,26.89,267.74
238,1.834746,542,123309,53.68,163.54,1.742317,573,126283,26.88,267.74
239,1.879396,530,123839,53.68,163.64,1.699763,588,126871,26.88,268.59
240,1.854053,536,124375,53.67,163.64,1.706870,585,127456,26.87,268.76
241,1.813249,550,124925,53.68,163.64,1.730446,578,128034,26.86,268.76
242,1.927042,516,125441,53.69,163.78,1.733775,576,128610,26.85,268.76
243,1.903867,522,125963,53.73,163.90,1.724725,579,129189,26.84,268.93
244,1.901121,524,126487,53.74,163.90,1.703435,587,129776,26.84,269.78
245,1.930734,515,127002,53.75,163.90,1.775303,563,130339,26.84,269.78
246,1.917345,519,127521,53.78,165.38,1.717824,581,130920,26.83,270.64
247,1.923407,518,128039,53.81,165.71,1.728628,578,131498,26.82,270.64
248,1.915750,519,128558,53.83,165.71,1.740163,575,132073,26.82,270.85
249,1.926274,517,129075,53.84,165.88,1.760826,567,132640,26.81,270.85
250,1.941059,513,129588,53.86,166.55,1.798670,555,133195,26.85,271.44
251,1.864045,534,130122,53.88,167.67,1.767818,565,133760,26.85,271.61
252,1.838271,542,130664,53.89,168.71,1.792655,558,134318,26.84,271.61
253,1.866894,533,131197,53.89,169.31,1.763863,566,134884,26.84,271.95
254,1.803834,551,131748,53.89,170.32,1.801668,555,135439,26.82,271.95
255,1.820039,547,132295,53.89,170.88,2.003102,499,135938,26.82,271.95
256,1.904393,523,132818,53.89,170.88,2.013711,496,136434,26.82,271.95
257,1.811643,549,133367,53.91,171.01,2.032488,491,136925,26.82,272.12
258,1.822831,546,133913,53.90,171.78,1.951055,513,137438,26.82,272.29
259,1.886399,529,134442,53.90,172.02,1.948146,513,137951,26.81,272.29
260,1.922370,518,134960,53.91,172.64,1.982533,504,138455,26.81,272.29
261,1.912092,522,135482,53.92,173.12,1.995531,500,138955,26.81,272.29
262,1.858998,536,136018,53.91,173.22,2.047707,488,139443,26.80,272.29
263,1.912465,522,136540,53.90,173.22,2.016382,496,139939,26.81,273.52
264,1.896858,525,137065,53.91,173.33,1.884122,530,140469,26.80,273.52
265,1.928997,517,137582,53.92,174.53,1.775392,563,141032,26.79,273.52
266,1.904522,524,138106,53.92,174.53,1.782962,560,141592,26.84,274.03
267,1.917762,520,138626,53.91,174.65,1.812360,552,142144,26.83,274.54
268,1.884827,529,139155,53.91,174.81,1.780838,561,142705,26.82,274.54
269,1.853594,537,139692,53.90,175.57,1.758955,568,143273,26.87,275.39
270,1.841493,541,140233,53.91,175.98,1.701204,587,143860,26.87,275.56
271,1.874892,530,140763,53.91,177.16,1.695600,589,144449,26.86,275.56
272,1.847227,539,141302,53.92,178.45,1.697359,589,145038,26.85,275.73
273,1.872919,532,141834,53.92,178.45,1.695510,589,145627,26.84,275.73
274,1.882262,528,142362,53.91,179.13,1.676266,596,146223,26.83,275.73
275,1.845782,540,142902,53.93,179.92,1.703996,586,146809,26.83,276.07
276,1.839342,541,143443,53.94,179.92,1.845643,542,147351,26.83,276.59
277,1.811644,549,143992,53.93,179.92,1.968037,507,147858,26.84,276.59
278,1.887332,527,144519,53.93,180.06,2.108489,474,148332,26.85,276.59
279,1.848219,539,145058,53.95,180.78,2.026506,493,148825,26.87,276.59
280,1.816154,548,145606,53.95,181.01,2.005975,498,149323,26.88,277.26
281,1.823817,545,146151,53.95,181.61,1.983048,504,149827,26.89,277.26
282,1.973584,505,146656,53.95,182.02,1.948656,513,150340,26.90,277.26
283,1.963377,508,147164,53.96,182.79,2.008873,497,150837,26.91,277.26
284,1.951719,509,147673,53.98,183.83,2.032262,492,151329,26.91,277.26
285,1.901346,524,148197,53.98,184.18,1.934117,517,151846,26.93,277.60
286,2.191645,454,148651,54.00,184.29,1.760486,567,152413,26.94,277.78
287,2.211092,451,149102,54.02,184.69,1.730557,578,152991,26.94,277.78
288,2.241087,444,149546,54.02,185.16,1.714649,582,153573,26.93,277.78
289,2.273789,438,149984,54.03,185.62,1.717522,582,154155,26.93,277.95
290,2.250423,442,150426,54.05,186.07,1.713867,583,154738,26.91,277.95
291,2.283835,437,150863,54.06,186.66,1.705318,586,155324,26.91,278.11
292,2.231565,446,151309,54.08,188.23,1.727767,578,155902,26.91,278.11
293,2.210116,450,151759,54.09,188.42,1.725641,579,156481,26.90,278.63
294,2.157472,462,152221,54.08,188.42,1.665379,600,157081,26.89,279.16
295,2.158024,460,152681,54.08,188.65,1.657712,603,157684,26.88,279.16
296,1.973908,506,153187,54.10,188.79,1.665509,600,158284,26.88,279.68
297,1.879196,530,153717,54.11,188.96,1.677091,596,158880,26.87,280.19
298,1.844869,540,154257,54.11,189.06,1.788510,558,159438,26.87,280.19
299,1.867511,533,154790,54.11,189.30,1.717318,582,160020,26.86,280.19
300,1.942891,512,155302,54.12,189.52,1.749259,572,160592,26.85,280.70
301,1.884273,528,155830,54.13,190.10,1.712908,583,161175,26.84,280.70
302,1.967699,506,156336,54.14,190.27,1.754274,570,161745,26.84,281.55
303,1.993932,499,156835,54.16,190.27,1.734382,576,162321,26.83,281.55
304,2.016663,493,157328,54.18,191.65,1.758566,568,162889,26.83,282.23
305,1.946390,511,157839,54.18,191.99,1.745321,572,163461,26.82,282.74
306,1.934059,514,158353,54.19,192.32,1.742216,574,164035,26.82,282.74
307,1.989898,501,158854,54.21,193.19,1.717129,581,164616,26.81,282.74
308,1.910741,521,159375,54.24,194.92,1.717286,582,165198,26.81,283.42
309,1.891032,525,159900,54.26,195.43,1.721090,581,165779,26.80,283.42
310,1.930979,516,160416,54.27,195.59,1.705573,586,166365,26.80,283.59
311,1.926922,516,160932,54.28,195.59,1.696292,588,166953,26.79,283.42
312,1.909766,521,161453,54.31,196.90,1.713630,584,167537,26.79,284.12
313,1.856861,537,161990,54.31,198.08,1.709402,584,168121,26.78,284.12
314,1.863915,534,162524,54.32,198.59,1.834481,545,168666,26.77,285.24
315,1.909496,521,163045,54.31,198.98,1.990080,502,169168,26.78,285.64
316,1.908049,521,163566,54.31,199.25,1.960733,509,169677,26.77,285.64
317,1.884837,528,164094,54.33,199.42,2.011766,497,170174,26.77,285.64
318,1.890842,526,164620,54.32,199.92,1.968030,508,170682,26.77,285.64
319,1.938604,515,165135,54.33,200.22,1.968549,507,171189,26.77,285.88
320,1.970539,506,165641,54.34,200.32,1.964394,509,171698,26.77,287.47
321,1.879210,530,166171,54.33,200.55,1.975409,506,172204,26.77,287.47
322,1.900633,525,166696,54.32,200.85,2.004668,498,172702,26.77,287.59
323,1.906775,523,167219,54.33,201.20,2.010160,497,173199,26.77,287.59
324,1.937361,514,167733,54.35,201.45,1.876733,533,173732,26.77,288.78
325,1.890051,528,168261,54.35,201.45,1.722966,580,174312,26.77,288.78
326,1.939832,515,168776,54.34,201.55,1.715389,582,174894,26.76,288.78
327,1.874298,531,169307,54.34,201.94,1.777589,562,175456,26.76,288.78
328,1.961952,508,169815,54.35,203.56,1.785049,559,176015,26.75,289.12
329,1.862461,536,170351,54.35,203.76,1.735361,576,176591,26.75,290.15
330,1.876611,530,170881,54.36,204.94,1.746978,572,177163,26.74,290.15
331,1.905011,523,171404,54.35,205.15,1.748143,571,177734,26.74,290.15
332,1.890866,526,171930,54.35,205.25,1.736505,576,178310,26.74,291.37
333,1.882289,529,172459,54.36,205.59,1.765900,566,178876,26.73,291.88
334,1.864366,534,172993,54.38,205.79,1.747650,571,179447,26.73,291.88
335,1.869214,533,173526,54.39,206.09,1.726217,579,180026,26.72,291.88
336,1.859666,534,174060,54.39,206.26,1.868148,535,180561,26.72,291.88
337,1.897053,525,174585,54.39,206.57,1.960868,509,181070,26.73,292.73
338,1.855444,537,175122,54.38,206.57,2.009429,497,181567,26.74,293.42
339,1.857868,535,175657,54.40,206.57,1.988442,503,182070,26.75,293.42
340,1.882876,528,176185,54.39,206.57,1.931396,517,182587,26.76,294.10
341,1.895277,526,176711,54.41,207.26,1.914590,522,183109,26.76,294.10
342,2.018585,493,177204,54.40,208.51,1.965266,509,183618,26.78,294.44
343,2.044822,487,177691,54.41,208.61,2.032183,491,184109,26.79,294.44
344,2.026212,491,178182,54.41,209.08,1.944101,515,184624,26.80,295.12
345,2.082862,471,178653,54.41,209.95,1.947972,512,185136,26.81,295.12
346,2.318797,436,179089,54.43,210.51,1.803049,554,185690,26.81,295.64
347,2.401977,415,179504,54.45,210.68,1.726735,579,186269,26.82,296.32
348,2.392780,416,179920,54.44,211.07,1.698172,588,186857,26.80,297.00
349,2.372031,420,180340,54.45,211.16,1.699955,588,187445,26.80,297.00
350,2.347896,424,180764,54.45,211.68,1.728159,578,188023,26.79,297.00
351,2.417023,412,181176,54.45,212.76,1.747173,572,188595,26.79,297.69
352,2.292464,435,181611,54.47,214.38,1.710404,584,189179,26.78,298.03
353,2.295644,434,182045,54.47,214.38,1.677730,596,189775,26.78,298.03
354,2.248505,443,182488,54.48,215.85,1.702469,587,190362,26.78,298.88
355,2.203502,452,182940,54.48,216.23,1.672727,597,190959,26.77,300.24
356,2.065094,481,183421,54.47,216.69,1.674698,597,191556,26.77,300.24
357,1.886674,529,183950,54.48,216.90,1.703427,586,192142,26.76,300.24
358,1.897789,524,184474,54.48,217.31,1.713631,583,192725,26.75,300.24
