second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
57,2.735443,364,27231,49.32,84.04,2.278709,439,26712,28.32,166.49,1.863893,536,28324,26.29,168.59
58,2.642179,378,27609,49.42,85.19,2.041161,490,27202,28.29,166.49,1.900267,526,28850,26.23,168.59
59,2.779751,357,27966,49.52,85.29,1.991985,501,27703,28.30,169.23,1.908093,524,29374,26.19,168.59
60,2.307408,434,28400,49.69,85.29,1.978302,505,28208,28.23,169.85,1.901468,525,29899,26.15,168.59
61,2.132091,468,28868,49.85,85.63,2.005394,499,28707,28.17,169.85,2.124501,470,30369,26.23,170.28
62,2.184094,456,29324,49.97,86.92,1.927033,518,29225,28.10,169.85,2.077969,481,30850,26.27,173.88
63,2.153789,463,29787,50.10,88.55,2.008614,497,29722,28.05,169.85,2.471521,405,31255,26.28,175.70
64,2.135204,467,30254,50.22,89.52,2.228135,449,30171,28.14,172.18,2.591142,385,31640,26.28,175.67
65,2.115447,471,30725,50.34,90.20,2.203809,453,30624,28.15,173.52,2.536300,394,32034,26.28,175.67
66,2.085621,477,31202,50.40,91.42,2.117333,472,31096,28.16,175.30,2.404082,415,32449,26.31,175.67
67,1.979233,504,31706,50.49,91.76,2.163229,462,31558,28.12,175.30,2.476836,404,32853,26.30,175.67
68,1.959725,508,32214,50.57,92.03,2.216562,451,32009,28.10,175.30,2.584004,387,33240,26.29,175.67
69,2.038980,489,32703,50.63,92.43,2.209725,452,32461,28.08,175.29,2.589475,386,33626,26.31,180.60
70,2.133513,467,33170,50.64,92.69,2.176515,459,32920,28.06,174.82,2.486904,402,34028,26.29,180.60
71,2.045472,487,33657,50.74,92.69,2.213828,451,33371,28.06,179.96,2.196490,454,34482,26.35,184.36
72,2.039122,489,34146,50.76,92.69,2.209125,453,33824,28.04,179.96,2.116642,473,34955,26.38,190.47
73,2.051546,486,34632,50.81,92.87,2.198888,454,34278,28.10,183.14,1.928353,518,35473,26.38,190.47
74,2.029792,491,35123,50.85,93.08,1.995033,501,34779,28.08,188.16,1.938569,516,35989,26.33,189.57
75,2.034766,489,35612,50.89,93.39,2.002998,499,35278,28.02,188.16,1.964725,508,36497,26.28,189.57
76,1.994264,500,36112,50.93,93.39,2.025719,493,35771,27.96,188.16,1.949165,512,37009,26.25,189.57
77,1.968720,506,36618,50.99,93.65,2.039127,490,36261,27.91,188.16,2.055613,487,37496,26.22,189.73
78,1.955807,509,37127,51.02,93.65,2.065387,483,36744,27.86,188.16,2.194294,455,37951,26.20,191.78
79,1.906132,523,37650,51.09,94.41,2.012943,497,37241,27.80,188.16,2.242977,446,38397,26.22,194.57
80,2.025813,492,38142,51.10,94.79,2.073790,482,37723,27.78,190.82,2.252498,444,38841,26.21,194.57
81,1.996477,499,38641,51.13,94.79,2.152837,464,38187,27.77,190.82,2.191876,455,39296,26.22,195.94
82,2.018107,494,39135,51.20,95.04,2.086097,479,38666,27.79,193.67,2.124146,471,39767,26.22,197.82
83,1.909786,521,39656,51.23,95.60,2.090599,477,39143,27.80,195.03,2.100989,475,40242,26.20,197.82
84,2.034854,489,40145,51.21,96.24,2.184154,458,39601,27.79,197.11,2.123689,471,40713,26.20,197.82
85,2.046677,487,40632,51.26,99.19,2.080078,481,40082,27.78,197.11,2.041848,489,41202,26.20,198.16
86,1.968578,506,41138,51.27,99.92,2.064696,484,40566,27.79,197.11,2.019630,495,41697,26.18,198.16
87,2.067229,482,41620,51.30,100.11,2.107120,474,41040,27.79,197.45,1.950707,512,42209,26.19,201.02
88,1.966855,507,42127,51.35,100.51,2.079063,480,41520,27.78,197.47,1.937946,516,42725,26.17,200.86
89,1.996610,500,42627,51.39,100.51,2.123639,471,41991,27.79,200.25,1.939486,514,43239,26.14,200.86
90,2.114855,472,43099,51.42,100.64,2.399891,416,42407,27.78,204.90,1.883804,531,43770,26.11,199.87
91,2.006082,497,43596,51.45,100.64,2.053295,487,42894,27.75,204.90,1.971120,507,44277,26.08,200.96
92,2.001260,499,44095,51.47,100.88,2.001802,499,43393,27.71,204.90,1.876995,533,44810,26.06,200.96
93,1.994211,500,44595,51.53,101.14,2.010956,497,43890,27.66,204.90,1.916640,521,45331,26.05,202.32
94,2.021546,493,45088,51.56,101.14,2.010859,497,44387,27.64,205.93,1.827908,546,45877,26.03,203.01
95,1.920267,518,45606,51.58,101.31,2.006554,498,44885,27.63,207.29,1.891531,529,46406,26.01,203.01
96,1.906258,522,46128,51.63,102.02,1.969547,507,45392,27.58,207.29,1.873308,534,46940,25.97,203.01
97,1.889250,527,46655,51.66,102.59,1.986244,503,45895,27.55,207.98,1.894427,527,47467,25.95,203.41
98,1.892861,521,47176,51.66,102.82,1.985515,503,46398,27.51,207.98,1.904072,525,47992,25.91,203.41
99,1.930380,519,47695,51.71,104.50,1.976012,506,46904,27.46,207.98,1.906362,524,48516,25.89,203.41
100,2.069263,481,48176,51.70,104.84,1.997769,500,47404,27.43,212.40,1.914517,522,49038,25.87,203.41
